Wavelength,MilliQ,C28feb22_9mr1,C28feb22_CCTr1,C28feb22_21mr2,C28feb22_SMBr2,C28feb22_1.5mr2,C28feb22_HPBr2,C28feb22_0.1mr2,C28feb22_6mr1,C28feb22_TCTr1,C28feb22_HPBr1
465,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.001,0.004,0.004
466,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.003,0.001,0.004,0.003
467,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.004,0.001,0.004,0.003
468,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.003,0.001,0.004,0.003
469,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.003,0.001,0.004,0.003
470,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.004,0.001,0.003,0.003
471,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.004,0.001,0.003,0.003
472,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.003,0.001,0.003,0.003
473,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.003,0.001,0.003,0.003
474,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
475,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.004,0.003
476,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.004,0.001,0.003,0.003
477,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
478,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
479,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
480,-0.001,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
481,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
482,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
483,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
484,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
485,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
486,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
487,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
488,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
489,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
490,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
491,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
492,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
493,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
494,-0.001,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
495,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
496,0,0.001,0.005,0.001,0.002,0.001,0.004,0.003,0.001,0.003,0.003
497,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
498,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
499,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
500,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
501,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
502,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
503,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
504,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
505,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
506,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
507,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
508,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
509,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
510,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
511,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
512,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
513,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
514,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
515,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
516,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
517,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
518,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
519,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
520,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
521,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
522,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
523,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
524,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
525,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
526,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
527,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
528,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
529,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
530,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
531,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
532,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
533,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
534,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
535,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
536,0.001,0.002,0.006,0.002,0.003,0.002,0.004,0.004,0.002,0.004,0.004
537,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
538,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
539,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
540,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
541,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
542,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
543,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
544,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
545,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
546,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
547,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
548,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
549,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
550,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
551,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
552,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
553,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
554,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
555,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
556,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
557,0,0.001,0.005,0.001,0.001,0.001,0.003,0.003,0.001,0.003,0.003
558,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
559,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
560,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
561,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
562,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
563,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
564,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
565,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
566,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
567,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
568,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
569,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
570,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
571,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
572,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.002
573,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.002
574,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.002
575,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.002
576,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.003
577,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
578,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.003
579,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
580,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.002
581,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.002
582,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.003,0.002
583,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
584,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
585,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
586,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
587,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
588,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.003
589,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.003,0.002
590,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.003,0.002
591,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.003,0.002
592,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.003,0.002
593,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.003,0.002
594,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.003,0.002
595,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.003,0.002
596,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
597,0,0.001,0.005,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002
598,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
599,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
600,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
601,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
602,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
603,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
604,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
605,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
606,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.003,0.002
607,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.003,0.002
608,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
609,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
610,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
611,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
612,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
613,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
614,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
615,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
616,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
617,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
618,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
619,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
620,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
621,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
622,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
623,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
624,0,0.001,0.005,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
625,0,0.001,0.005,0.001,0.002,0.001,0.003,0.003,0.001,0.002,0.002
626,0,0.001,0.005,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
627,0,0.001,0.004,0,0.001,0.001,0.003,0.003,0.001,0.002,0.002
628,0,0.001,0.004,0,0.001,0.001,0.003,0.003,0.001,0.002,0.002
629,0,0.001,0.004,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
630,0,0.001,0.004,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
631,0,0.001,0.005,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
632,0,0.001,0.005,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
633,0,0.001,0.004,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
634,0,0.001,0.004,0,0.002,0.001,0.003,0.003,0.001,0.002,0.002
635,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
636,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
637,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
638,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
639,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
640,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
641,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
642,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
643,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
644,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
645,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
646,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
647,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
648,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
649,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
650,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
651,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
652,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
653,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
654,0,0.001,0.004,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
655,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
656,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
657,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
658,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
659,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
660,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
661,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
662,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
663,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
664,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
665,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
666,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
667,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
668,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
669,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
670,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
671,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
672,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
673,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
674,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
675,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
676,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
677,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
678,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
679,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
680,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
681,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
682,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
683,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
684,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
685,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
686,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
687,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
688,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
689,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
690,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
691,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
692,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
693,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
694,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
695,0,0.001,0.005,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.002
696,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
697,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
698,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
699,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
700,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
701,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
702,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
703,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
704,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
705,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
706,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
707,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
708,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
709,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
710,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
711,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
712,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
713,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
714,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
715,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
716,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
717,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
718,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
719,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
720,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
721,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
722,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
723,0,0.001,0.005,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
724,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
725,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
726,0,0,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
727,0,0.001,0.004,0,0.002,0.001,0.002,0.003,0.001,0.002,0.002
728,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
729,0,0.001,0.004,0,0.002,0,0.002,0.003,0.001,0.002,0.002
730,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
731,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
732,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
733,0,0,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
734,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
735,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
736,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
737,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
738,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
739,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
740,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
741,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
742,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
743,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
744,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
745,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
746,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
747,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
748,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
749,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
750,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
751,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
752,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
753,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
754,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
755,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
756,0,0,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
757,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
758,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
759,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
760,0.001,0.002,0.005,0.001,0.002,0.001,0.003,0.004,0.002,0.003,0.003
761,0,0.001,0.005,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
762,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
763,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
764,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
765,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
766,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
767,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
768,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
769,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
770,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
771,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
772,0,0.001,0.004,0,0.001,0,0.002,0.002,0.001,0.002,0.002
773,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
774,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
775,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
776,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
777,0,0.001,0.005,0,0.001,0,0.002,0.003,0.001,0.002,0.002
778,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
779,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
780,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
781,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
782,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
783,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
784,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
785,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
786,0,0.001,0.004,0,0.001,0,0.002,0.003,0.001,0.002,0.002
787,0,0.001,0.004,0,0.001,0.001,0.002,0.003,0.001,0.002,0.002
