Wavelength,MilliQ,C17Nov22_0_1m_r2,C14oct22_0_1m_r1,C17nov22_SMB_r2,C17nov22_21m_r1,C17nov22_1_5m_r2,C17nov22_6m_r2,C14oct22_CCS_r2,C17nov22_1_5m_r1,C17nov22_9m_r2,C17nov22_CCS_r2,C17nov22_CCT_r1,C14oct22_TCT_r2,C17nov22_TCT_r1
283,-0.006,0.033,0.024,0.014,0.055,0.032,0.032,0.024,0.036,0.032,0.055,0.027,0.019,0.039
284,-0.006,0.032,0.023,0.014,0.054,0.031,0.032,0.023,0.035,0.031,0.054,0.026,0.019,0.038
285,-0.006,0.031,0.022,0.014,0.053,0.03,0.031,0.023,0.034,0.03,0.053,0.026,0.019,0.038
286,-0.006,0.031,0.022,0.014,0.053,0.03,0.03,0.023,0.034,0.03,0.053,0.026,0.018,0.037
287,-0.006,0.03,0.021,0.013,0.052,0.029,0.03,0.022,0.033,0.029,0.052,0.025,0.018,0.036
288,-0.006,0.029,0.02,0.013,0.051,0.028,0.029,0.022,0.032,0.028,0.051,0.025,0.017,0.036
289,-0.006,0.028,0.02,0.013,0.05,0.028,0.028,0.021,0.031,0.028,0.05,0.024,0.017,0.035
290,-0.006,0.028,0.019,0.012,0.049,0.027,0.028,0.021,0.031,0.027,0.05,0.024,0.017,0.035
291,-0.006,0.027,0.019,0.012,0.048,0.026,0.027,0.02,0.03,0.026,0.049,0.023,0.016,0.034
292,-0.006,0.026,0.018,0.012,0.047,0.026,0.026,0.02,0.03,0.026,0.048,0.023,0.016,0.034
293,-0.006,0.026,0.018,0.011,0.047,0.025,0.026,0.02,0.029,0.025,0.047,0.022,0.016,0.033
294,-0.006,0.025,0.017,0.011,0.046,0.024,0.025,0.019,0.028,0.024,0.046,0.022,0.015,0.032
295,-0.006,0.025,0.017,0.011,0.045,0.024,0.025,0.019,0.028,0.024,0.046,0.022,0.015,0.032
296,-0.006,0.024,0.016,0.01,0.044,0.023,0.024,0.019,0.027,0.024,0.045,0.021,0.014,0.031
297,-0.006,0.024,0.016,0.01,0.044,0.023,0.024,0.019,0.027,0.023,0.044,0.021,0.014,0.031
298,-0.006,0.023,0.015,0.01,0.043,0.022,0.023,0.018,0.026,0.023,0.044,0.02,0.014,0.031
299,-0.006,0.023,0.015,0.01,0.042,0.022,0.023,0.018,0.026,0.022,0.043,0.02,0.013,0.03
300,-0.006,0.022,0.014,0.01,0.041,0.021,0.022,0.018,0.025,0.021,0.042,0.02,0.013,0.029
301,-0.006,0.022,0.014,0.01,0.041,0.021,0.022,0.017,0.024,0.021,0.042,0.019,0.013,0.029
302,-0.006,0.021,0.013,0.009,0.04,0.02,0.021,0.017,0.024,0.021,0.041,0.019,0.013,0.028
303,-0.006,0.021,0.013,0.009,0.039,0.02,0.021,0.016,0.023,0.02,0.04,0.019,0.012,0.028
304,-0.006,0.02,0.013,0.009,0.039,0.02,0.02,0.016,0.023,0.02,0.04,0.018,0.012,0.027
305,-0.006,0.02,0.013,0.009,0.038,0.019,0.02,0.016,0.023,0.019,0.039,0.018,0.012,0.027
306,-0.006,0.019,0.012,0.009,0.038,0.019,0.02,0.016,0.023,0.019,0.038,0.018,0.012,0.027
307,-0.005,0.019,0.012,0.008,0.037,0.019,0.02,0.016,0.022,0.019,0.038,0.018,0.011,0.026
308,-0.005,0.019,0.012,0.008,0.037,0.018,0.019,0.016,0.022,0.018,0.037,0.017,0.011,0.026
309,-0.005,0.019,0.011,0.008,0.036,0.018,0.019,0.015,0.021,0.018,0.037,0.017,0.011,0.025
310,-0.005,0.018,0.011,0.008,0.036,0.018,0.018,0.015,0.021,0.017,0.036,0.016,0.011,0.025
311,-0.005,0.018,0.011,0.008,0.035,0.017,0.018,0.015,0.021,0.017,0.036,0.016,0.01,0.024
312,-0.005,0.017,0.011,0.008,0.034,0.017,0.018,0.015,0.02,0.017,0.035,0.016,0.01,0.024
313,-0.005,0.017,0.01,0.008,0.034,0.016,0.018,0.015,0.02,0.017,0.035,0.016,0.01,0.024
314,-0.005,0.017,0.01,0.007,0.033,0.016,0.017,0.014,0.019,0.016,0.034,0.015,0.01,0.023
315,-0.005,0.017,0.01,0.007,0.033,0.016,0.017,0.014,0.019,0.016,0.034,0.015,0.009,0.023
316,-0.005,0.016,0.01,0.007,0.032,0.016,0.017,0.014,0.019,0.016,0.033,0.015,0.009,0.023
317,-0.005,0.016,0.01,0.007,0.032,0.016,0.016,0.014,0.019,0.015,0.033,0.014,0.009,0.022
318,-0.005,0.016,0.009,0.007,0.032,0.015,0.016,0.014,0.019,0.015,0.033,0.014,0.009,0.022
319,-0.005,0.015,0.009,0.006,0.031,0.015,0.016,0.014,0.018,0.015,0.032,0.014,0.009,0.021
320,-0.005,0.015,0.009,0.006,0.03,0.015,0.015,0.013,0.018,0.015,0.032,0.014,0.008,0.021
321,-0.005,0.015,0.008,0.006,0.03,0.014,0.015,0.013,0.018,0.014,0.031,0.013,0.008,0.021
322,-0.005,0.014,0.008,0.006,0.029,0.014,0.015,0.013,0.017,0.014,0.031,0.013,0.008,0.02
323,-0.005,0.014,0.008,0.006,0.029,0.014,0.015,0.013,0.017,0.014,0.03,0.013,0.008,0.02
324,-0.005,0.014,0.008,0.006,0.029,0.014,0.015,0.013,0.017,0.014,0.03,0.013,0.008,0.02
325,-0.005,0.014,0.008,0.006,0.029,0.013,0.014,0.013,0.017,0.014,0.03,0.012,0.008,0.019
326,-0.005,0.013,0.007,0.006,0.028,0.013,0.014,0.012,0.016,0.013,0.029,0.012,0.007,0.019
327,-0.005,0.013,0.007,0.006,0.027,0.013,0.014,0.012,0.016,0.013,0.029,0.012,0.007,0.019
328,-0.005,0.013,0.007,0.005,0.027,0.013,0.014,0.012,0.016,0.013,0.029,0.012,0.007,0.019
329,-0.004,0.013,0.007,0.005,0.027,0.013,0.013,0.012,0.016,0.013,0.029,0.011,0.007,0.018
330,-0.005,0.012,0.007,0.005,0.026,0.012,0.013,0.011,0.015,0.012,0.028,0.011,0.007,0.018
331,-0.005,0.012,0.007,0.005,0.026,0.012,0.013,0.011,0.015,0.012,0.028,0.011,0.007,0.017
332,-0.004,0.012,0.007,0.005,0.026,0.012,0.012,0.011,0.015,0.012,0.027,0.011,0.007,0.017
333,-0.004,0.012,0.006,0.005,0.025,0.011,0.013,0.011,0.015,0.012,0.027,0.011,0.007,0.017
334,-0.005,0.012,0.006,0.005,0.025,0.011,0.012,0.011,0.014,0.011,0.027,0.01,0.006,0.016
335,-0.005,0.011,0.006,0.005,0.024,0.011,0.012,0.01,0.014,0.011,0.026,0.01,0.006,0.016
336,-0.005,0.011,0.006,0.005,0.024,0.011,0.012,0.01,0.014,0.011,0.026,0.01,0.006,0.016
337,-0.005,0.01,0.006,0.004,0.023,0.011,0.011,0.01,0.013,0.01,0.026,0.01,0.006,0.016
338,-0.005,0.01,0.006,0.004,0.023,0.01,0.011,0.01,0.013,0.01,0.026,0.009,0.005,0.015
339,-0.004,0.011,0.006,0.005,0.023,0.01,0.011,0.01,0.013,0.01,0.026,0.01,0.006,0.015
340,-0.003,0.012,0.007,0.005,0.024,0.011,0.012,0.011,0.014,0.011,0.026,0.01,0.007,0.016
341,-0.004,0.01,0.005,0.004,0.022,0.01,0.011,0.01,0.013,0.01,0.025,0.009,0.005,0.015
342,-0.004,0.01,0.005,0.004,0.022,0.01,0.01,0.009,0.012,0.01,0.024,0.008,0.005,0.014
343,-0.004,0.009,0.005,0.004,0.021,0.009,0.01,0.009,0.012,0.009,0.024,0.008,0.004,0.013
344,-0.004,0.01,0.005,0.004,0.021,0.009,0.01,0.009,0.012,0.009,0.024,0.008,0.005,0.014
345,-0.004,0.009,0.005,0.004,0.02,0.009,0.01,0.009,0.012,0.009,0.023,0.008,0.005,0.013
346,-0.004,0.009,0.004,0.003,0.02,0.009,0.009,0.008,0.012,0.008,0.023,0.008,0.004,0.013
347,-0.004,0.009,0.004,0.003,0.02,0.009,0.01,0.008,0.012,0.009,0.023,0.008,0.004,0.013
348,-0.004,0.009,0.004,0.003,0.02,0.009,0.009,0.008,0.011,0.008,0.023,0.007,0.004,0.012
349,-0.004,0.009,0.004,0.003,0.019,0.008,0.009,0.008,0.011,0.008,0.023,0.007,0.004,0.012
350,-0.004,0.009,0.004,0.003,0.019,0.009,0.009,0.008,0.011,0.008,0.022,0.007,0.004,0.012
351,-0.004,0.008,0.004,0.003,0.019,0.008,0.009,0.008,0.011,0.008,0.022,0.007,0.004,0.012
352,-0.004,0.008,0.004,0.003,0.018,0.008,0.009,0.008,0.011,0.008,0.022,0.007,0.004,0.012
353,-0.004,0.008,0.004,0.003,0.018,0.008,0.009,0.008,0.011,0.008,0.022,0.007,0.004,0.012
354,-0.004,0.008,0.004,0.003,0.018,0.008,0.008,0.007,0.011,0.008,0.021,0.006,0.003,0.011
355,-0.004,0.008,0.004,0.003,0.018,0.008,0.008,0.007,0.01,0.008,0.021,0.006,0.003,0.011
356,-0.004,0.008,0.003,0.003,0.017,0.007,0.008,0.007,0.01,0.007,0.021,0.006,0.003,0.011
357,-0.004,0.008,0.004,0.003,0.017,0.007,0.008,0.007,0.01,0.008,0.021,0.006,0.003,0.01
358,-0.004,0.007,0.004,0.003,0.017,0.007,0.008,0.007,0.01,0.007,0.021,0.006,0.003,0.01
359,-0.004,0.007,0.004,0.003,0.017,0.007,0.008,0.007,0.01,0.007,0.02,0.006,0.003,0.01
360,-0.003,0.007,0.004,0.003,0.016,0.007,0.008,0.007,0.01,0.007,0.02,0.006,0.003,0.01
361,-0.003,0.007,0.003,0.003,0.017,0.007,0.008,0.007,0.01,0.007,0.02,0.006,0.003,0.01
362,-0.004,0.007,0.003,0.003,0.016,0.007,0.007,0.006,0.01,0.007,0.02,0.005,0.002,0.009
363,-0.003,0.007,0.003,0.003,0.016,0.007,0.008,0.007,0.009,0.007,0.02,0.006,0.003,0.01
364,-0.003,0.007,0.003,0.002,0.016,0.007,0.007,0.007,0.009,0.007,0.02,0.005,0.003,0.009
365,-0.003,0.007,0.003,0.002,0.015,0.007,0.007,0.006,0.01,0.006,0.019,0.005,0.003,0.009
366,-0.003,0.007,0.003,0.003,0.015,0.007,0.007,0.006,0.009,0.007,0.019,0.005,0.003,0.009
367,-0.003,0.007,0.003,0.003,0.015,0.006,0.007,0.006,0.009,0.006,0.019,0.005,0.003,0.009
368,-0.003,0.007,0.003,0.003,0.015,0.006,0.007,0.006,0.009,0.006,0.019,0.005,0.003,0.009
369,-0.003,0.006,0.003,0.003,0.015,0.006,0.007,0.006,0.009,0.006,0.019,0.005,0.002,0.008
370,-0.003,0.006,0.003,0.002,0.014,0.006,0.007,0.006,0.009,0.006,0.018,0.004,0.002,0.008
371,-0.003,0.006,0.003,0.002,0.014,0.006,0.007,0.006,0.009,0.006,0.018,0.004,0.002,0.008
372,-0.003,0.006,0.003,0.002,0.014,0.006,0.007,0.006,0.009,0.006,0.018,0.005,0.002,0.008
373,-0.003,0.006,0.003,0.002,0.014,0.006,0.006,0.006,0.009,0.006,0.018,0.005,0.002,0.008
374,-0.003,0.006,0.003,0.002,0.014,0.006,0.006,0.005,0.008,0.006,0.018,0.004,0.002,0.008
375,-0.003,0.006,0.003,0.002,0.013,0.006,0.006,0.005,0.008,0.005,0.018,0.004,0.002,0.008
376,-0.003,0.006,0.003,0.002,0.013,0.006,0.006,0.005,0.008,0.005,0.018,0.004,0.002,0.007
377,-0.003,0.006,0.002,0.002,0.013,0.005,0.006,0.005,0.008,0.005,0.018,0.004,0.002,0.007
378,-0.003,0.006,0.002,0.002,0.013,0.005,0.006,0.005,0.008,0.005,0.017,0.004,0.002,0.007
379,-0.003,0.005,0.002,0.002,0.012,0.005,0.006,0.005,0.008,0.005,0.017,0.004,0.002,0.007
