Wavelength,MilliQ,C17Nov22_0_1m_r2,C14oct22_0_1m_r1,C17nov22_SMB_r2,C17nov22_21m_r1,C17nov22_1_5m_r2,C17nov22_6m_r2,C14oct22_CCS_r2,C17nov22_1_5m_r1,C17nov22_9m_r2,C17nov22_CCS_r2,C17nov22_CCT_r1,C14oct22_TCT_r2,C17nov22_TCT_r1
414,-0.002,0.003,0.002,0.002,0.008,0.004,0.004,0.004,0.006,0.003,0.013,0.002,0.001,0.004
415,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.004,0.006,0.003,0.013,0.002,0.001,0.004
416,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.004,0.006,0.003,0.013,0.002,0.001,0.004
417,-0.002,0.003,0.002,0.001,0.008,0.003,0.004,0.003,0.006,0.003,0.013,0.002,0,0.004
418,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.004
419,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.004
420,-0.002,0.003,0.001,0.001,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.003
421,-0.002,0.003,0.001,0.001,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.003
422,-0.002,0.003,0.002,0.001,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0,0.003
423,-0.001,0.003,0.002,0.002,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.003
424,-0.001,0.003,0.002,0.002,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0.001,0.003
425,-0.001,0.003,0.001,0.002,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0,0.003
426,-0.001,0.003,0.001,0.002,0.007,0.003,0.003,0.003,0.005,0.003,0.013,0.002,0,0.003
427,-0.001,0.003,0.002,0.002,0.007,0.003,0.004,0.003,0.005,0.003,0.013,0.002,0,0.003
428,-0.001,0.003,0.001,0.002,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0,0.003
429,-0.001,0.003,0.001,0.001,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0,0.003
430,-0.001,0.003,0.001,0.001,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0,0.003
431,-0.001,0.003,0.001,0.002,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0,0.003
432,-0.001,0.003,0.002,0.002,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0.001,0.003
433,-0.001,0.003,0.002,0.002,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0.001,0.003
434,-0.001,0.003,0.001,0.001,0.007,0.003,0.003,0.003,0.005,0.003,0.012,0.002,0,0.003
435,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.002,0,0.003
436,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.002,0,0.003
437,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
438,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
439,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
440,-0.001,0.003,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
441,-0.001,0.002,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
442,-0.001,0.002,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.012,0.001,0,0.003
443,-0.001,0.002,0.001,0.001,0.006,0.003,0.003,0.003,0.005,0.002,0.011,0.001,0,0.003
444,-0.001,0.002,0.001,0.001,0.006,0.002,0.003,0.003,0.005,0.002,0.012,0.001,0,0.002
445,-0.001,0.002,0.001,0.001,0.006,0.002,0.003,0.003,0.004,0.002,0.011,0.001,0,0.002
446,-0.001,0.002,0.001,0.001,0.006,0.002,0.003,0.003,0.004,0.002,0.011,0.001,0,0.002
447,-0.001,0.002,0.001,0.001,0.006,0.002,0.003,0.003,0.004,0.002,0.011,0.001,0,0.002
448,-0.001,0.002,0.001,0.001,0.006,0.002,0.003,0.003,0.004,0.002,0.011,0.001,0,0.002
449,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.003,0.004,0.002,0.011,0.001,0,0.002
450,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
451,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
452,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
453,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
454,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
455,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
456,-0.001,0.002,0.001,0.001,0.005,0.002,0.003,0.002,0.004,0.002,0.011,0.001,0,0.002
457,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
458,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
459,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
460,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
461,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
462,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
463,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
464,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.011,0.001,0,0.002
465,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.002,0.01,0.001,0,0.002
466,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
467,-0.001,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
468,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
469,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
470,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
471,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.002,0.01,0.001,0,0.002
472,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
473,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
474,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
475,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
476,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
477,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
478,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
479,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
480,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.002
481,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.001
482,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.001
483,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.001
484,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.01,0.001,0,0.001
485,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.01,0.001,0,0.001
486,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.01,0.001,0,0.001
487,-0.001,0.002,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.01,0.001,0,0.001
488,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.01,0.001,0,0.001
489,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
490,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
491,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
492,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
493,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
494,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.009,0.001,0,0.001
495,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.009,0.001,0,0.001
496,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.004,0.001,0.009,0.001,0,0.001
497,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
498,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
499,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
500,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
501,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
502,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
503,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
504,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
505,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
506,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
507,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
508,-0.001,0.001,0.001,0.001,0.004,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
509,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
510,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
511,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
512,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
513,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
514,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
515,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
516,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
517,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
518,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
519,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
520,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
521,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
522,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
523,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
524,-0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0,0,0.001
525,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
526,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
527,-0.001,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
528,-0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
529,-0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
530,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
531,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
532,0,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
533,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
534,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
535,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
536,0.001,0.002,0.002,0.002,0.004,0.003,0.003,0.003,0.004,0.002,0.009,0.002,0.001,0.002
537,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.009,0.001,0,0.001
538,0,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
539,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0,0,0.001
540,0,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
541,0,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
542,0,0.001,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
543,0,0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.001,0.008,0.001,0,0.001
544,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
545,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
546,-0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
547,-0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
548,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
549,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
550,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
551,0,0.001,0.001,0.001,0.003,0.001,0.002,0.001,0.003,0.001,0.008,0.001,0,0.001
552,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
553,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0,0,0.001
554,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
555,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
556,-0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
557,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
558,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
559,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
560,-0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
561,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
562,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
563,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0,0,0.001
564,-0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
565,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
566,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
567,0,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
568,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
569,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
570,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
571,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0,0,0.001
572,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
573,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
574,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
575,-0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
576,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
577,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
578,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.008,0.001,0,0.001
579,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
580,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
581,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
582,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
583,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
584,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
585,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
586,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
587,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
588,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
589,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
590,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
591,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
592,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
593,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
594,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
595,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
596,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
597,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
598,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
599,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
600,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
601,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
602,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
603,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
604,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.001,0.007,0.001,0,0.001
605,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
606,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
607,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
608,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
609,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
610,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
611,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
612,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
613,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
614,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
615,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
616,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
617,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
618,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
619,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
620,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
621,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
622,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
623,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
624,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
625,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
626,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
627,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
628,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
629,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
630,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
631,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
632,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
633,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0
634,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
635,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
636,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
637,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
638,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
639,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
640,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.007,0,0,0
641,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.007,0,0,0
642,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
643,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0
644,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0,0.006,0,0,0
645,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0
646,0,0,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0
647,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0
648,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0,0,0.001
649,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
650,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
651,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
652,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
653,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0
654,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
655,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.007,0.001,0,0.001
656,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
657,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
658,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
659,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
660,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0,0,0.001
661,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
662,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
663,0,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.006,0.001,0,0.001
