Wavelength nm.,MilliQ,CP2_11jul24_BOTr2,CC4_11jul24_9r2,CC3_11jul24_01r2,CC4_11jul24_6r1,CP2_11jul24_01r1,CC4_11jul24_01r1,CS1_11jul24_01r1,CC1_11jul24_01r1,CC4_11jul24_15r1,CC4_11jul24_BOTr2,CC1_11jul24_BOTr2,CC3_11jul24_15r2,CC2_11jul24_01r1,CP1_11jul24_01r2
226,-0.001,0.1,0.081,0.066,0.084,0.097,0.065,0.121,0.075,0.069,0.077,0.075,0.065,0.069,0.13
227,-0.002,0.098,0.079,0.065,0.082,0.096,0.064,0.116,0.074,0.068,0.075,0.074,0.064,0.068,0.128
228,-0.001,0.097,0.078,0.064,0.081,0.094,0.062,0.112,0.072,0.067,0.072,0.072,0.063,0.067,0.126
229,-0.001,0.095,0.076,0.063,0.08,0.093,0.061,0.108,0.071,0.065,0.07,0.071,0.062,0.066,0.123
230,-0.001,0.093,0.074,0.061,0.078,0.091,0.06,0.105,0.07,0.064,0.068,0.07,0.061,0.064,0.121
231,-0.001,0.092,0.073,0.06,0.077,0.09,0.059,0.101,0.069,0.063,0.066,0.069,0.06,0.063,0.119
232,-0.001,0.09,0.071,0.059,0.076,0.089,0.058,0.099,0.068,0.061,0.065,0.068,0.059,0.062,0.117
233,-0.001,0.089,0.07,0.058,0.075,0.087,0.057,0.096,0.067,0.06,0.063,0.067,0.058,0.061,0.116
234,-0.001,0.088,0.068,0.057,0.074,0.086,0.057,0.094,0.066,0.059,0.062,0.066,0.057,0.06,0.114
235,-0.001,0.086,0.067,0.056,0.073,0.085,0.056,0.091,0.065,0.058,0.061,0.065,0.056,0.059,0.112
236,-0.001,0.085,0.066,0.055,0.072,0.084,0.055,0.089,0.064,0.057,0.059,0.064,0.055,0.058,0.11
237,-0.001,0.084,0.065,0.054,0.071,0.082,0.054,0.087,0.063,0.056,0.058,0.063,0.054,0.057,0.109
238,-0.001,0.083,0.064,0.054,0.07,0.081,0.053,0.086,0.062,0.055,0.057,0.062,0.053,0.057,0.107
239,-0.001,0.082,0.063,0.053,0.069,0.08,0.053,0.084,0.061,0.055,0.056,0.061,0.053,0.056,0.105
240,-0.001,0.081,0.062,0.052,0.068,0.079,0.052,0.083,0.061,0.054,0.055,0.06,0.052,0.055,0.104
241,-0.001,0.08,0.061,0.052,0.067,0.078,0.051,0.082,0.06,0.053,0.054,0.06,0.051,0.054,0.103
242,-0.001,0.079,0.06,0.051,0.067,0.077,0.051,0.08,0.059,0.052,0.054,0.059,0.051,0.054,0.101
243,-0.001,0.078,0.059,0.051,0.066,0.077,0.05,0.079,0.059,0.052,0.053,0.058,0.05,0.053,0.1
244,-0.001,0.077,0.059,0.05,0.065,0.076,0.05,0.078,0.058,0.051,0.052,0.058,0.05,0.053,0.099
245,-0.001,0.076,0.058,0.049,0.065,0.075,0.049,0.077,0.058,0.051,0.052,0.057,0.049,0.052,0.098
246,-0.001,0.076,0.057,0.049,0.064,0.075,0.049,0.076,0.057,0.05,0.051,0.057,0.049,0.052,0.096
247,-0.001,0.075,0.057,0.049,0.063,0.074,0.048,0.075,0.056,0.049,0.05,0.056,0.048,0.051,0.095
248,-0.001,0.074,0.056,0.048,0.063,0.073,0.048,0.074,0.056,0.049,0.05,0.056,0.048,0.051,0.094
249,-0.001,0.074,0.055,0.048,0.062,0.073,0.047,0.074,0.056,0.049,0.049,0.055,0.048,0.05,0.093
250,-0.001,0.073,0.055,0.048,0.062,0.072,0.047,0.073,0.055,0.048,0.049,0.055,0.047,0.05,0.093
251,-0.001,0.073,0.055,0.047,0.061,0.072,0.047,0.073,0.055,0.048,0.048,0.055,0.047,0.05,0.092
252,-0.001,0.072,0.054,0.047,0.061,0.071,0.046,0.072,0.054,0.048,0.048,0.055,0.047,0.049,0.091
253,-0.001,0.072,0.054,0.047,0.06,0.071,0.046,0.071,0.054,0.047,0.047,0.054,0.047,0.049,0.09
254,-0.001,0.072,0.053,0.046,0.06,0.07,0.046,0.07,0.054,0.047,0.047,0.054,0.046,0.049,0.09
255,-0.001,0.071,0.053,0.046,0.059,0.07,0.045,0.07,0.053,0.047,0.046,0.053,0.046,0.048,0.089
256,-0.001,0.071,0.052,0.046,0.059,0.069,0.045,0.069,0.053,0.046,0.046,0.053,0.045,0.048,0.088
257,-0.001,0.07,0.052,0.045,0.059,0.069,0.045,0.069,0.053,0.046,0.046,0.053,0.045,0.047,0.087
258,-0.001,0.07,0.051,0.045,0.058,0.068,0.044,0.068,0.052,0.046,0.045,0.052,0.045,0.047,0.087
259,-0.001,0.069,0.051,0.045,0.058,0.068,0.044,0.068,0.052,0.045,0.045,0.052,0.045,0.047,0.086
260,-0.001,0.069,0.051,0.044,0.057,0.067,0.043,0.067,0.051,0.045,0.044,0.052,0.044,0.046,0.085
261,-0.001,0.068,0.05,0.044,0.057,0.067,0.043,0.067,0.051,0.044,0.044,0.051,0.044,0.046,0.085
262,-0.001,0.068,0.05,0.043,0.056,0.066,0.043,0.066,0.051,0.044,0.043,0.051,0.043,0.046,0.084
263,-0.001,0.067,0.049,0.043,0.056,0.066,0.042,0.066,0.05,0.044,0.043,0.05,0.043,0.045,0.083
264,-0.001,0.066,0.049,0.042,0.055,0.065,0.042,0.065,0.05,0.043,0.042,0.05,0.042,0.044,0.082
265,-0.001,0.066,0.048,0.042,0.055,0.064,0.041,0.065,0.049,0.043,0.042,0.049,0.042,0.044,0.081
266,-0.001,0.065,0.048,0.041,0.054,0.063,0.041,0.064,0.048,0.042,0.041,0.049,0.041,0.043,0.081
267,-0.001,0.064,0.047,0.041,0.053,0.063,0.04,0.063,0.048,0.042,0.041,0.048,0.041,0.043,0.079
268,-0.001,0.063,0.047,0.04,0.053,0.062,0.039,0.063,0.047,0.041,0.04,0.047,0.04,0.042,0.078
269,-0.001,0.063,0.046,0.039,0.052,0.061,0.039,0.062,0.047,0.041,0.04,0.047,0.04,0.042,0.078
270,-0.001,0.062,0.046,0.039,0.052,0.06,0.038,0.062,0.046,0.04,0.039,0.046,0.039,0.041,0.077
271,-0.001,0.061,0.045,0.038,0.051,0.059,0.038,0.061,0.045,0.039,0.039,0.045,0.038,0.04,0.076
272,-0.001,0.06,0.044,0.037,0.05,0.059,0.037,0.06,0.045,0.039,0.038,0.044,0.037,0.039,0.075
273,-0.001,0.059,0.044,0.037,0.05,0.058,0.036,0.06,0.044,0.038,0.037,0.044,0.037,0.039,0.074
274,-0.001,0.059,0.043,0.036,0.049,0.057,0.036,0.059,0.043,0.038,0.037,0.043,0.036,0.038,0.073
275,-0.001,0.058,0.042,0.035,0.048,0.056,0.035,0.058,0.042,0.037,0.036,0.042,0.035,0.037,0.072
276,-0.001,0.057,0.042,0.035,0.048,0.055,0.034,0.058,0.042,0.036,0.036,0.041,0.035,0.037,0.071
277,-0.001,0.056,0.041,0.034,0.047,0.054,0.033,0.057,0.041,0.035,0.035,0.041,0.034,0.036,0.07
278,-0.001,0.055,0.041,0.033,0.046,0.053,0.033,0.057,0.04,0.035,0.034,0.04,0.033,0.035,0.069
279,-0.001,0.054,0.04,0.032,0.046,0.053,0.032,0.056,0.039,0.034,0.034,0.039,0.032,0.035,0.068
280,-0.001,0.053,0.039,0.032,0.045,0.052,0.031,0.056,0.039,0.033,0.033,0.038,0.032,0.034,0.068
281,-0.001,0.052,0.039,0.031,0.044,0.051,0.03,0.055,0.038,0.033,0.033,0.037,0.031,0.033,0.067
282,-0.001,0.051,0.038,0.03,0.044,0.05,0.03,0.054,0.037,0.032,0.032,0.036,0.03,0.032,0.066
283,-0.001,0.05,0.037,0.03,0.043,0.049,0.029,0.053,0.036,0.031,0.031,0.036,0.029,0.031,0.065
284,-0.001,0.049,0.037,0.029,0.042,0.048,0.028,0.053,0.036,0.03,0.031,0.035,0.029,0.031,0.064
285,-0.001,0.048,0.036,0.028,0.042,0.047,0.028,0.052,0.035,0.029,0.03,0.034,0.028,0.03,0.063
286,-0.001,0.047,0.036,0.027,0.041,0.046,0.027,0.051,0.034,0.029,0.03,0.034,0.027,0.029,0.062
287,-0.001,0.046,0.035,0.027,0.04,0.045,0.026,0.05,0.034,0.028,0.029,0.033,0.027,0.029,0.061
288,-0.001,0.045,0.034,0.026,0.039,0.044,0.025,0.05,0.033,0.027,0.028,0.032,0.026,0.028,0.06
289,-0.001,0.045,0.034,0.025,0.039,0.044,0.025,0.049,0.032,0.026,0.028,0.031,0.025,0.027,0.059
290,-0.001,0.043,0.033,0.025,0.038,0.043,0.024,0.048,0.032,0.026,0.027,0.03,0.025,0.026,0.058
291,-0.001,0.043,0.032,0.024,0.037,0.042,0.023,0.048,0.031,0.025,0.027,0.03,0.024,0.026,0.057
292,-0.001,0.042,0.032,0.023,0.037,0.041,0.023,0.047,0.03,0.024,0.026,0.029,0.023,0.025,0.056
293,-0.001,0.041,0.031,0.023,0.036,0.04,0.022,0.046,0.03,0.024,0.026,0.028,0.023,0.024,0.055
294,-0.001,0.04,0.03,0.022,0.035,0.04,0.022,0.045,0.029,0.023,0.025,0.028,0.022,0.024,0.054
295,-0.001,0.04,0.03,0.022,0.035,0.039,0.021,0.045,0.028,0.022,0.025,0.027,0.022,0.023,0.053
296,-0.001,0.039,0.029,0.021,0.034,0.038,0.021,0.044,0.028,0.022,0.024,0.026,0.021,0.023,0.052
297,-0.001,0.038,0.029,0.021,0.034,0.038,0.02,0.044,0.027,0.021,0.024,0.026,0.02,0.022,0.052
298,-0.001,0.038,0.028,0.02,0.033,0.037,0.02,0.043,0.027,0.021,0.023,0.025,0.02,0.022,0.051
299,-0.001,0.037,0.028,0.019,0.033,0.036,0.019,0.042,0.026,0.02,0.022,0.025,0.019,0.021,0.05
300,-0.001,0.036,0.027,0.019,0.032,0.036,0.019,0.042,0.026,0.019,0.022,0.024,0.019,0.021,0.049
301,-0.001,0.035,0.027,0.019,0.032,0.035,0.018,0.041,0.025,0.019,0.022,0.024,0.019,0.021,0.049
302,-0.001,0.035,0.026,0.018,0.031,0.035,0.018,0.04,0.025,0.018,0.021,0.023,0.018,0.02,0.048
303,-0.001,0.034,0.025,0.018,0.031,0.034,0.017,0.04,0.024,0.018,0.021,0.023,0.018,0.02,0.047
304,-0.001,0.034,0.025,0.017,0.03,0.034,0.017,0.039,0.024,0.017,0.02,0.022,0.017,0.019,0.046
