Wavelength nm.,MilliQ,CP2_11jul24_BOTr2,CC4_11jul24_9r2,CC3_11jul24_01r2,CC4_11jul24_6r1,CP2_11jul24_01r1,CC4_11jul24_01r1,CS1_11jul24_01r1,CC1_11jul24_01r1,CC4_11jul24_15r1,CC4_11jul24_BOTr2,CC1_11jul24_BOTr2,CC3_11jul24_15r2,CC2_11jul24_01r1,CP1_11jul24_01r2
397,-0.001,0.009,0.006,0.003,0.011,0.01,0.003,0.01,0.007,0.003,0.003,0.005,0.003,0.004,0.012
398,-0.001,0.008,0.006,0.003,0.011,0.01,0.003,0.01,0.006,0.003,0.003,0.005,0.003,0.004,0.011
399,-0.001,0.008,0.006,0.003,0.011,0.01,0.003,0.01,0.006,0.003,0.003,0.005,0.003,0.004,0.011
400,-0.001,0.008,0.006,0.003,0.011,0.01,0.003,0.009,0.006,0.003,0.003,0.005,0.003,0.004,0.011
401,-0.001,0.008,0.006,0.003,0.011,0.01,0.003,0.009,0.006,0.003,0.003,0.005,0.003,0.004,0.011
402,-0.001,0.008,0.006,0.003,0.011,0.01,0.003,0.009,0.006,0.003,0.003,0.005,0.003,0.004,0.011
403,-0.001,0.008,0.006,0.003,0.011,0.01,0.002,0.009,0.006,0.003,0.003,0.005,0.003,0.004,0.011
404,-0.001,0.008,0.006,0.003,0.011,0.009,0.002,0.009,0.006,0.002,0.003,0.005,0.003,0.004,0.011
405,-0.001,0.008,0.006,0.003,0.011,0.009,0.002,0.009,0.006,0.002,0.003,0.005,0.003,0.004,0.01
406,-0.001,0.007,0.006,0.003,0.011,0.009,0.002,0.009,0.006,0.002,0.003,0.005,0.003,0.004,0.01
407,0,0.007,0.006,0.003,0.01,0.009,0.002,0.009,0.006,0.002,0.003,0.005,0.003,0.004,0.01
408,-0.001,0.007,0.006,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.003,0.004,0.002,0.004,0.01
409,-0.001,0.007,0.006,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.01
410,0,0.007,0.006,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.003,0.004,0.003,0.004,0.01
411,-0.001,0.007,0.005,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.003,0.004,0.003,0.003,0.01
412,-0.001,0.007,0.005,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.01
413,-0.001,0.007,0.005,0.003,0.01,0.009,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.01
414,-0.001,0.007,0.005,0.003,0.01,0.008,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.009
415,0,0.007,0.005,0.003,0.01,0.008,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.009
416,0,0.007,0.005,0.003,0.01,0.008,0.002,0.008,0.006,0.002,0.002,0.004,0.002,0.004,0.009
417,-0.001,0.006,0.005,0.003,0.01,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.009
418,-0.001,0.006,0.005,0.003,0.01,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.009
419,-0.001,0.006,0.005,0.003,0.01,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.009
420,0,0.006,0.005,0.003,0.01,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.009
421,0,0.006,0.005,0.002,0.01,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.009
422,0,0.006,0.005,0.002,0.009,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
423,-0.001,0.006,0.005,0.002,0.009,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
424,-0.001,0.006,0.005,0.002,0.009,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
425,0,0.006,0.005,0.002,0.009,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
426,-0.001,0.006,0.005,0.002,0.009,0.008,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
427,0,0.006,0.005,0.002,0.009,0.007,0.002,0.007,0.005,0.002,0.002,0.004,0.002,0.003,0.008
428,0,0.005,0.004,0.002,0.009,0.007,0.002,0.006,0.005,0.002,0.002,0.004,0.002,0.003,0.008
429,0,0.005,0.005,0.002,0.009,0.007,0.002,0.006,0.005,0.002,0.002,0.003,0.002,0.003,0.008
430,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.005,0.002,0.002,0.003,0.002,0.003,0.008
431,-0.001,0.005,0.004,0.002,0.009,0.007,0.002,0.006,0.005,0.002,0.002,0.003,0.002,0.003,0.008
432,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.005,0.002,0.002,0.003,0.002,0.003,0.008
433,-0.001,0.005,0.004,0.002,0.009,0.007,0.002,0.006,0.004,0.002,0.001,0.003,0.002,0.003,0.007
434,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.004,0.002,0.001,0.003,0.002,0.003,0.007
435,0,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.004,0.002,0.001,0.003,0.002,0.003,0.007
436,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.004,0.002,0.001,0.003,0.002,0.003,0.007
437,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.004,0.002,0.001,0.003,0.002,0.003,0.007
438,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.006,0.004,0.001,0.001,0.003,0.002,0.003,0.007
439,-0.001,0.005,0.004,0.002,0.009,0.007,0.001,0.005,0.004,0.002,0.001,0.003,0.002,0.003,0.007
440,-0.001,0.005,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.002,0.002,0.007
441,-0.001,0.005,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.007
442,0,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.007
443,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.007
444,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.007
445,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
446,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
447,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
448,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
449,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
450,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
451,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
452,-0.001,0.004,0.004,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
453,-0.001,0.004,0.003,0.002,0.008,0.006,0.001,0.005,0.004,0.001,0.001,0.003,0.001,0.002,0.006
454,-0.001,0.004,0.003,0.002,0.008,0.006,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
455,-0.001,0.004,0.003,0.002,0.008,0.006,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
456,0,0.004,0.003,0.002,0.008,0.006,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
457,0,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
458,-0.001,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.002,0.001,0.002,0.006
459,-0.001,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.002,0.001,0.002,0.006
460,-0.001,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
461,0,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
462,0,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
463,0,0.004,0.003,0.002,0.008,0.005,0.001,0.004,0.004,0.001,0.001,0.003,0.001,0.002,0.006
464,0,0.003,0.003,0.002,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.003,0.001,0.002,0.005
465,0,0.003,0.003,0.002,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
466,-0.001,0.003,0.003,0.001,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
467,0,0.003,0.003,0.001,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
468,0,0.003,0.003,0.001,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
469,0,0.003,0.003,0.001,0.008,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
470,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
471,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
472,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
473,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
474,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
475,0,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
476,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.002,0.005
477,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.004,0.003,0.001,0,0.002,0.001,0.002,0.005
478,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
479,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
480,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
481,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
482,-0.001,0.003,0.003,0.001,0.007,0.005,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
483,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
484,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
485,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
486,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
487,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.005
488,-0.001,0.003,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
489,-0.001,0.003,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
490,-0.001,0.003,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
491,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
492,-0.001,0.003,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
493,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
494,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
495,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
496,-0.001,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
497,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
498,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
499,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
500,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
501,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
502,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
503,0,0.002,0.002,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
504,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
505,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
506,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
507,0,0.002,0.003,0.001,0.007,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
508,0,0.002,0.003,0.001,0.007,0.004,0.001,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
509,0,0.002,0.003,0.001,0.006,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
510,0,0.002,0.002,0.001,0.006,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.001,0.004
511,0,0.002,0.002,0.001,0.006,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
512,0,0.002,0.003,0.001,0.006,0.004,0,0.003,0.003,0.001,0,0.002,0.001,0.002,0.004
513,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.003,0.001,0,0.002,0.001,0.001,0.004
514,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.003,0.001,0,0.002,0.001,0.001,0.004
515,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
516,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
517,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
518,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
519,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
520,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
521,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
522,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
523,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
524,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.004
525,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
526,0,0.002,0.002,0.001,0.006,0.004,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
527,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
528,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
529,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.004
530,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
531,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.004
532,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
533,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
534,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
535,0,0.002,0.002,0.001,0.006,0.004,0.001,0.002,0.002,0.001,0,0.002,0.001,0.001,0.004
536,0.001,0.003,0.003,0.002,0.007,0.004,0.001,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.004
537,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
538,-0.001,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
539,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
540,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
541,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
542,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
543,0,0.002,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
544,-0.001,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
545,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
546,-0.001,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
547,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
548,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
549,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
550,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
551,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
552,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
553,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
554,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
555,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
556,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
557,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
558,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
559,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
560,-0.001,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
561,-0.001,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
562,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
563,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
564,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
565,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
566,0,0.001,0.002,0.001,0.006,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
567,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
568,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
569,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
570,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
571,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
572,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
573,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0.001,0.001,0.003
574,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
575,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
576,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
577,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
578,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
579,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0.001,0.001,0.003
580,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
581,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
582,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0.001,0.001,0.003
583,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
584,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
585,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
586,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
587,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0,0.001,0.003
588,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
589,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
590,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
591,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
592,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
593,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0.001,0,0.001,0.001,0.001,0.003
594,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
595,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
596,0,0.001,0.002,0.001,0.005,0.002,0,0.002,0.002,0,0,0.001,0.001,0.001,0.003
597,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.003
598,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.003
599,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.002
600,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.003
601,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.003
602,0,0.001,0.002,0.001,0.005,0.003,0,0.002,0.002,0,0,0.001,0,0.001,0.003
603,0,0.001,0.002,0.001,0.005,0.002,0,0.002,0.002,0,0,0.001,0,0.001,0.003
604,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.002
605,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
606,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
607,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
608,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
609,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.002
610,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
611,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.002,0,0,0.001,0,0.001,0.002
612,0,0.001,0.002,0.001,0.005,0.002,0,0.002,0.002,0,0,0.001,0,0.001,0.002
613,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
614,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
615,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
616,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
617,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
618,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
619,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
620,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
621,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
622,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
623,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
624,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
625,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
626,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
627,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
628,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
629,0,0.001,0.001,0,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
630,0,0.001,0.001,0,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
631,0,0.001,0.001,0,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
632,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
633,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
634,0,0.001,0.002,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
635,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
636,0,0.001,0.001,0,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
637,0,0.001,0.001,0,0.004,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
638,0,0.001,0.001,0.001,0.005,0.002,0,0.001,0.001,0,0,0.001,0,0.001,0.002
