Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
284,-0.005,0.034,0.024,0.022,0.027,0.033,0.018,0.023,0.034,0.034,0.041
285,-0.005,0.034,0.024,0.022,0.026,0.032,0.018,0.023,0.033,0.034,0.04
286,-0.005,0.033,0.023,0.022,0.025,0.031,0.017,0.022,0.033,0.033,0.04
287,-0.005,0.032,0.023,0.021,0.025,0.031,0.017,0.022,0.032,0.033,0.039
288,-0.005,0.032,0.022,0.021,0.024,0.03,0.017,0.022,0.032,0.032,0.038
289,-0.005,0.031,0.022,0.021,0.023,0.029,0.017,0.022,0.031,0.031,0.038
290,-0.005,0.03,0.021,0.02,0.023,0.029,0.016,0.021,0.031,0.031,0.037
291,-0.005,0.029,0.021,0.02,0.022,0.028,0.016,0.021,0.03,0.03,0.036
292,-0.005,0.029,0.02,0.02,0.022,0.028,0.016,0.021,0.03,0.029,0.036
293,-0.005,0.028,0.019,0.019,0.021,0.027,0.015,0.02,0.029,0.029,0.035
294,-0.005,0.027,0.019,0.019,0.02,0.026,0.015,0.02,0.028,0.028,0.035
295,-0.005,0.027,0.019,0.019,0.02,0.026,0.015,0.02,0.028,0.027,0.034
296,-0.005,0.026,0.018,0.018,0.019,0.025,0.014,0.019,0.027,0.027,0.033
297,-0.005,0.026,0.018,0.018,0.019,0.025,0.014,0.019,0.027,0.026,0.033
298,-0.005,0.025,0.017,0.018,0.018,0.024,0.014,0.019,0.027,0.026,0.032
299,-0.005,0.025,0.017,0.018,0.018,0.023,0.014,0.019,0.026,0.025,0.032
300,-0.005,0.024,0.017,0.017,0.018,0.023,0.014,0.018,0.026,0.025,0.032
301,-0.005,0.024,0.016,0.017,0.017,0.022,0.013,0.018,0.025,0.024,0.031
302,-0.005,0.023,0.016,0.017,0.017,0.022,0.013,0.018,0.025,0.024,0.03
303,-0.005,0.023,0.015,0.017,0.016,0.022,0.013,0.018,0.025,0.023,0.03
304,-0.005,0.023,0.015,0.016,0.016,0.021,0.013,0.017,0.024,0.023,0.029
305,-0.004,0.022,0.015,0.016,0.016,0.021,0.013,0.017,0.024,0.022,0.029
306,-0.005,0.022,0.014,0.016,0.015,0.02,0.012,0.017,0.024,0.022,0.028
307,-0.005,0.022,0.014,0.015,0.015,0.019,0.012,0.017,0.023,0.021,0.028
308,-0.005,0.021,0.014,0.015,0.014,0.019,0.012,0.017,0.023,0.021,0.027
309,-0.005,0.021,0.014,0.015,0.014,0.019,0.012,0.016,0.023,0.021,0.027
310,-0.005,0.021,0.013,0.015,0.014,0.018,0.011,0.016,0.022,0.02,0.026
311,-0.005,0.02,0.013,0.015,0.014,0.018,0.011,0.016,0.022,0.02,0.026
312,-0.005,0.02,0.013,0.015,0.013,0.018,0.011,0.016,0.022,0.02,0.026
313,-0.005,0.02,0.012,0.014,0.013,0.017,0.011,0.015,0.022,0.019,0.026
314,-0.004,0.02,0.012,0.014,0.013,0.017,0.011,0.015,0.021,0.019,0.026
315,-0.004,0.019,0.012,0.014,0.013,0.017,0.011,0.015,0.021,0.019,0.025
316,-0.004,0.019,0.012,0.014,0.012,0.017,0.01,0.015,0.021,0.019,0.025
317,-0.004,0.019,0.011,0.014,0.012,0.016,0.01,0.015,0.021,0.018,0.025
318,-0.004,0.018,0.011,0.013,0.012,0.016,0.01,0.015,0.02,0.018,0.024
319,-0.005,0.018,0.011,0.013,0.011,0.015,0.009,0.014,0.02,0.017,0.023
320,-0.004,0.018,0.011,0.013,0.011,0.015,0.009,0.014,0.02,0.017,0.023
321,-0.004,0.018,0.011,0.013,0.011,0.015,0.009,0.014,0.02,0.017,0.023
322,-0.004,0.017,0.01,0.013,0.011,0.015,0.009,0.014,0.019,0.017,0.023
323,-0.004,0.017,0.01,0.013,0.01,0.014,0.009,0.014,0.019,0.016,0.023
324,-0.004,0.017,0.01,0.012,0.01,0.014,0.009,0.014,0.019,0.016,0.023
325,-0.004,0.016,0.01,0.012,0.01,0.014,0.009,0.014,0.019,0.016,0.022
326,-0.004,0.016,0.01,0.012,0.01,0.013,0.009,0.013,0.018,0.016,0.022
327,-0.004,0.016,0.01,0.012,0.01,0.013,0.008,0.013,0.018,0.015,0.022
328,-0.004,0.016,0.009,0.012,0.009,0.013,0.008,0.013,0.018,0.015,0.022
329,-0.004,0.016,0.009,0.012,0.009,0.013,0.008,0.013,0.018,0.015,0.021
330,-0.004,0.016,0.009,0.011,0.009,0.013,0.008,0.013,0.018,0.015,0.021
331,-0.004,0.015,0.009,0.011,0.009,0.012,0.008,0.013,0.017,0.014,0.021
332,-0.004,0.015,0.009,0.011,0.009,0.012,0.008,0.013,0.017,0.014,0.021
333,-0.004,0.015,0.008,0.011,0.008,0.012,0.008,0.013,0.017,0.014,0.021
334,-0.004,0.014,0.008,0.011,0.008,0.012,0.008,0.013,0.017,0.013,0.02
335,-0.004,0.014,0.008,0.01,0.008,0.012,0.007,0.012,0.017,0.013,0.02
336,-0.004,0.014,0.008,0.011,0.008,0.011,0.008,0.012,0.017,0.013,0.02
337,-0.004,0.014,0.008,0.01,0.008,0.011,0.008,0.012,0.016,0.013,0.02
338,-0.004,0.014,0.008,0.01,0.008,0.011,0.008,0.012,0.016,0.012,0.02
339,-0.003,0.014,0.008,0.01,0.008,0.011,0.008,0.012,0.016,0.012,0.02
340,-0.002,0.015,0.009,0.011,0.009,0.012,0.008,0.013,0.018,0.014,0.021
341,-0.003,0.013,0.008,0.01,0.007,0.01,0.007,0.012,0.016,0.012,0.019
342,-0.004,0.012,0.007,0.009,0.006,0.01,0.006,0.011,0.015,0.011,0.018
343,-0.004,0.012,0.006,0.009,0.006,0.009,0.006,0.011,0.015,0.011,0.018
344,-0.004,0.012,0.006,0.008,0.006,0.01,0.006,0.011,0.015,0.011,0.018
345,-0.004,0.012,0.006,0.009,0.006,0.01,0.006,0.011,0.015,0.011,0.018
346,-0.004,0.012,0.006,0.008,0.006,0.009,0.006,0.011,0.015,0.01,0.018
347,-0.004,0.011,0.006,0.008,0.006,0.009,0.006,0.011,0.014,0.01,0.018
348,-0.004,0.011,0.006,0.008,0.005,0.009,0.006,0.011,0.014,0.01,0.018
349,-0.004,0.011,0.006,0.008,0.006,0.009,0.006,0.011,0.014,0.01,0.018
350,-0.004,0.011,0.006,0.008,0.006,0.009,0.006,0.01,0.014,0.01,0.017
351,-0.003,0.011,0.006,0.008,0.006,0.009,0.006,0.011,0.014,0.01,0.017
352,-0.003,0.011,0.006,0.008,0.006,0.009,0.006,0.01,0.014,0.01,0.017
353,-0.003,0.011,0.005,0.008,0.005,0.008,0.006,0.01,0.014,0.009,0.017
354,-0.003,0.011,0.005,0.007,0.005,0.008,0.005,0.01,0.014,0.009,0.017
355,-0.003,0.011,0.005,0.008,0.005,0.009,0.005,0.01,0.014,0.009,0.017
356,-0.003,0.011,0.005,0.008,0.005,0.008,0.006,0.01,0.014,0.009,0.017
357,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.01,0.014,0.009,0.017
358,-0.003,0.011,0.005,0.007,0.005,0.008,0.005,0.01,0.014,0.009,0.017
359,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.01,0.013,0.009,0.016
360,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.01,0.013,0.009,0.016
361,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.01,0.013,0.008,0.016
362,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.01,0.013,0.008,0.016
363,-0.003,0.01,0.005,0.007,0.005,0.008,0.005,0.009,0.013,0.008,0.016
