Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
472,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
473,-0.001,0.005,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
474,-0.001,0.005,0.002,0.003,0.001,0.003,0.002,0.007,0.007,0.002,0.011
475,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
476,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.01
477,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.011
478,-0.001,0.005,0.002,0.002,0.001,0.002,0.002,0.007,0.007,0.002,0.01
479,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.007,0.002,0.01
480,-0.001,0.005,0.002,0.002,0.001,0.002,0.002,0.007,0.007,0.002,0.01
481,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.007,0.002,0.01
482,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.007,0.002,0.01
483,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
484,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
485,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.006,0.002,0.01
486,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
487,-0.001,0.005,0.002,0.003,0.001,0.002,0.002,0.007,0.006,0.002,0.01
488,0,0.005,0.001,0.003,0.001,0.002,0.002,0.007,0.006,0.002,0.01
489,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
490,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
491,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
492,-0.001,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
493,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
494,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
495,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
496,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
497,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
498,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
499,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
500,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
501,0,0.005,0.002,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
502,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
503,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
504,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
505,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
506,0,0.005,0.002,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
507,0,0.005,0.002,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
508,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
509,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
510,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
511,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
512,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
513,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
514,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
515,0,0.005,0.001,0.002,0.001,0.002,0.002,0.007,0.006,0.002,0.01
