Wavelength,blank,B5may22_0.1m_r0,C20apr22_9m_r2,C20apr22_1.5m_r1,B5may22_3m_r0,C20apr22_21m_r2,B25jul22_3m_r2,C20apr22_0.1m_r2,C20apr22_21m_r1,B25jul22_0.1m_r1,B5may22_9m_r0,B25jul22_8m_r1
457,0,0.005,0.003,0.003,0.005,0.003,0.008,0.003,0.002,0.008,0.007,0.018
458,0,0.005,0.003,0.003,0.005,0.003,0.008,0.003,0.002,0.008,0.007,0.018
459,0,0.005,0.002,0.002,0.005,0.003,0.008,0.002,0.002,0.008,0.007,0.018
460,0,0.005,0.003,0.002,0.005,0.003,0.008,0.002,0.002,0.008,0.007,0.018
461,0,0.005,0.002,0.003,0.005,0.003,0.008,0.002,0.002,0.008,0.007,0.018
462,0,0.005,0.002,0.003,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.018
463,0,0.005,0.002,0.003,0.005,0.003,0.008,0.002,0.002,0.007,0.007,0.018
464,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.018
465,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.018
466,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.018
467,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.018
468,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
469,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
470,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
471,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
472,0,0.005,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
473,0,0.004,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
474,0,0.004,0.002,0.002,0.005,0.002,0.008,0.002,0.002,0.007,0.007,0.017
475,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.007,0.007,0.017
476,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.007,0.007,0.017
477,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.006,0.007,0.017
478,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.006,0.007,0.017
479,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.006,0.007,0.017
480,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.002,0.006,0.007,0.017
481,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.001,0.006,0.007,0.017
482,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.001,0.006,0.007,0.017
483,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.001,0.006,0.006,0.017
484,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.001,0.006,0.006,0.016
485,0,0.004,0.002,0.002,0.005,0.002,0.007,0.002,0.001,0.006,0.006,0.016
486,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.006,0.006,0.016
487,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.006,0.006,0.016
488,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.006,0.006,0.016
489,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.006,0.006,0.016
490,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.006,0.006,0.016
491,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.005,0.006,0.016
492,0,0.004,0.002,0.002,0.004,0.002,0.007,0.001,0.001,0.005,0.006,0.016
493,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.005,0.006,0.016
494,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.005,0.006,0.016
495,0,0.004,0.002,0.002,0.004,0.002,0.007,0.002,0.001,0.005,0.006,0.016
496,0,0.004,0.002,0.002,0.004,0.002,0.006,0.002,0.001,0.005,0.006,0.016
497,0,0.004,0.002,0.002,0.004,0.002,0.006,0.002,0.001,0.005,0.006,0.016
498,0,0.004,0.002,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.016
499,0,0.004,0.002,0.002,0.004,0.002,0.006,0.002,0.001,0.005,0.006,0.016
500,0,0.004,0.002,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.016
501,0,0.004,0.002,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.016
502,0,0.004,0.002,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.016
503,0,0.004,0.002,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.016
504,0,0.004,0.001,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
505,0,0.004,0.001,0.002,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
506,0,0.004,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
507,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
508,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
509,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
510,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.005,0.006,0.015
511,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.004,0.006,0.015
512,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.004,0.006,0.015
513,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.006,0.015
514,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.006,0.015
515,0,0.003,0.001,0.001,0.004,0.002,0.006,0.001,0.001,0.004,0.006,0.015
516,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
517,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
518,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
519,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
520,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
521,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
522,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.015
523,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
524,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
525,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
526,0,0.003,0.001,0.001,0.004,0.001,0.006,0.001,0.001,0.004,0.005,0.014
527,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
528,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
529,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.004,0.005,0.014
530,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.004,0.005,0.014
531,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
532,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
533,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
534,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
535,0,0.003,0.001,0.001,0.004,0.002,0.005,0.001,0.001,0.004,0.005,0.014
536,0.001,0.004,0.002,0.002,0.004,0.002,0.006,0.002,0.002,0.004,0.006,0.015
537,0,0.003,0.001,0.001,0.004,0.001,0.005,0.001,0.001,0.004,0.005,0.014
538,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
539,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
540,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
541,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
542,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
543,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
544,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
545,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
546,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
547,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
548,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
549,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.014
550,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
551,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
552,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
553,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
554,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
555,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
556,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
557,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
558,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
559,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
560,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
561,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
562,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
563,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
564,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
565,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
566,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
567,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
568,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0.001,0.003,0.005,0.013
569,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
570,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
571,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
572,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
573,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
574,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
575,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
576,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
577,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
578,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
579,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.005,0.013
580,0,0.003,0.001,0.001,0.003,0.001,0.005,0.001,0,0.003,0.004,0.013
581,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.003,0.004,0.013
582,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.003,0.004,0.012
583,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.003,0.004,0.012
584,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
585,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.003,0.004,0.012
586,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
587,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
588,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
589,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
590,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
591,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
592,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
593,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
594,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
595,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
596,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
597,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
598,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
599,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
600,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
601,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
602,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
603,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
604,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
605,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
606,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
607,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
608,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
609,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
610,0,0.003,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
611,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.012
612,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
613,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
614,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
615,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
616,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
617,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
618,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
619,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
620,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
621,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
622,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
623,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
624,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
625,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
626,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
627,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
628,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
629,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
630,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
631,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
632,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
633,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
634,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
635,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
636,0,0.002,0.001,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
637,0,0.002,0.001,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
638,0,0.002,0.001,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
639,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.011
640,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
641,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
642,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
643,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
644,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
645,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
646,0,0.002,0.001,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
647,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
648,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
649,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
650,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
651,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
652,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
653,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
654,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
655,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
656,0,0.002,0.001,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
657,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
658,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
659,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
660,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.001,0.003,0.01
661,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
662,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
663,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
664,0,0.002,0.001,0.001,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
665,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
666,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.01
667,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
668,0,0.002,0,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
669,0,0.002,0,0,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
670,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
671,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
672,0,0.002,0.001,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
673,0,0.002,0,0,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
674,0,0.002,0,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
675,0,0.002,0.001,0.001,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
676,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
677,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
678,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
679,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
680,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.01
681,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
682,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.01
683,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
684,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.01
685,0,0.002,0.001,0.001,0.002,0.001,0.004,0.001,0,0.002,0.004,0.01
686,0,0.002,0.001,0.001,0.003,0.001,0.004,0.001,0,0.002,0.004,0.01
687,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
688,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.004,0.01
689,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
690,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.01
691,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
692,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
693,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.01
694,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
695,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
696,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
697,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
698,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
699,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
700,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
701,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
702,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
703,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.009
704,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
705,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.009
706,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.002,0.003,0.009
707,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
708,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
709,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
710,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
711,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
712,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.009
713,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
714,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
715,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
716,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
717,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
718,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.002,0.003,0.009
719,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
720,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
721,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
722,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
723,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
724,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
725,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
726,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
727,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
728,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
729,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
730,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
731,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
732,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
733,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
734,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
735,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
736,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
737,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
738,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
739,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
740,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
741,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
742,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
743,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
744,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
745,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.009
746,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
747,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
748,0,0.002,0.001,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
749,0,0.002,0,0,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
750,0,0.002,0,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
751,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
752,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
753,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
754,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
755,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
756,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
757,0,0.002,0.001,0.001,0.002,0.001,0.003,0.001,0,0.001,0.003,0.008
