Wavelength,blank,B5may22_0.1m_r0,C20apr22_9m_r2,C20apr22_1.5m_r1,B5may22_3m_r0,C20apr22_21m_r2,B25jul22_3m_r2,C20apr22_0.1m_r2,C20apr22_21m_r1,B25jul22_0.1m_r1,B5may22_9m_r0,B25jul22_8m_r1
301,0.003,0.026,0.023,0.027,0.027,0.023,0.041,0.025,0.024,0.055,0.027,0.037
302,0.003,0.026,0.023,0.026,0.027,0.023,0.041,0.025,0.023,0.055,0.027,0.036
303,0.003,0.025,0.022,0.026,0.026,0.022,0.04,0.024,0.023,0.054,0.027,0.036
304,0.003,0.025,0.022,0.025,0.026,0.022,0.04,0.024,0.023,0.053,0.026,0.036
305,0.003,0.024,0.022,0.025,0.026,0.022,0.039,0.023,0.022,0.053,0.026,0.035
306,0.003,0.024,0.021,0.024,0.025,0.021,0.039,0.023,0.022,0.052,0.026,0.035
307,0.003,0.024,0.021,0.024,0.025,0.021,0.038,0.022,0.021,0.052,0.025,0.035
308,0.003,0.024,0.021,0.024,0.025,0.02,0.038,0.022,0.021,0.051,0.025,0.035
309,0.003,0.023,0.02,0.023,0.024,0.02,0.038,0.021,0.021,0.05,0.025,0.035
310,0.003,0.023,0.02,0.023,0.024,0.02,0.037,0.021,0.02,0.05,0.025,0.034
311,0.003,0.022,0.02,0.023,0.024,0.019,0.037,0.021,0.02,0.049,0.024,0.034
312,0.003,0.022,0.019,0.022,0.023,0.019,0.036,0.02,0.02,0.049,0.024,0.034
313,0.003,0.022,0.019,0.022,0.023,0.019,0.036,0.02,0.019,0.048,0.024,0.034
314,0.003,0.022,0.019,0.022,0.023,0.018,0.036,0.02,0.019,0.048,0.024,0.034
315,0.003,0.022,0.018,0.021,0.023,0.018,0.035,0.019,0.019,0.047,0.023,0.033
316,0.003,0.021,0.018,0.021,0.022,0.018,0.035,0.019,0.018,0.047,0.023,0.033
317,0.003,0.021,0.018,0.02,0.022,0.018,0.035,0.019,0.018,0.046,0.023,0.033
318,0.003,0.021,0.018,0.02,0.022,0.017,0.034,0.019,0.018,0.046,0.023,0.033
319,0.003,0.021,0.017,0.02,0.022,0.017,0.034,0.018,0.017,0.045,0.022,0.032
320,0.003,0.02,0.017,0.02,0.021,0.017,0.034,0.018,0.017,0.045,0.022,0.032
321,0.003,0.02,0.017,0.019,0.021,0.017,0.033,0.018,0.017,0.044,0.022,0.032
322,0.002,0.02,0.016,0.019,0.021,0.016,0.033,0.017,0.017,0.044,0.022,0.032
323,0.003,0.02,0.016,0.019,0.021,0.016,0.033,0.017,0.017,0.044,0.022,0.032
324,0.003,0.019,0.016,0.019,0.021,0.016,0.033,0.017,0.016,0.043,0.022,0.032
325,0.003,0.019,0.016,0.018,0.02,0.016,0.032,0.016,0.016,0.043,0.021,0.031
326,0.002,0.019,0.015,0.018,0.02,0.015,0.032,0.016,0.016,0.042,0.021,0.031
327,0.002,0.019,0.015,0.018,0.02,0.015,0.031,0.016,0.015,0.042,0.021,0.031
328,0.003,0.019,0.015,0.018,0.02,0.015,0.031,0.016,0.015,0.041,0.021,0.031
329,0.002,0.018,0.015,0.017,0.019,0.015,0.031,0.015,0.015,0.041,0.02,0.031
330,0.002,0.018,0.015,0.017,0.019,0.015,0.03,0.015,0.015,0.041,0.021,0.031
331,0.002,0.018,0.014,0.017,0.019,0.014,0.03,0.015,0.015,0.04,0.02,0.031
332,0.002,0.018,0.014,0.016,0.019,0.014,0.03,0.015,0.015,0.04,0.02,0.03
333,0.003,0.018,0.014,0.016,0.019,0.014,0.03,0.015,0.015,0.04,0.02,0.031
334,0.003,0.018,0.013,0.016,0.019,0.014,0.03,0.015,0.014,0.039,0.02,0.03
335,0.003,0.017,0.014,0.016,0.018,0.014,0.029,0.014,0.014,0.039,0.02,0.03
336,0.003,0.017,0.013,0.016,0.018,0.013,0.029,0.014,0.014,0.038,0.019,0.03
337,0.002,0.017,0.013,0.015,0.018,0.013,0.028,0.014,0.013,0.038,0.019,0.029
338,0.002,0.017,0.013,0.015,0.018,0.013,0.028,0.014,0.013,0.037,0.019,0.029
339,0.003,0.017,0.013,0.015,0.018,0.013,0.028,0.014,0.014,0.038,0.019,0.03
340,0.004,0.018,0.014,0.016,0.019,0.014,0.029,0.015,0.014,0.038,0.02,0.031
341,0.003,0.016,0.013,0.015,0.018,0.013,0.028,0.013,0.013,0.037,0.019,0.03
342,0.003,0.016,0.013,0.015,0.017,0.012,0.027,0.013,0.013,0.036,0.018,0.029
343,0.003,0.016,0.012,0.014,0.017,0.012,0.027,0.013,0.013,0.036,0.018,0.029
344,0.002,0.015,0.012,0.014,0.017,0.012,0.027,0.012,0.012,0.035,0.018,0.029
345,0.003,0.015,0.012,0.014,0.017,0.012,0.027,0.013,0.012,0.035,0.018,0.029
346,0.002,0.015,0.011,0.013,0.016,0.012,0.026,0.012,0.012,0.035,0.018,0.028
347,0.002,0.015,0.011,0.013,0.016,0.011,0.025,0.012,0.012,0.034,0.018,0.028
348,0.002,0.015,0.011,0.013,0.016,0.011,0.026,0.012,0.012,0.034,0.017,0.028
349,0.002,0.015,0.011,0.013,0.016,0.011,0.025,0.012,0.012,0.034,0.017,0.028
350,0.002,0.014,0.011,0.013,0.015,0.011,0.025,0.011,0.011,0.033,0.017,0.028
351,0.002,0.014,0.011,0.012,0.015,0.011,0.025,0.011,0.011,0.033,0.017,0.028
352,0.002,0.014,0.011,0.012,0.015,0.011,0.024,0.011,0.011,0.032,0.017,0.028
353,0.002,0.014,0.011,0.012,0.015,0.011,0.024,0.011,0.011,0.032,0.017,0.027
354,0.002,0.013,0.01,0.012,0.015,0.01,0.024,0.011,0.01,0.032,0.017,0.027
355,0.002,0.013,0.01,0.012,0.015,0.011,0.024,0.011,0.01,0.031,0.016,0.027
356,0.002,0.013,0.01,0.012,0.014,0.01,0.023,0.01,0.01,0.031,0.016,0.027
357,0.002,0.013,0.01,0.012,0.014,0.01,0.023,0.01,0.01,0.031,0.016,0.027
358,0.002,0.013,0.01,0.011,0.014,0.01,0.023,0.01,0.01,0.03,0.016,0.027
359,0.002,0.013,0.01,0.011,0.014,0.01,0.023,0.01,0.01,0.03,0.016,0.027
360,0.002,0.013,0.009,0.011,0.014,0.01,0.022,0.01,0.01,0.029,0.016,0.026
361,0.002,0.012,0.009,0.011,0.013,0.009,0.022,0.009,0.01,0.029,0.016,0.026
362,0.002,0.012,0.009,0.01,0.013,0.009,0.022,0.009,0.009,0.029,0.015,0.026
363,0.002,0.012,0.009,0.01,0.013,0.009,0.022,0.009,0.009,0.028,0.015,0.026
364,0.002,0.012,0.009,0.01,0.013,0.009,0.021,0.009,0.009,0.028,0.015,0.026
365,0.002,0.012,0.008,0.01,0.013,0.009,0.021,0.009,0.009,0.028,0.015,0.026
366,0.002,0.012,0.008,0.01,0.013,0.008,0.021,0.009,0.009,0.027,0.015,0.026
367,0.002,0.012,0.008,0.01,0.013,0.009,0.021,0.009,0.009,0.027,0.015,0.026
368,0.001,0.012,0.008,0.01,0.012,0.008,0.021,0.009,0.008,0.027,0.015,0.025
369,0.002,0.011,0.008,0.009,0.012,0.008,0.02,0.008,0.008,0.026,0.014,0.025
370,0.001,0.011,0.008,0.009,0.012,0.008,0.02,0.008,0.008,0.026,0.014,0.025
371,0.001,0.011,0.008,0.009,0.012,0.008,0.02,0.008,0.008,0.025,0.014,0.025
372,0.001,0.011,0.008,0.009,0.012,0.008,0.02,0.008,0.008,0.025,0.014,0.025
373,0.001,0.011,0.008,0.009,0.012,0.008,0.02,0.008,0.008,0.025,0.014,0.025
374,0.001,0.01,0.007,0.009,0.012,0.007,0.019,0.008,0.008,0.024,0.014,0.024
375,0.001,0.01,0.007,0.009,0.011,0.008,0.019,0.008,0.008,0.024,0.014,0.025
376,0.001,0.01,0.007,0.009,0.011,0.007,0.019,0.007,0.008,0.024,0.014,0.025
377,0.001,0.01,0.007,0.008,0.011,0.007,0.019,0.007,0.007,0.024,0.014,0.024
378,0.001,0.01,0.007,0.008,0.011,0.007,0.018,0.007,0.008,0.023,0.013,0.024
379,0.001,0.01,0.007,0.008,0.011,0.007,0.018,0.007,0.007,0.023,0.013,0.024
380,0.001,0.01,0.007,0.008,0.011,0.007,0.018,0.007,0.007,0.022,0.013,0.024
381,0.001,0.01,0.007,0.008,0.011,0.007,0.018,0.007,0.007,0.022,0.013,0.024
382,0.001,0.01,0.007,0.008,0.01,0.007,0.017,0.007,0.007,0.022,0.013,0.024
383,0.001,0.01,0.007,0.008,0.01,0.007,0.017,0.007,0.007,0.022,0.013,0.024
384,0.001,0.01,0.007,0.008,0.011,0.007,0.017,0.007,0.007,0.021,0.013,0.024
385,0.001,0.009,0.006,0.007,0.01,0.007,0.017,0.007,0.006,0.021,0.012,0.023
386,0.001,0.009,0.006,0.007,0.01,0.007,0.017,0.007,0.007,0.021,0.013,0.024
387,0.001,0.009,0.006,0.007,0.01,0.007,0.017,0.007,0.006,0.02,0.012,0.023
388,0.001,0.009,0.006,0.007,0.01,0.006,0.016,0.006,0.006,0.02,0.012,0.023
389,0.001,0.009,0.006,0.007,0.01,0.006,0.016,0.006,0.006,0.02,0.012,0.023
390,0.001,0.009,0.006,0.007,0.01,0.006,0.016,0.006,0.006,0.019,0.012,0.023
391,0.001,0.009,0.006,0.007,0.01,0.006,0.016,0.006,0.006,0.019,0.012,0.023
392,0.001,0.009,0.006,0.007,0.01,0.006,0.016,0.006,0.006,0.019,0.012,0.023
393,0.001,0.008,0.006,0.007,0.009,0.006,0.015,0.006,0.006,0.018,0.012,0.023
394,0.001,0.009,0.006,0.007,0.009,0.006,0.015,0.006,0.006,0.018,0.012,0.023
395,0.001,0.008,0.005,0.006,0.009,0.006,0.015,0.006,0.006,0.018,0.011,0.023
396,0.001,0.008,0.005,0.006,0.009,0.006,0.015,0.005,0.005,0.018,0.011,0.023
397,0.001,0.008,0.005,0.006,0.009,0.006,0.015,0.005,0.005,0.017,0.011,0.022
398,0.001,0.008,0.005,0.006,0.009,0.005,0.015,0.005,0.005,0.017,0.011,0.022
399,0.001,0.008,0.005,0.006,0.009,0.005,0.014,0.005,0.005,0.017,0.011,0.022
400,0.001,0.008,0.005,0.006,0.009,0.005,0.014,0.005,0.005,0.017,0.011,0.022
401,0.001,0.008,0.005,0.006,0.009,0.005,0.014,0.005,0.005,0.017,0.011,0.022
402,0.001,0.008,0.005,0.006,0.009,0.005,0.014,0.005,0.005,0.016,0.011,0.022
403,0.001,0.008,0.005,0.006,0.009,0.005,0.014,0.005,0.005,0.016,0.011,0.022
404,0.001,0.008,0.005,0.006,0.008,0.005,0.014,0.005,0.005,0.016,0.011,0.022
405,0.001,0.007,0.005,0.005,0.008,0.005,0.013,0.005,0.005,0.016,0.01,0.022
406,0.001,0.007,0.005,0.005,0.008,0.005,0.013,0.005,0.005,0.015,0.01,0.022
407,0.001,0.007,0.005,0.005,0.008,0.005,0.013,0.005,0.005,0.015,0.01,0.022
408,0.001,0.007,0.005,0.005,0.008,0.005,0.013,0.005,0.004,0.015,0.01,0.022
409,0.001,0.007,0.005,0.005,0.008,0.005,0.013,0.005,0.004,0.015,0.01,0.022
410,0.001,0.007,0.004,0.005,0.008,0.005,0.013,0.005,0.004,0.015,0.01,0.022
411,0.001,0.007,0.004,0.005,0.008,0.005,0.013,0.005,0.004,0.014,0.01,0.021
412,0.001,0.007,0.004,0.005,0.008,0.004,0.012,0.004,0.004,0.014,0.01,0.021
413,0.001,0.007,0.004,0.005,0.008,0.004,0.012,0.004,0.004,0.014,0.01,0.021
414,0.001,0.007,0.004,0.005,0.008,0.004,0.012,0.004,0.004,0.014,0.01,0.021
415,0.001,0.007,0.004,0.005,0.008,0.004,0.012,0.004,0.004,0.014,0.01,0.021
416,0.001,0.007,0.004,0.005,0.008,0.004,0.012,0.004,0.004,0.013,0.01,0.021
417,0.001,0.007,0.004,0.005,0.007,0.004,0.012,0.004,0.004,0.013,0.009,0.021
418,0.001,0.006,0.004,0.004,0.007,0.004,0.012,0.004,0.004,0.013,0.009,0.021
419,0.001,0.007,0.004,0.004,0.007,0.004,0.012,0.004,0.004,0.013,0.009,0.021
420,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.004,0.013,0.009,0.021
421,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.004,0.012,0.009,0.021
422,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.004,0.012,0.009,0.021
423,0,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.003,0.012,0.009,0.021
424,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.003,0.012,0.009,0.021
425,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.003,0.012,0.009,0.02
426,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.003,0.012,0.009,0.02
427,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.004,0.003,0.012,0.009,0.02
428,0.001,0.006,0.004,0.004,0.007,0.004,0.011,0.003,0.003,0.011,0.009,0.02
429,0,0.006,0.003,0.004,0.007,0.004,0.01,0.003,0.003,0.011,0.009,0.02
430,0,0.006,0.003,0.004,0.007,0.004,0.01,0.003,0.003,0.011,0.008,0.02
431,0.001,0.006,0.003,0.004,0.007,0.004,0.01,0.003,0.003,0.011,0.008,0.02
432,0.001,0.006,0.003,0.004,0.007,0.004,0.01,0.003,0.003,0.011,0.008,0.02
433,0.001,0.006,0.003,0.003,0.006,0.004,0.01,0.003,0.003,0.01,0.008,0.02
434,0,0.006,0.003,0.004,0.007,0.004,0.01,0.003,0.003,0.01,0.008,0.02
435,0,0.006,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.02
436,0.001,0.006,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.02
437,0,0.006,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.019
438,0,0.005,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.019
439,0,0.005,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.019
440,0,0.005,0.003,0.003,0.006,0.003,0.01,0.003,0.003,0.01,0.008,0.019
441,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.003,0.01,0.008,0.019
442,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
443,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
444,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
445,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
446,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
447,0.001,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
448,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
449,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.009,0.008,0.019
450,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.008,0.008,0.019
451,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.008,0.008,0.019
452,0,0.005,0.003,0.003,0.006,0.003,0.009,0.003,0.002,0.008,0.007,0.018
453,0,0.005,0.003,0.003,0.006,0.003,0.008,0.003,0.002,0.008,0.007,0.018
454,0,0.005,0.003,0.003,0.006,0.003,0.008,0.003,0.002,0.008,0.007,0.018
455,0,0.005,0.003,0.003,0.006,0.003,0.008,0.003,0.002,0.008,0.007,0.018
456,0,0.005,0.003,0.003,0.005,0.003,0.008,0.003,0.002,0.008,0.007,0.018
