Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
252,0.001,0.052,0.067,0.066,0.059,0.041,0.059,0.046,0.049,0.061,0.058,0.06,0.056,0.047,0.062
253,0.001,0.052,0.066,0.066,0.058,0.041,0.058,0.045,0.048,0.061,0.057,0.059,0.056,0.047,0.061
254,0.001,0.051,0.066,0.065,0.058,0.04,0.058,0.045,0.048,0.06,0.057,0.059,0.055,0.046,0.061
255,0.001,0.051,0.065,0.065,0.057,0.04,0.057,0.045,0.047,0.059,0.056,0.058,0.055,0.046,0.06
256,0.001,0.051,0.064,0.065,0.057,0.04,0.057,0.045,0.047,0.059,0.056,0.058,0.054,0.046,0.06
257,0.001,0.05,0.064,0.064,0.056,0.039,0.056,0.044,0.047,0.058,0.055,0.057,0.054,0.045,0.059
258,0.001,0.05,0.063,0.063,0.056,0.039,0.056,0.044,0.046,0.058,0.055,0.057,0.053,0.045,0.059
259,0.001,0.049,0.063,0.063,0.055,0.038,0.055,0.043,0.045,0.057,0.054,0.056,0.053,0.044,0.058
260,0,0.049,0.062,0.062,0.055,0.038,0.055,0.043,0.045,0.057,0.054,0.055,0.052,0.044,0.058
261,0.001,0.048,0.062,0.062,0.054,0.038,0.054,0.042,0.045,0.056,0.053,0.055,0.052,0.043,0.057
262,0.001,0.048,0.061,0.061,0.054,0.037,0.054,0.042,0.044,0.056,0.053,0.054,0.051,0.043,0.057
263,0.001,0.047,0.061,0.061,0.053,0.037,0.053,0.041,0.044,0.055,0.052,0.054,0.051,0.042,0.056
264,0.001,0.047,0.06,0.06,0.053,0.036,0.053,0.041,0.043,0.054,0.051,0.053,0.05,0.042,0.056
265,0.001,0.046,0.059,0.059,0.052,0.036,0.052,0.04,0.043,0.054,0.051,0.053,0.049,0.041,0.055
266,0,0.046,0.058,0.059,0.051,0.036,0.051,0.04,0.042,0.053,0.05,0.052,0.049,0.041,0.054
267,0.001,0.045,0.058,0.058,0.051,0.035,0.051,0.039,0.042,0.052,0.05,0.051,0.048,0.04,0.054
268,0.001,0.044,0.057,0.057,0.05,0.035,0.05,0.039,0.042,0.051,0.049,0.05,0.048,0.04,0.054
269,0.001,0.044,0.057,0.057,0.049,0.035,0.049,0.038,0.041,0.051,0.048,0.05,0.047,0.039,0.053
270,0.001,0.043,0.056,0.056,0.049,0.034,0.049,0.038,0.041,0.05,0.047,0.049,0.046,0.039,0.052
271,0.001,0.043,0.055,0.055,0.048,0.034,0.048,0.037,0.04,0.05,0.047,0.049,0.046,0.038,0.052
272,0.001,0.042,0.055,0.055,0.047,0.033,0.048,0.036,0.04,0.049,0.046,0.048,0.045,0.038,0.051
273,0.001,0.041,0.054,0.054,0.047,0.033,0.047,0.036,0.04,0.048,0.045,0.047,0.045,0.037,0.051
274,0,0.04,0.053,0.053,0.046,0.033,0.046,0.035,0.039,0.047,0.045,0.046,0.044,0.036,0.05
275,0,0.04,0.052,0.052,0.045,0.032,0.045,0.035,0.038,0.047,0.044,0.045,0.043,0.036,0.049
276,0,0.039,0.052,0.051,0.044,0.032,0.045,0.034,0.038,0.046,0.043,0.045,0.042,0.035,0.049
277,0.001,0.038,0.051,0.051,0.044,0.031,0.044,0.033,0.037,0.045,0.043,0.044,0.042,0.035,0.048
278,0,0.038,0.05,0.05,0.043,0.031,0.043,0.033,0.037,0.045,0.042,0.043,0.041,0.034,0.047
279,0,0.037,0.05,0.049,0.042,0.031,0.042,0.032,0.036,0.044,0.041,0.042,0.04,0.033,0.046
280,0,0.036,0.049,0.048,0.041,0.03,0.042,0.031,0.036,0.043,0.04,0.042,0.04,0.033,0.045
281,0.001,0.036,0.048,0.047,0.041,0.03,0.041,0.03,0.035,0.042,0.039,0.041,0.039,0.032,0.045
282,0,0.035,0.047,0.047,0.04,0.029,0.04,0.03,0.035,0.041,0.039,0.04,0.038,0.031,0.044
283,0,0.034,0.047,0.046,0.039,0.029,0.039,0.029,0.034,0.041,0.038,0.039,0.038,0.031,0.043
284,0,0.033,0.046,0.045,0.038,0.029,0.038,0.028,0.034,0.04,0.037,0.038,0.037,0.03,0.042
285,0,0.033,0.045,0.044,0.037,0.028,0.038,0.028,0.033,0.039,0.036,0.037,0.036,0.029,0.041
286,0.001,0.032,0.045,0.043,0.037,0.028,0.037,0.027,0.033,0.039,0.036,0.037,0.036,0.029,0.04
287,0,0.031,0.044,0.042,0.036,0.027,0.036,0.026,0.032,0.038,0.035,0.036,0.035,0.028,0.04
288,0,0.03,0.043,0.042,0.035,0.027,0.036,0.026,0.032,0.037,0.034,0.035,0.034,0.028,0.039
289,0,0.03,0.042,0.041,0.034,0.027,0.035,0.025,0.031,0.037,0.034,0.034,0.033,0.027,0.038
290,0,0.029,0.042,0.041,0.034,0.026,0.034,0.025,0.031,0.036,0.033,0.034,0.033,0.027,0.037
