Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
263,0.007,0.05,0.052,0.047,0.052,0.032,0.052,0.082,0.03,0.047
264,0.007,0.05,0.052,0.046,0.051,0.031,0.051,0.081,0.029,0.047
265,0.007,0.049,0.051,0.046,0.051,0.031,0.051,0.08,0.029,0.046
266,0.007,0.049,0.051,0.045,0.05,0.031,0.05,0.08,0.029,0.046
267,0.007,0.049,0.05,0.045,0.05,0.03,0.05,0.079,0.029,0.045
268,0.007,0.048,0.05,0.044,0.049,0.03,0.049,0.079,0.028,0.045
269,0.007,0.048,0.05,0.044,0.049,0.03,0.049,0.078,0.028,0.044
270,0.007,0.048,0.049,0.043,0.048,0.03,0.049,0.077,0.028,0.043
271,0.007,0.047,0.049,0.042,0.048,0.029,0.048,0.076,0.028,0.043
272,0.007,0.047,0.048,0.042,0.047,0.029,0.048,0.076,0.027,0.042
273,0.007,0.047,0.048,0.041,0.047,0.029,0.047,0.075,0.027,0.041
274,0.007,0.046,0.048,0.04,0.046,0.028,0.047,0.074,0.027,0.041
275,0.006,0.046,0.047,0.04,0.046,0.028,0.046,0.074,0.026,0.04
276,0.006,0.046,0.047,0.039,0.045,0.028,0.046,0.073,0.026,0.039
277,0.006,0.046,0.046,0.038,0.045,0.027,0.045,0.072,0.026,0.038
278,0.006,0.045,0.046,0.037,0.044,0.027,0.045,0.071,0.026,0.038
279,0.006,0.045,0.046,0.037,0.043,0.027,0.044,0.071,0.025,0.037
280,0.006,0.045,0.046,0.036,0.043,0.027,0.044,0.07,0.025,0.036
281,0.006,0.045,0.045,0.035,0.042,0.026,0.043,0.069,0.025,0.035
282,0.006,0.045,0.045,0.035,0.042,0.026,0.043,0.069,0.024,0.035
283,0.006,0.045,0.044,0.034,0.042,0.026,0.043,0.068,0.024,0.034
284,0.006,0.045,0.044,0.033,0.041,0.026,0.042,0.067,0.024,0.033
285,0.006,0.044,0.044,0.033,0.041,0.025,0.042,0.066,0.024,0.033
286,0.006,0.044,0.044,0.032,0.04,0.025,0.041,0.066,0.023,0.032
287,0.006,0.044,0.043,0.031,0.04,0.025,0.041,0.065,0.023,0.032
288,0.006,0.044,0.043,0.03,0.039,0.024,0.04,0.064,0.022,0.031
289,0.006,0.043,0.042,0.03,0.039,0.024,0.039,0.063,0.022,0.03
290,0.006,0.043,0.042,0.029,0.038,0.024,0.039,0.063,0.022,0.029
291,0.006,0.043,0.042,0.029,0.038,0.024,0.039,0.062,0.022,0.029
292,0.006,0.043,0.041,0.028,0.037,0.024,0.038,0.062,0.021,0.028
293,0.006,0.042,0.041,0.028,0.037,0.023,0.038,0.061,0.021,0.028
294,0.006,0.042,0.04,0.027,0.036,0.023,0.037,0.06,0.021,0.027
295,0.006,0.042,0.04,0.027,0.036,0.023,0.037,0.06,0.021,0.027
296,0.006,0.041,0.039,0.026,0.035,0.022,0.037,0.059,0.02,0.026
297,0.006,0.041,0.039,0.026,0.035,0.022,0.036,0.059,0.02,0.026
298,0.006,0.04,0.038,0.025,0.034,0.022,0.036,0.058,0.02,0.025
299,0.005,0.039,0.037,0.024,0.033,0.022,0.036,0.058,0.02,0.025
300,0.006,0.039,0.037,0.024,0.033,0.021,0.035,0.057,0.019,0.024
301,0.006,0.038,0.036,0.024,0.032,0.021,0.035,0.057,0.019,0.024
302,0.006,0.037,0.035,0.023,0.031,0.021,0.034,0.056,0.019,0.023
303,0.006,0.036,0.034,0.023,0.031,0.021,0.034,0.056,0.018,0.023
304,0.005,0.035,0.033,0.022,0.03,0.021,0.034,0.055,0.018,0.022
305,0.005,0.034,0.032,0.022,0.029,0.02,0.033,0.055,0.018,0.022
306,0.005,0.033,0.031,0.022,0.029,0.02,0.033,0.054,0.018,0.021
307,0.005,0.032,0.031,0.021,0.028,0.02,0.033,0.054,0.017,0.021
308,0.005,0.031,0.03,0.021,0.028,0.02,0.032,0.054,0.017,0.021
309,0.005,0.03,0.029,0.021,0.027,0.019,0.032,0.053,0.017,0.02
310,0.005,0.029,0.028,0.02,0.026,0.019,0.032,0.053,0.017,0.02
311,0.005,0.027,0.027,0.02,0.025,0.019,0.031,0.052,0.016,0.02
312,0.005,0.027,0.026,0.019,0.025,0.019,0.031,0.052,0.016,0.02
313,0.005,0.026,0.025,0.019,0.024,0.018,0.03,0.052,0.016,0.019
314,0.005,0.024,0.024,0.019,0.024,0.018,0.03,0.051,0.016,0.019
315,0.005,0.024,0.024,0.018,0.023,0.018,0.03,0.051,0.016,0.018
316,0.005,0.023,0.023,0.018,0.023,0.018,0.029,0.05,0.015,0.018
317,0.005,0.022,0.022,0.018,0.022,0.018,0.029,0.05,0.015,0.018
