wavelenght,MilliQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
253,0.01,0.06,0.05,0.06,0.048,0.054,0.049,0.066,0.059,0.044,0.064,0.082
254,0.01,0.059,0.05,0.059,0.047,0.054,0.048,0.066,0.059,0.044,0.064,0.081
255,0.009,0.058,0.049,0.058,0.047,0.053,0.048,0.066,0.058,0.043,0.064,0.081
256,0.009,0.058,0.049,0.058,0.046,0.052,0.047,0.065,0.057,0.043,0.063,0.08
257,0.009,0.057,0.048,0.057,0.046,0.052,0.047,0.065,0.057,0.043,0.063,0.079
258,0.009,0.057,0.048,0.057,0.046,0.052,0.047,0.064,0.057,0.042,0.063,0.079
259,0.009,0.056,0.048,0.056,0.045,0.051,0.046,0.064,0.056,0.042,0.062,0.079
260,0.009,0.056,0.047,0.056,0.045,0.05,0.046,0.063,0.055,0.042,0.062,0.078
261,0.009,0.055,0.047,0.055,0.044,0.05,0.046,0.063,0.055,0.041,0.062,0.077
262,0.009,0.055,0.047,0.055,0.044,0.05,0.045,0.063,0.055,0.041,0.062,0.077
263,0.009,0.054,0.046,0.054,0.043,0.049,0.045,0.062,0.054,0.041,0.061,0.076
264,0.009,0.054,0.046,0.054,0.043,0.049,0.045,0.062,0.053,0.041,0.061,0.076
265,0.009,0.053,0.045,0.053,0.042,0.048,0.044,0.061,0.053,0.04,0.061,0.075
266,0.009,0.053,0.045,0.053,0.042,0.048,0.044,0.061,0.052,0.04,0.06,0.074
267,0.009,0.052,0.044,0.052,0.041,0.047,0.043,0.06,0.052,0.04,0.06,0.073
268,0.009,0.052,0.043,0.052,0.041,0.046,0.043,0.06,0.051,0.039,0.059,0.073
269,0.009,0.051,0.043,0.051,0.04,0.046,0.042,0.059,0.051,0.039,0.059,0.072
270,0.009,0.05,0.042,0.05,0.04,0.045,0.042,0.059,0.05,0.038,0.058,0.071
271,0.009,0.05,0.042,0.05,0.039,0.045,0.042,0.059,0.049,0.038,0.058,0.07
272,0.009,0.049,0.041,0.049,0.039,0.044,0.041,0.058,0.049,0.038,0.057,0.07
273,0.009,0.048,0.04,0.048,0.038,0.043,0.041,0.057,0.048,0.037,0.057,0.068
274,0.009,0.048,0.04,0.048,0.037,0.043,0.041,0.057,0.048,0.037,0.056,0.068
275,0.008,0.047,0.039,0.047,0.036,0.042,0.04,0.056,0.047,0.037,0.055,0.067
276,0.008,0.046,0.038,0.046,0.036,0.042,0.04,0.056,0.046,0.036,0.055,0.066
277,0.008,0.046,0.037,0.046,0.035,0.041,0.039,0.055,0.046,0.036,0.054,0.065
278,0.008,0.045,0.037,0.045,0.034,0.04,0.039,0.055,0.045,0.035,0.053,0.064
279,0.008,0.044,0.036,0.044,0.034,0.039,0.038,0.054,0.044,0.035,0.053,0.063
280,0.008,0.043,0.035,0.044,0.033,0.039,0.038,0.054,0.043,0.035,0.052,0.062
281,0.008,0.043,0.035,0.043,0.032,0.038,0.037,0.053,0.043,0.034,0.051,0.061
282,0.008,0.042,0.034,0.042,0.032,0.037,0.037,0.052,0.042,0.034,0.05,0.061
283,0.008,0.041,0.033,0.042,0.031,0.037,0.037,0.052,0.041,0.034,0.05,0.06
284,0.008,0.041,0.033,0.041,0.03,0.036,0.036,0.051,0.041,0.033,0.049,0.059
285,0.008,0.04,0.032,0.04,0.03,0.036,0.036,0.051,0.04,0.033,0.048,0.058
286,0.007,0.039,0.032,0.04,0.029,0.035,0.035,0.05,0.039,0.032,0.047,0.057
287,0.007,0.039,0.031,0.039,0.028,0.034,0.035,0.05,0.039,0.032,0.047,0.056
288,0.007,0.038,0.03,0.038,0.028,0.033,0.035,0.049,0.038,0.032,0.046,0.055
289,0.007,0.037,0.029,0.037,0.027,0.033,0.034,0.048,0.037,0.031,0.045,0.054
290,0.007,0.037,0.029,0.037,0.026,0.032,0.034,0.047,0.037,0.031,0.044,0.053
291,0.007,0.036,0.028,0.036,0.026,0.032,0.033,0.047,0.036,0.031,0.043,0.052
292,0.007,0.036,0.028,0.036,0.025,0.031,0.033,0.046,0.035,0.03,0.043,0.051
293,0.007,0.035,0.027,0.035,0.025,0.031,0.033,0.046,0.035,0.03,0.042,0.051
294,0.007,0.034,0.027,0.034,0.024,0.03,0.032,0.045,0.034,0.029,0.041,0.05
295,0.007,0.034,0.026,0.034,0.024,0.03,0.032,0.045,0.033,0.029,0.041,0.049
296,0.007,0.033,0.026,0.033,0.023,0.029,0.031,0.044,0.033,0.029,0.04,0.048
297,0.007,0.033,0.025,0.032,0.023,0.028,0.031,0.044,0.032,0.028,0.039,0.048
298,0.007,0.032,0.024,0.032,0.022,0.028,0.031,0.043,0.032,0.028,0.038,0.047
299,0.007,0.032,0.024,0.031,0.022,0.027,0.03,0.042,0.031,0.027,0.038,0.046
300,0.007,0.031,0.024,0.031,0.022,0.027,0.03,0.042,0.031,0.027,0.037,0.046
301,0.007,0.031,0.023,0.03,0.021,0.027,0.03,0.042,0.03,0.027,0.036,0.045
302,0.007,0.03,0.023,0.03,0.021,0.026,0.029,0.041,0.03,0.026,0.036,0.044
303,0.007,0.03,0.023,0.029,0.02,0.025,0.029,0.041,0.029,0.026,0.035,0.044
304,0.007,0.029,0.022,0.029,0.02,0.025,0.028,0.04,0.029,0.026,0.034,0.043
305,0.007,0.029,0.022,0.028,0.019,0.024,0.028,0.039,0.028,0.025,0.033,0.042
306,0.006,0.028,0.021,0.027,0.019,0.024,0.028,0.038,0.027,0.025,0.033,0.041
307,0.007,0.028,0.021,0.027,0.019,0.023,0.027,0.038,0.027,0.025,0.032,0.041
308,0.007,0.027,0.02,0.027,0.018,0.023,0.027,0.038,0.027,0.025,0.032,0.041
309,0.007,0.027,0.02,0.027,0.018,0.023,0.027,0.037,0.027,0.024,0.031,0.04
310,0.007,0.027,0.02,0.026,0.018,0.022,0.026,0.037,0.026,0.024,0.031,0.04
311,0.006,0.026,0.019,0.026,0.017,0.022,0.026,0.036,0.025,0.023,0.03,0.039
312,0.006,0.026,0.019,0.025,0.017,0.022,0.025,0.036,0.025,0.023,0.03,0.038
313,0.006,0.025,0.019,0.025,0.017,0.021,0.025,0.035,0.025,0.023,0.029,0.038
314,0.006,0.025,0.018,0.024,0.017,0.021,0.025,0.035,0.024,0.023,0.028,0.037
315,0.006,0.025,0.018,0.024,0.016,0.021,0.025,0.035,0.024,0.023,0.028,0.037
316,0.006,0.024,0.018,0.024,0.016,0.02,0.024,0.034,0.023,0.022,0.028,0.036
317,0.006,0.024,0.017,0.023,0.016,0.02,0.024,0.034,0.023,0.022,0.027,0.036
318,0.006,0.024,0.017,0.023,0.016,0.02,0.024,0.033,0.023,0.022,0.027,0.035
319,0.006,0.024,0.017,0.023,0.015,0.02,0.024,0.033,0.023,0.022,0.027,0.035
320,0.006,0.023,0.017,0.022,0.015,0.019,0.023,0.033,0.022,0.021,0.026,0.035
321,0.006,0.023,0.017,0.022,0.015,0.019,0.023,0.032,0.022,0.021,0.026,0.034
322,0.006,0.022,0.016,0.022,0.015,0.018,0.022,0.032,0.021,0.021,0.025,0.034
323,0.006,0.022,0.016,0.022,0.015,0.019,0.022,0.031,0.021,0.021,0.025,0.033
324,0.006,0.022,0.016,0.021,0.014,0.018,0.022,0.031,0.021,0.021,0.025,0.033
325,0.006,0.021,0.016,0.021,0.014,0.018,0.022,0.031,0.021,0.02,0.025,0.032
326,0.005,0.021,0.015,0.02,0.014,0.017,0.022,0.03,0.02,0.02,0.024,0.032
327,0.005,0.021,0.015,0.02,0.014,0.017,0.022,0.03,0.02,0.02,0.023,0.032
328,0.006,0.021,0.015,0.02,0.014,0.017,0.021,0.03,0.02,0.019,0.023,0.031
329,0.006,0.02,0.015,0.02,0.013,0.017,0.021,0.029,0.019,0.019,0.023,0.031
330,0.005,0.02,0.014,0.02,0.013,0.017,0.021,0.029,0.019,0.019,0.023,0.031
331,0.005,0.02,0.014,0.019,0.013,0.016,0.02,0.029,0.019,0.019,0.023,0.03
332,0.005,0.02,0.014,0.019,0.013,0.016,0.02,0.028,0.019,0.019,0.022,0.03
333,0.006,0.02,0.014,0.019,0.013,0.016,0.02,0.028,0.018,0.018,0.022,0.03
334,0.006,0.019,0.014,0.019,0.013,0.016,0.02,0.028,0.018,0.018,0.022,0.029
335,0.006,0.019,0.014,0.019,0.013,0.016,0.02,0.028,0.018,0.018,0.022,0.029
336,0.005,0.019,0.013,0.018,0.012,0.015,0.019,0.027,0.018,0.018,0.021,0.028
337,0.005,0.018,0.013,0.018,0.012,0.015,0.019,0.027,0.018,0.018,0.021,0.028
338,0.005,0.018,0.013,0.018,0.012,0.015,0.019,0.027,0.017,0.017,0.021,0.028
339,0.006,0.019,0.013,0.018,0.012,0.015,0.02,0.027,0.018,0.018,0.021,0.028
340,0.007,0.019,0.014,0.019,0.013,0.016,0.02,0.027,0.018,0.019,0.022,0.029
