wavelenght,MilliQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
466,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
467,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.004,0.004,0.006
468,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.004,0.004,0.006
469,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.004,0.004,0.006
470,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.004,0.004,0.006
471,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.006
472,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.005
473,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
474,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.005
475,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
476,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
477,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
478,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
479,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
480,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.004,0.005
481,0.001,0.004,0.002,0.003,0.003,0.002,0.004,0.006,0.003,0.004,0.003,0.005
482,0.001,0.004,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
483,0.001,0.004,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
484,0,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
485,0.001,0.004,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
486,0.001,0.004,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
487,0.001,0.004,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
488,0.001,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.003,0.004,0.003,0.005
489,0.001,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
490,0.001,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
491,0.001,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
492,0,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
493,0,0.003,0.002,0.002,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
494,0,0.003,0.002,0.002,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
495,0.001,0.003,0.002,0.003,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
496,0,0.003,0.002,0.002,0.002,0.001,0.004,0.006,0.002,0.004,0.003,0.004
497,0.001,0.003,0.002,0.002,0.002,0.002,0.004,0.006,0.002,0.004,0.003,0.005
498,0,0.003,0.002,0.002,0.002,0.001,0.004,0.006,0.002,0.003,0.003,0.004
499,0,0.003,0.002,0.002,0.002,0.001,0.004,0.006,0.002,0.004,0.003,0.004
500,0,0.003,0.002,0.002,0.002,0.001,0.004,0.006,0.002,0.003,0.003,0.004
501,0,0.003,0.002,0.002,0.002,0.001,0.004,0.005,0.002,0.003,0.003,0.004
502,0,0.003,0.002,0.002,0.002,0.001,0.004,0.005,0.002,0.003,0.003,0.004
503,0,0.003,0.002,0.002,0.002,0.001,0.004,0.005,0.002,0.003,0.003,0.004
504,0,0.003,0.002,0.002,0.002,0.001,0.004,0.005,0.002,0.003,0.003,0.004
505,0,0.003,0.001,0.002,0.002,0.001,0.004,0.005,0.002,0.003,0.003,0.004
506,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
507,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
508,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
509,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
510,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
511,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
512,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
513,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
514,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
515,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.003,0.004
516,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
517,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
518,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
519,0,0.003,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
520,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
521,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
522,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.004
523,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
524,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
525,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
526,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
527,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
528,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
529,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
530,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
531,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
532,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.003
533,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
534,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.001,0.003,0.002,0.003
535,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
536,0.001,0.003,0.002,0.003,0.003,0.002,0.004,0.005,0.002,0.004,0.003,0.004
537,0,0.002,0.001,0.002,0.002,0.001,0.003,0.005,0.002,0.003,0.002,0.003
538,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.003
539,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
540,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.003
541,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
542,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
543,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
544,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.003
545,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.003
546,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
547,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
548,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
549,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
550,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
551,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
552,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
553,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
554,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
555,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
556,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
557,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
558,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
559,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
560,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
561,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
562,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
563,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
564,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
565,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
566,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
567,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
568,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
569,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
570,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
571,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
572,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
573,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
574,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
575,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
576,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
577,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
578,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
579,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
580,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
581,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
582,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
583,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
584,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.003
585,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
586,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
587,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
588,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
589,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
590,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
591,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
592,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
593,0,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
594,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
595,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
596,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
597,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
598,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
599,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
600,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.002,0.002,0.002
601,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.002,0.002,0.002
602,0,0.002,0.001,0.001,0.002,0.001,0.003,0.004,0.001,0.003,0.002,0.002
603,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
604,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
605,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
606,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
607,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
608,0,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.001,0.002,0.002,0.002
609,0,0.002,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.002,0.002,0.002
610,0,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.001,0.003,0.002,0.002
611,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
612,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
613,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
614,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
615,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
616,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
617,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
618,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
619,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
620,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
621,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
622,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
623,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
624,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.002,0.002
625,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
626,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
627,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
628,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
629,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
630,0,0.002,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
631,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
632,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
633,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
634,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
635,0,0.002,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.002
636,0,0.002,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
637,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
638,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
639,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
640,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
641,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
642,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
643,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
644,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
645,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
646,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
647,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
648,0,0.002,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
649,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
650,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
651,0,0.002,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
652,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
653,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
654,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
655,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
656,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
657,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
658,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
659,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
660,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
661,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
662,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
663,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
664,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
665,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
666,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
667,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
668,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
669,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
670,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
671,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
672,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.002
673,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
674,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
675,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
676,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
677,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
678,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
679,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
680,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
681,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
682,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
683,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
684,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
685,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
686,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
687,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
688,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
689,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
690,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
691,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
692,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
693,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
694,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
695,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
696,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
697,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
698,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
699,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
700,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
701,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
702,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
703,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
704,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
705,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
706,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
707,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
708,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
709,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
710,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
711,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
712,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
713,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
714,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
715,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
716,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
717,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
718,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
719,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
720,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
721,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
722,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
723,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
724,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
725,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
726,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
727,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
728,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
729,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
730,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
731,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
732,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
733,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
734,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
735,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
736,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
737,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
738,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
739,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
740,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
741,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
742,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
743,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
744,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
745,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
746,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
747,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
748,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
749,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
750,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
751,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
752,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
753,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
754,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
755,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
756,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
757,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
758,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
759,0,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.001,0.002,0.001,0.001
760,0.001,0.002,0.001,0.002,0.002,0.001,0.003,0.004,0.002,0.003,0.002,0.002
761,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
762,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
763,0,0.001,0,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
764,0,0.001,0.001,0.001,0.001,0,0.002,0.003,0.001,0.002,0.001,0.001
