Wavelength nm.,MilliQ,CS1_15aug24_01r1,CC3_15aug24_15r2,CC4_15aug24_6r2,CC4_15aug24_01r2,CP2_15aug24_01r2,CC3_15aug24_BOTr1,CC2_15aug24_BOTr1,CC4_15aug24_6r1,CS2_15aug24_01r1,CC4_15aug24_15r1,CC3_15aug24_01r2,CC2_15aug24_01r2,CS1_15aug24_01r2
206,0.005,0.222,0.12,0.123,0.105,0.149,0.119,0.111,0.148,0.21,0.118,0.135,0.107,0.196
207,0.005,0.218,0.116,0.118,0.101,0.145,0.115,0.107,0.143,0.205,0.113,0.129,0.103,0.192
208,0.005,0.213,0.112,0.114,0.097,0.141,0.111,0.103,0.138,0.201,0.109,0.124,0.1,0.188
209,0.005,0.207,0.107,0.11,0.094,0.137,0.107,0.099,0.132,0.195,0.105,0.119,0.096,0.184
210,0.005,0.202,0.104,0.106,0.091,0.134,0.104,0.096,0.127,0.19,0.101,0.115,0.093,0.179
211,0.005,0.196,0.1,0.103,0.088,0.13,0.101,0.093,0.123,0.184,0.098,0.111,0.09,0.174
212,0.004,0.19,0.097,0.1,0.085,0.127,0.098,0.09,0.119,0.178,0.095,0.107,0.088,0.169
213,0.004,0.184,0.094,0.097,0.082,0.124,0.095,0.088,0.115,0.172,0.092,0.103,0.085,0.164
214,0.004,0.178,0.092,0.094,0.08,0.122,0.093,0.085,0.111,0.166,0.089,0.1,0.083,0.159
215,0.004,0.172,0.089,0.091,0.078,0.119,0.09,0.083,0.108,0.16,0.087,0.096,0.081,0.153
216,0.004,0.166,0.087,0.089,0.076,0.116,0.088,0.081,0.105,0.154,0.084,0.094,0.079,0.148
217,0.004,0.16,0.085,0.086,0.074,0.114,0.086,0.079,0.102,0.148,0.082,0.091,0.077,0.142
218,0.004,0.155,0.083,0.084,0.072,0.112,0.084,0.077,0.099,0.142,0.08,0.089,0.075,0.138
219,0.004,0.149,0.081,0.082,0.07,0.11,0.082,0.075,0.097,0.136,0.078,0.086,0.073,0.133
220,0.004,0.144,0.079,0.081,0.069,0.108,0.081,0.074,0.095,0.131,0.076,0.084,0.071,0.128
221,0.004,0.14,0.077,0.079,0.067,0.106,0.079,0.072,0.092,0.126,0.074,0.082,0.07,0.124
222,0.004,0.135,0.075,0.077,0.065,0.104,0.078,0.071,0.09,0.122,0.073,0.08,0.068,0.12
223,0.004,0.131,0.074,0.075,0.064,0.102,0.076,0.069,0.088,0.117,0.071,0.078,0.067,0.116
224,0.004,0.127,0.072,0.074,0.063,0.1,0.075,0.068,0.086,0.113,0.07,0.076,0.066,0.112
225,0.003,0.123,0.071,0.072,0.061,0.099,0.073,0.066,0.084,0.109,0.068,0.074,0.064,0.109
226,0.003,0.119,0.069,0.071,0.06,0.097,0.072,0.065,0.081,0.105,0.066,0.072,0.063,0.105
227,0.003,0.115,0.068,0.069,0.059,0.095,0.07,0.064,0.079,0.102,0.065,0.071,0.062,0.102
228,0.003,0.112,0.066,0.068,0.058,0.094,0.069,0.063,0.077,0.099,0.064,0.069,0.061,0.1
229,0.003,0.11,0.065,0.067,0.057,0.092,0.068,0.061,0.076,0.096,0.062,0.068,0.059,0.097
230,0.003,0.107,0.063,0.065,0.056,0.091,0.067,0.06,0.074,0.093,0.061,0.066,0.058,0.095
231,0.003,0.104,0.062,0.064,0.055,0.09,0.066,0.059,0.072,0.091,0.06,0.065,0.057,0.092
232,0.003,0.102,0.061,0.063,0.053,0.088,0.064,0.058,0.07,0.088,0.059,0.063,0.056,0.09
233,0.003,0.099,0.06,0.061,0.052,0.087,0.063,0.057,0.069,0.086,0.058,0.062,0.055,0.088
234,0.003,0.097,0.058,0.06,0.052,0.086,0.063,0.056,0.067,0.084,0.057,0.06,0.054,0.086
235,0.002,0.095,0.057,0.059,0.051,0.084,0.062,0.055,0.066,0.083,0.056,0.059,0.054,0.085
236,0.002,0.093,0.056,0.058,0.05,0.083,0.061,0.054,0.065,0.081,0.055,0.058,0.053,0.083
237,0.002,0.092,0.056,0.057,0.049,0.082,0.06,0.054,0.064,0.079,0.054,0.057,0.052,0.082
238,0.002,0.09,0.055,0.056,0.048,0.081,0.059,0.053,0.062,0.078,0.053,0.056,0.051,0.08
239,0.002,0.089,0.054,0.056,0.048,0.08,0.058,0.052,0.062,0.077,0.052,0.055,0.05,0.079
240,0.002,0.087,0.053,0.055,0.047,0.079,0.058,0.051,0.061,0.076,0.051,0.054,0.05,0.078
241,0.002,0.086,0.052,0.054,0.047,0.078,0.057,0.051,0.06,0.074,0.05,0.054,0.049,0.077
242,0.002,0.085,0.052,0.053,0.046,0.077,0.056,0.05,0.059,0.073,0.05,0.053,0.049,0.076
243,0.002,0.084,0.051,0.053,0.046,0.076,0.056,0.05,0.058,0.072,0.049,0.052,0.048,0.075
244,0.002,0.083,0.051,0.052,0.045,0.076,0.055,0.049,0.057,0.071,0.049,0.051,0.048,0.074
245,0.002,0.081,0.05,0.052,0.044,0.075,0.055,0.048,0.057,0.07,0.048,0.051,0.047,0.073
246,0.002,0.081,0.05,0.051,0.044,0.074,0.054,0.048,0.056,0.069,0.048,0.05,0.047,0.072
247,0.002,0.08,0.049,0.051,0.043,0.073,0.054,0.048,0.055,0.068,0.047,0.05,0.046,0.071
248,0.002,0.079,0.049,0.05,0.043,0.073,0.053,0.047,0.055,0.068,0.047,0.049,0.046,0.07
249,0.002,0.078,0.048,0.05,0.043,0.073,0.053,0.047,0.055,0.067,0.046,0.049,0.046,0.07
250,0.002,0.077,0.048,0.05,0.043,0.072,0.053,0.047,0.055,0.067,0.046,0.048,0.046,0.069
251,0.002,0.077,0.048,0.049,0.043,0.072,0.052,0.046,0.054,0.066,0.046,0.048,0.045,0.068
252,0.002,0.076,0.047,0.049,0.042,0.071,0.052,0.046,0.053,0.065,0.045,0.048,0.045,0.067
253,0.001,0.075,0.047,0.048,0.042,0.07,0.051,0.045,0.053,0.064,0.045,0.047,0.044,0.067
254,0.001,0.074,0.047,0.048,0.041,0.07,0.051,0.045,0.053,0.064,0.045,0.047,0.044,0.066
255,0.002,0.074,0.046,0.048,0.041,0.069,0.051,0.045,0.052,0.063,0.044,0.047,0.043,0.066
256,0.002,0.073,0.046,0.047,0.041,0.069,0.051,0.045,0.052,0.063,0.044,0.046,0.043,0.065
257,0.002,0.073,0.046,0.047,0.04,0.068,0.05,0.044,0.052,0.062,0.044,0.046,0.043,0.065
258,0.002,0.072,0.046,0.047,0.04,0.068,0.05,0.044,0.052,0.062,0.043,0.046,0.043,0.064
259,0.002,0.071,0.045,0.046,0.04,0.068,0.049,0.044,0.051,0.061,0.043,0.045,0.042,0.063
260,0.002,0.071,0.045,0.046,0.039,0.067,0.049,0.043,0.051,0.06,0.043,0.045,0.042,0.063
261,0.002,0.07,0.045,0.045,0.039,0.066,0.049,0.043,0.051,0.06,0.042,0.045,0.042,0.062
262,0.002,0.069,0.044,0.045,0.039,0.066,0.048,0.042,0.05,0.059,0.042,0.044,0.041,0.062
263,0.001,0.069,0.044,0.044,0.038,0.065,0.048,0.042,0.05,0.059,0.041,0.044,0.041,0.061
