Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
426,0.001,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.001
427,0.001,0.004,0.004,0.004,0.002,0.004,0.003,0.002,0.003,0.002,0.002,0.002,0.001
428,0.001,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.001
429,0,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
430,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
431,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
432,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
433,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
434,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001
435,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001
436,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001
437,0.001,0.003,0.004,0.004,0.002,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001
438,0.001,0.003,0.004,0.004,0.001,0.003,0.003,0.002,0.002,0.001,0.002,0.002,0.001
439,0.001,0.003,0.004,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.001
440,0,0.003,0.004,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.002,0.001,0.001
441,0.001,0.003,0.004,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
442,0,0.003,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
443,0,0.002,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
444,0,0.002,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
445,0,0.002,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
446,0.001,0.003,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
447,0.001,0.003,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001
448,0,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001
449,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001
450,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001
451,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
452,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
453,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
454,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001
455,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
456,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
457,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
458,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
459,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
460,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
461,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
462,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0
463,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
464,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
465,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
466,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
467,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
468,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
469,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
470,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
471,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
472,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
473,0.001,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0
474,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0,0.001,0.001,0
475,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0
476,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0
477,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0,0.001,0.001,0
478,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0.001,0,0
479,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0.001,0.001,0
480,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0.001,0.001,0
481,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0.001,0,0
482,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0,0,0
483,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0,0,0
484,0,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0,0.001,0
485,0.001,0.001,0.002,0.002,0,0.002,0.001,0.001,0.001,0,0,0.001,0
486,0.001,0.001,0.002,0.002,0,0.002,0.001,0,0.001,0,0,0,0
487,0.001,0.001,0.002,0.002,0,0.002,0.001,0,0.001,0,0,0,0
488,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
489,0,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
490,0,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
491,0,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
492,0,0.001,0.002,0.002,0,0.002,0.001,0,0.001,0,0,0,0
493,0,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
494,0,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
495,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
496,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
497,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
498,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
499,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
500,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
501,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
502,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0.001,0,0,0,0
503,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
504,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
505,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
506,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
507,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0
508,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
509,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
510,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
511,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
512,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
513,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
514,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
515,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
516,0.001,0.001,0.002,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
517,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
518,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
519,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
520,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
521,0.001,0.001,0.001,0.002,0,0.001,0.001,0,0,0,0,0,-0.001
522,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0,0,-0.001
523,0.001,0.001,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
524,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0,0,-0.001
525,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0,0,-0.001
526,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0,0,-0.001
527,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
528,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
529,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
530,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
531,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
532,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
533,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
534,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
535,0.001,0.001,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0
536,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0
537,0.001,0,0.001,0.001,0,0.001,0.001,0,0,0,0,0,-0.001
538,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
539,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
540,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
541,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
542,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
543,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
544,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
545,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
546,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
547,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
548,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
549,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
550,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
551,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
552,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
553,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
554,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
555,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
556,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
557,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
558,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
559,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
560,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
561,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
562,0,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
563,0,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
564,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
565,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
566,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
567,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
568,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
569,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
570,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
571,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
572,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
573,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
574,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
575,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
576,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
577,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
578,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
579,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
580,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
581,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
582,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
583,0.001,0,0.001,0.001,0,0.001,0,0,0,0,0,0,-0.001
584,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
585,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
586,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
587,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
588,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
589,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
590,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
591,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
592,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
593,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
594,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
595,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
596,0.001,0,0.001,0.001,0,0.001,0,0,0,-0.001,0,0,-0.001
597,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
598,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
599,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
600,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
601,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
602,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
603,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
604,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,0,0,-0.001
605,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,0,-0.001
606,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,-0.001,0,-0.001
607,0.001,0,0.001,0.001,0,0,0,0,0,-0.001,-0.001,0,-0.001
608,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
609,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
610,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
611,0,0,0,0.001,0,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
612,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
613,0,0,0,0.001,0,0,0,0,0,-0.001,-0.001,-0.001,-0.001
614,0,0,0,0.001,0,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
615,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
616,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
617,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
618,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
619,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
620,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
621,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
622,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
623,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
624,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
625,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
626,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
627,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
628,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
629,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
630,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
631,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
632,0,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
633,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
634,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
635,0,0,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
636,0,0,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
637,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
638,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
639,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
640,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
641,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
642,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
643,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
644,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
645,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
646,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
647,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
648,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
649,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
650,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
651,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
652,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
653,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
654,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
655,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
656,0.001,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
657,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
658,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
659,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
660,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
661,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
662,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
663,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
664,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
665,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
666,0.001,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
667,0.001,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
668,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
669,0.001,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
670,0.001,0,0,0.001,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
671,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
672,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
673,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
674,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
675,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
676,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
677,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
678,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
679,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
680,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
681,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
682,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
683,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
684,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
685,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
686,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
687,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
688,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
689,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
690,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
691,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
692,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
693,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
694,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
695,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
696,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
697,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
698,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
699,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
700,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
701,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
702,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
703,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
704,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
705,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
706,0,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
707,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
708,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
709,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
710,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
711,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
712,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
713,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
714,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
715,0.001,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
716,0.001,0,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
717,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
718,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
719,0,-0.001,0,0,-0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,-0.001
720,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
721,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
722,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
723,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
724,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
725,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
726,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
727,0,-0.001,0,0,-0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
