Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
218,0.001,0.097,0.071,0.072,0.097,0.065,0.109,0.102,0.073,0.096,0.098,0.119,0.095
219,0.001,0.095,0.07,0.071,0.096,0.064,0.107,0.1,0.07,0.094,0.097,0.115,0.094
220,0.001,0.094,0.069,0.07,0.094,0.064,0.105,0.099,0.067,0.092,0.095,0.111,0.092
221,0.001,0.092,0.068,0.069,0.092,0.063,0.103,0.096,0.064,0.091,0.093,0.107,0.09
222,0.001,0.09,0.067,0.068,0.09,0.062,0.101,0.095,0.063,0.089,0.091,0.103,0.089
223,0.001,0.089,0.066,0.066,0.089,0.061,0.099,0.093,0.062,0.087,0.09,0.1,0.087
224,0.001,0.087,0.065,0.065,0.087,0.06,0.097,0.091,0.06,0.086,0.088,0.096,0.085
225,0.001,0.086,0.064,0.064,0.086,0.059,0.095,0.09,0.059,0.084,0.087,0.093,0.084
226,0.001,0.084,0.063,0.063,0.084,0.058,0.093,0.088,0.058,0.083,0.085,0.09,0.082
227,0.001,0.083,0.062,0.062,0.083,0.057,0.092,0.086,0.057,0.081,0.084,0.087,0.081
228,0.001,0.082,0.061,0.061,0.081,0.057,0.09,0.085,0.056,0.08,0.082,0.085,0.079
229,0,0.08,0.06,0.06,0.08,0.055,0.088,0.083,0.055,0.078,0.081,0.082,0.078
230,0,0.079,0.059,0.059,0.078,0.055,0.086,0.081,0.054,0.077,0.079,0.08,0.076
231,0,0.077,0.058,0.058,0.077,0.054,0.085,0.08,0.053,0.076,0.078,0.078,0.075
232,0,0.076,0.057,0.057,0.076,0.053,0.083,0.078,0.052,0.074,0.076,0.076,0.074
233,0,0.075,0.056,0.057,0.074,0.052,0.082,0.077,0.052,0.073,0.075,0.074,0.073
234,0,0.074,0.056,0.056,0.073,0.052,0.081,0.076,0.051,0.072,0.074,0.073,0.072
235,0,0.072,0.055,0.055,0.072,0.051,0.079,0.074,0.05,0.071,0.073,0.071,0.07
236,0,0.071,0.054,0.054,0.071,0.05,0.078,0.073,0.049,0.07,0.072,0.07,0.069
237,0,0.07,0.053,0.053,0.07,0.049,0.076,0.072,0.049,0.069,0.071,0.068,0.068
238,0,0.069,0.053,0.053,0.069,0.049,0.075,0.071,0.048,0.068,0.07,0.067,0.067
239,0,0.068,0.052,0.052,0.068,0.048,0.074,0.07,0.047,0.067,0.069,0.066,0.066
240,0,0.067,0.051,0.051,0.067,0.047,0.073,0.069,0.046,0.066,0.068,0.065,0.065
241,0,0.067,0.05,0.051,0.066,0.047,0.072,0.068,0.046,0.065,0.067,0.064,0.064
242,0,0.066,0.05,0.05,0.065,0.046,0.071,0.067,0.045,0.064,0.066,0.063,0.064
243,0,0.065,0.049,0.049,0.065,0.045,0.07,0.066,0.045,0.063,0.065,0.062,0.063
244,0,0.064,0.048,0.049,0.064,0.045,0.069,0.065,0.044,0.062,0.065,0.061,0.062
245,0,0.063,0.048,0.048,0.063,0.044,0.068,0.065,0.044,0.062,0.064,0.06,0.061
246,0,0.063,0.047,0.048,0.063,0.044,0.067,0.064,0.043,0.061,0.063,0.06,0.061
247,0,0.062,0.047,0.047,0.062,0.043,0.066,0.063,0.043,0.06,0.063,0.059,0.06
248,0,0.061,0.046,0.046,0.061,0.043,0.065,0.063,0.042,0.06,0.062,0.058,0.059
249,0,0.061,0.046,0.046,0.061,0.042,0.065,0.062,0.041,0.059,0.061,0.058,0.059
250,0,0.06,0.045,0.046,0.06,0.042,0.064,0.061,0.041,0.059,0.061,0.057,0.058
251,0,0.06,0.045,0.045,0.06,0.042,0.064,0.061,0.041,0.058,0.061,0.057,0.058
252,0,0.059,0.044,0.045,0.06,0.041,0.063,0.06,0.04,0.058,0.06,0.056,0.057
253,0,0.059,0.044,0.044,0.059,0.041,0.063,0.06,0.04,0.057,0.06,0.056,0.057
254,0,0.058,0.044,0.044,0.058,0.04,0.062,0.059,0.039,0.057,0.059,0.055,0.056
255,0,0.058,0.043,0.044,0.058,0.04,0.062,0.059,0.039,0.056,0.058,0.055,0.056
256,0,0.057,0.043,0.043,0.058,0.039,0.061,0.059,0.039,0.056,0.058,0.054,0.055
257,0,0.057,0.042,0.043,0.057,0.039,0.061,0.058,0.038,0.055,0.057,0.054,0.055
258,0,0.056,0.042,0.043,0.057,0.039,0.06,0.058,0.038,0.055,0.057,0.053,0.054
259,0,0.056,0.042,0.042,0.056,0.038,0.06,0.057,0.038,0.055,0.057,0.053,0.054
260,0,0.056,0.041,0.042,0.056,0.038,0.059,0.057,0.038,0.054,0.056,0.052,0.054
261,0.001,0.055,0.041,0.042,0.055,0.038,0.059,0.056,0.037,0.054,0.056,0.052,0.053
