Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
465,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
466,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
467,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
468,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
469,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
470,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
471,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
472,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
473,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
474,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
475,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
476,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
477,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
478,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
479,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
480,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
481,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
482,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
483,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
484,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
485,-0.001,0.001,0.006,0.001,0.004,0.002,0.002,0,0.001,0.003,0
486,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
487,-0.001,0.001,0.006,0,0.004,0.002,0.002,0,0.001,0.003,0
488,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
489,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
490,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
491,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
492,-0.001,0.001,0.005,0.001,0.003,0.002,0.002,0,0.001,0.003,0
493,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
494,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
495,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
496,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
497,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
498,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
499,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
500,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
501,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
502,-0.001,0.001,0.005,0.001,0.003,0.002,0.002,0,0.001,0.003,0
503,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
504,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
505,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
506,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
507,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
508,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
509,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
510,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
511,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
512,-0.001,0.001,0.005,0.001,0.003,0.002,0.002,0,0.001,0.003,0
513,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
514,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
515,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
516,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
517,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
518,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
519,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
520,0,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
521,0,0.001,0.005,0.001,0.004,0.002,0.002,0,0.001,0.003,0
522,0,0.001,0.005,0.001,0.004,0.002,0.002,0,0.001,0.003,0
523,-0.001,0.001,0.005,0,0.004,0.002,0.002,0,0.001,0.003,0
524,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
525,-0.001,0.001,0.005,0,0.003,0.002,0.002,0,0.001,0.003,0
526,0,0.001,0.005,0.001,0.004,0.002,0.002,0,0.001,0.003,0
527,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
528,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
529,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
530,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
531,-0.001,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
532,-0.001,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
533,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
534,-0.001,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
535,0,0.001,0.005,0.001,0.004,0.002,0.002,0,0.001,0.003,0
536,0.001,0.002,0.006,0.002,0.005,0.003,0.003,0.001,0.002,0.004,0.001
537,0,0.001,0.005,0.001,0.004,0.002,0.002,0,0.001,0.003,0
538,-0.001,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
539,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
540,0,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
541,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
542,0,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
543,0,0.001,0.004,0.001,0.003,0.002,0.002,0,0.001,0.003,0
544,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
545,0,0.001,0.004,0,0.003,0.002,0.002,0,0.001,0.003,0
546,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
547,0,0.001,0.004,0.001,0.003,0.002,0.002,0,0.001,0.003,0
548,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
549,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
550,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
551,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
552,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
553,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
554,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
555,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
556,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
557,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
558,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
559,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
560,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
561,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
562,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
563,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
564,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
565,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
566,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
567,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
568,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
569,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
570,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
571,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
572,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
573,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
574,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
575,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
576,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
577,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
578,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
579,0,0.001,0.004,0,0.003,0.002,0.001,0,0.001,0.003,0
580,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
581,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
582,0,0.001,0.004,0.001,0.003,0.002,0.001,0,0.001,0.003,0
583,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
584,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
585,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
586,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
587,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
588,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
589,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
590,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
591,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
592,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
593,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
594,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
595,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
596,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
597,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
598,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
599,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
600,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
601,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
602,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
603,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
604,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
605,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
606,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
607,0,0.001,0.004,0,0.003,0.001,0.001,0,0.001,0.003,0
608,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
609,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
610,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
611,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
612,0,0.001,0.004,0.001,0.003,0.001,0.001,0,0.001,0.003,0
613,0,0.001,0.003,0.001,0.003,0.001,0.001,0,0.001,0.003,0
614,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
615,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
616,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
617,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
618,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
619,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
620,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
621,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
622,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
623,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
624,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
625,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
626,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
627,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
628,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
629,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
630,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
631,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
632,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
633,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
634,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
635,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
636,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
637,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
638,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
639,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
640,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
641,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
642,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
643,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
644,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
645,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
646,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
647,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
648,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
649,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
650,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
651,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
652,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
653,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
654,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
655,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
656,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
657,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
658,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
659,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
660,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
661,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
662,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
663,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
664,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
665,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
666,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
667,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
668,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
669,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
670,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
671,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
672,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
673,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
674,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
675,0,0.001,0.003,0.001,0.003,0.002,0.002,0,0.001,0.003,0
676,0,0.001,0.003,0.001,0.003,0.002,0.002,0,0.001,0.003,0
677,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
678,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
679,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
680,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
681,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
682,0,0.001,0.003,0.001,0.003,0.001,0.001,0,0.001,0.003,0
683,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
684,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
685,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
686,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
687,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
688,0,0.001,0.003,0,0.003,0.002,0.001,0,0.001,0.003,0
689,0,0.001,0.003,0.001,0.003,0.002,0.001,0,0.001,0.003,0
690,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.003,0
691,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
692,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
693,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
694,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
695,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
696,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
697,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
698,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
699,0,0.001,0.003,0.001,0.002,0.002,0.001,0,0.001,0.003,0
700,0,0.001,0.003,0.001,0.002,0.002,0.001,0,0.001,0.003,0
701,0,0.001,0.003,0,0.002,0.002,0.001,0,0.001,0.003,0
702,0,0.001,0.003,0,0.002,0.002,0.001,0,0.001,0.003,0
703,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
704,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
705,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
706,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
707,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
708,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
709,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.003,0
710,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
711,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
712,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
713,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
714,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
715,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
716,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
717,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
718,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
719,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.003,0
720,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
721,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
722,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
723,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
724,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
725,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
726,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
727,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
728,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
729,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
730,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
731,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
732,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
733,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
734,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
735,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.002,0
736,0,0.001,0.003,0,0.003,0.001,0.001,0,0.001,0.002,0
737,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
738,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
739,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
740,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
741,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
742,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
743,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
744,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
745,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
746,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
747,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
748,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
749,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
750,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
751,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
752,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
753,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
754,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
755,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
756,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
757,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
758,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
759,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
760,0.001,0.002,0.004,0.002,0.003,0.002,0.002,0.001,0.002,0.003,0.001
761,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
762,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
763,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
764,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
765,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
766,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
767,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
768,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
769,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
770,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
771,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
772,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
773,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
774,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
775,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
776,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
777,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
778,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
779,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
780,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
781,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
782,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
783,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
784,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
785,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
786,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
787,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
788,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
789,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
790,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
791,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
792,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
793,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
794,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
795,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
796,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
797,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
798,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
799,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
800,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
801,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
802,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
803,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
804,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
805,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
806,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
807,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
808,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
809,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
810,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
811,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
812,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
813,0,0.001,0.003,0,0.002,0.001,0.001,0,0.001,0.002,0
814,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
815,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
816,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
817,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
818,0,0.001,0.003,0.001,0.002,0.001,0.001,0,0.001,0.002,0
