Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
242,-0.008,0.041,0.069,0.04,0.047,0.043,0.038,0.037,0.039,0.036,0.039
243,-0.008,0.041,0.068,0.04,0.047,0.042,0.038,0.037,0.039,0.035,0.039
244,-0.008,0.04,0.067,0.039,0.046,0.042,0.037,0.036,0.039,0.035,0.038
245,-0.008,0.04,0.067,0.039,0.046,0.041,0.037,0.036,0.038,0.035,0.038
246,-0.008,0.04,0.066,0.039,0.045,0.041,0.036,0.036,0.038,0.034,0.038
247,-0.008,0.039,0.065,0.038,0.045,0.04,0.036,0.035,0.037,0.034,0.037
248,-0.008,0.039,0.065,0.038,0.044,0.04,0.035,0.035,0.037,0.034,0.037
249,-0.008,0.038,0.064,0.038,0.044,0.039,0.035,0.034,0.037,0.033,0.036
250,-0.008,0.038,0.064,0.037,0.043,0.039,0.034,0.034,0.036,0.033,0.036
251,-0.008,0.038,0.063,0.037,0.043,0.039,0.034,0.034,0.036,0.033,0.036
252,-0.008,0.038,0.063,0.037,0.043,0.038,0.034,0.034,0.036,0.033,0.036
253,-0.007,0.038,0.062,0.037,0.043,0.038,0.034,0.033,0.036,0.032,0.036
254,-0.007,0.037,0.062,0.036,0.042,0.038,0.033,0.033,0.036,0.032,0.035
255,-0.007,0.037,0.061,0.036,0.042,0.038,0.033,0.033,0.035,0.032,0.035
256,-0.007,0.037,0.061,0.036,0.041,0.037,0.033,0.033,0.035,0.031,0.035
257,-0.007,0.036,0.061,0.035,0.041,0.037,0.032,0.032,0.035,0.031,0.034
258,-0.007,0.036,0.06,0.035,0.041,0.036,0.032,0.032,0.034,0.031,0.034
259,-0.007,0.036,0.06,0.035,0.04,0.036,0.031,0.032,0.034,0.03,0.034
260,-0.007,0.036,0.059,0.035,0.04,0.036,0.031,0.031,0.034,0.03,0.033
261,-0.007,0.035,0.059,0.034,0.04,0.035,0.031,0.031,0.034,0.03,0.033
262,-0.007,0.035,0.058,0.034,0.039,0.035,0.031,0.031,0.033,0.029,0.033
263,-0.007,0.034,0.057,0.034,0.039,0.035,0.03,0.03,0.033,0.029,0.032
264,-0.007,0.034,0.057,0.033,0.038,0.034,0.03,0.03,0.032,0.029,0.032
265,-0.007,0.033,0.056,0.032,0.038,0.034,0.029,0.029,0.032,0.028,0.032
266,-0.007,0.033,0.055,0.032,0.038,0.033,0.029,0.029,0.031,0.028,0.031
267,-0.007,0.033,0.055,0.031,0.037,0.033,0.029,0.028,0.031,0.028,0.03
268,-0.007,0.032,0.054,0.031,0.037,0.032,0.028,0.028,0.031,0.028,0.03
269,-0.007,0.032,0.054,0.031,0.036,0.032,0.028,0.028,0.03,0.027,0.03
270,-0.007,0.031,0.053,0.03,0.036,0.031,0.028,0.027,0.03,0.027,0.029
271,-0.007,0.03,0.052,0.029,0.035,0.031,0.027,0.026,0.029,0.027,0.028
272,-0.007,0.03,0.051,0.029,0.034,0.03,0.027,0.026,0.028,0.026,0.028
273,-0.007,0.029,0.05,0.028,0.034,0.03,0.026,0.025,0.028,0.026,0.027
274,-0.007,0.029,0.05,0.028,0.033,0.029,0.026,0.025,0.027,0.026,0.027
275,-0.006,0.028,0.049,0.027,0.033,0.029,0.026,0.024,0.027,0.025,0.026
276,-0.006,0.027,0.048,0.026,0.032,0.028,0.025,0.024,0.026,0.025,0.025
277,-0.006,0.027,0.047,0.026,0.032,0.028,0.025,0.023,0.025,0.025,0.025
278,-0.006,0.026,0.046,0.025,0.031,0.027,0.025,0.023,0.025,0.024,0.024
279,-0.007,0.025,0.046,0.025,0.03,0.027,0.024,0.022,0.024,0.024,0.024
280,-0.006,0.025,0.045,0.024,0.03,0.026,0.024,0.022,0.024,0.024,0.023
281,-0.006,0.024,0.044,0.023,0.03,0.025,0.024,0.021,0.023,0.023,0.022
282,-0.006,0.024,0.044,0.023,0.029,0.025,0.023,0.021,0.022,0.023,0.022
283,-0.006,0.023,0.043,0.022,0.028,0.025,0.023,0.02,0.022,0.023,0.021
284,-0.006,0.022,0.042,0.021,0.028,0.024,0.022,0.019,0.021,0.022,0.02
285,-0.006,0.022,0.041,0.021,0.027,0.023,0.022,0.019,0.021,0.022,0.02
286,-0.006,0.021,0.041,0.02,0.027,0.023,0.022,0.018,0.02,0.022,0.019
287,-0.006,0.02,0.04,0.019,0.026,0.022,0.021,0.018,0.019,0.021,0.018
288,-0.006,0.019,0.039,0.019,0.025,0.022,0.021,0.017,0.019,0.021,0.018
289,-0.006,0.019,0.038,0.018,0.025,0.021,0.021,0.017,0.018,0.021,0.017
