"Reservoir","Site","DateTime","Depth_m","Rep","Dilution","a254_m","a350_m","S275_295","S350_400","Sr","Max_FL_Ex","Max_FL_Em","Max_FL","B","T","A","C","M","N","FI","BIX","HIX","T_B","T_M","T_N","T_C","A_T","A_C","A_M","M_C","C_N","Fmax1","Fmax2","Fmax3","Fmax4","abs_Flag","fl_Flag"
"BVR",200,2019-04-29 01:11:00,0.1,2,1,13.3574,6.2181,2.370577212,1.646206703,1.440024031,300,300,18.51981711,0.106561909,0.091690452,0.186698196,0.092076223,0.093078275,0.087152885,1.43925544,0.618391632,2.679375912,0.860443036,0.985089724,1.052064446,0.995810308,2.036179252,2.027648288,2.005819256,1.010882851,1.056490817,0.424995255,0.50772629,0.299018357,0.236322527,0,0
"BVR",45,2019-04-29 10:40:00,0.1,1,1,8.9817,2.5333,1.853134091,0.557042822,3.326735428,300,300,7.973405956,0.055913451,0.049199502,0.128354262,0.062030741,0.054648515,0.050509525,1.413137764,0.64707417,3.017423335,0.879922482,0.900289823,0.974063851,0.793147096,2.608852861,2.069204071,2.34872368,0.88099085,1.228099877,0.291095931,0.360864651,0.057704518,0.15727217,0,0
"BVR",20,2019-04-29 11:54:00,0.1,1,1,9.4423,3.2242,1.940057515,0.858727966,2.259222469,300,300,10.1005285,0.064425139,0.060811355,0.130748932,0.061752117,0.057102966,0.058030192,1.424482543,0.644513323,2.598217352,0.943907238,1.064942134,1.047926136,0.9847655,2.150074325,2.117319017,2.28970474,0.924712685,1.064137743,0.286224129,0.364459457,0.107370239,0.180195863,0,0
"BVR",1,2019-04-29 12:00:00,0.1,1,1,9.6726,3.4545,1.971530263,0.9261439,2.12875155,240,484,15.85787922,0.079601996,0.070172232,0.135645598,0.062788053,0.062323109,0.063014765,1.382938814,0.663007959,2.306118103,0.881538592,1.125942404,1.113583963,1.117604834,1.933038113,2.16037274,2.17648958,0.99259503,0.996402243,0.319924413,0.354127374,0.193805781,0.171393056,0,0
"BVR",50,2019-04-29 12:00:00,0.1,1,1,9.6726,3.2242,1.977584193,0.867491649,2.279657903,300,300,9.089046286,0.045063642,0.051971504,0.130026709,0.062403564,0.055409216,0.051614868,1.392154147,0.628622542,3.260264442,1.153291234,0.937957752,1.006909555,0.83282909,2.501884676,2.083642338,2.346662127,0.887917487,1.209023035,0.294107847,0.353757229,0.098198052,0.150250549,0,0
"BVR",100,2019-04-29 12:12:00,0.1,1,1,10.5938,4.8363,2.064241,1.389001,1.486134,310,310,17.56685525,0.041706395,0.03487737,0.133338239,0.066879949,0.048169956,0.040068091,1.401882823,0.564924349,3.692916539,0.836259538,0.724048216,0.870452505,0.521492181,3.823058828,1.993695288,2.768078926,0.720245102,1.669157346,0.365243723,0.26278297,0.333663267,0.095595245,0,0
"BVR",30,2019-04-29 12:42:00,0.1,2,1,9.6726,3.2242,1.96062743,0.796521649,2.461486681,300,300,10.28711072,0.057783291,0.057936704,0.134385945,0.06457732,0.057287322,0.05427763,1.38805035,0.621849611,2.809203166,1.002654976,1.011335527,1.067414037,0.897167992,2.319530365,2.0810084,2.345823464,0.887112109,1.189759384,0.299337128,0.372703777,0.07831334,0.177646417,0,0
"BVR",20,2019-05-30 11:43:00,0.1,2,1,9.9029,3.4545,1.981512501,0.847432885,2.338253018,300,300,11.48236249,0.063105544,0.060369499,0.137032705,0.062190628,0.059047923,0.055985298,1.436954907,0.675478119,2.619764532,0.95664335,1.022381424,1.07830987,0.970716992,2.269899645,2.203430155,2.320703232,0.949466577,1.110838565,0.282712852,0.378920469,0.126730736,0.189688371,0,0
"BVR",45,2019-05-30 11:43:00,0.1,2,1,8.0605,3.6848,1.833548791,1.144492352,1.602062947,305,304,12.82532609,0.059195044,0.061458901,0.094713812,0.038305428,0.040351891,0.046084705,1.436644139,0.695918716,1.96645275,1.038244032,1.523073645,1.333607358,1.604443678,1.541091862,2.472595096,2.347196401,1.053424884,0.831196119,0.17963838,0.243871945,0.200456672,0.168850686,0,0
"BVR",1,2019-05-30 12:00:00,0.1,1,1,10.1332,3.6848,2.01294179,0.921369664,2.184727659,300,300,11.3479351,0.058873054,0.060467913,0.13573641,0.061360797,0.058808036,0.054561001,1.433061026,0.658716009,2.739536766,1.027089797,1.02822534,1.108262532,0.985448624,2.244767577,2.212103121,2.308126906,0.958397528,1.124627408,0.280006534,0.366758506,0.135056783,0.178409584,0,0
"BVR",100,2019-05-30 12:09:00,0.1,1,1,11.515,5.2969,2.205828731,1.47953817,1.490890046,300,300,11.46079527,0.046253086,0.039477802,0.184490043,0.094804985,0.064580214,0.050415979,1.383363034,0.525752337,4.676239116,0.853517148,0.611298712,0.783041457,0.416410614,4.67326026,1.945995174,2.85675798,0.681190072,1.880455086,0.522839613,0.418945777,0.241313503,0.094216113,0,0
"BVR",30,2019-05-30 12:48:00,0.1,1,1,11.7453,4.606,2.182201798,1.191845886,1.83094293,300,300,15.85507298,0.075301705,0.074548349,0.154090536,0.070166463,0.06560564,0.064325954,1.424666548,0.654846221,2.280357944,0.989995501,1.136310063,1.158915561,1.062449858,2.066987902,2.196071002,2.348739154,0.934999955,1.090795535,0.315646659,0.420898031,0.153308563,0.239916946,0,0
"BVR",200,2019-05-30 13:11:00,0.1,1,1,16.121,7.5999,2.549527539,1.835629915,1.388911522,300,300,14.79465238,0.055275006,0.059720555,0.224525887,0.115047696,0.089154799,0.074168972,1.442645459,0.580060025,4.242944102,1.080426033,0.669852388,0.805195943,0.519093882,3.759608181,1.951589605,2.518382519,0.774937719,1.551156681,0.538394676,0.611722189,0.273869002,0.134463579,0,0
"BVR",50,2019-05-30 14:15:00,0.1,2,1,10.5938,3.6848,2.064069287,0.938506691,2.199312277,300,300,13.5553121,0.079582054,0.067623398,0.135595271,0.060645183,0.058708859,0.058388437,1.432455071,0.683459588,2.065714556,0.84973175,1.151843164,1.158164204,1.115066265,2.00515318,2.235878668,2.309621984,0.968071262,1.038650563,0.285323874,0.370223531,0.11068979,0.220782893,0,0
"BVR",45,2019-06-27 11:19:00,0.1,1,1,10.8241,3.9151,2.072597075,1.111982151,1.863876208,300,300,15.2892419,0.075658347,0.078057936,0.148758623,0.064180493,0.065827044,0.066027844,1.438044443,0.690554261,2.389813891,1.031716113,1.18580345,1.182197264,1.216225254,1.905746303,2.317816781,2.259840541,1.025655013,0.972021638,0.294536074,0.407499,0.179890587,0.233418987,0,0
"BVR",20,2019-06-27 11:37:00,0.1,1,1,10.3635,3.4545,2.015297317,0.925158473,2.178326606,300,300,12.3318213,0.058694291,0.063173859,0.141958529,0.063395497,0.062697672,0.060345789,1.423456787,0.705974124,2.676547122,1.076320348,1.007594982,1.046864422,0.996503898,2.247108692,2.239252571,2.264175442,0.988992518,1.050537207,0.273255122,0.39307532,0.140247126,0.205278219,0,0
"BVR",100,2019-06-27 11:51:00,0.1,1,1,13.1271,5.7575,2.294463,1.651143,1.389621,300,300,14.53618025,0.0311806,0.041037998,0.21127935,0.110353261,0.074925812,0.058747558,1.407336716,0.517801405,6.468760677,1.316138812,0.54771509,0.69854815,0.371878433,5.148383491,1.914572787,2.819847326,0.678963279,1.878431463,0.630388464,0.451208139,0.362348419,0.045766339,0,0
"BVR",1,2019-06-27 12:00:00,0.1,1,1,10.8241,3.4545,2.05694254,0.926920362,2.219114634,300,300,13.77004624,0.064064292,0.065050389,0.140857495,0.062815371,0.06225075,0.059789999,1.455755561,0.705069128,2.46919646,1.015392309,1.044973586,1.087981107,1.035580753,2.16535976,2.242404892,2.262743754,0.991011416,1.050599968,0.287998459,0.379855138,0.155410079,0.203463716,0,0
"BVR",30,2019-06-27 12:29:00,0.1,1,1,11.9756,4.3757,2.187217724,1.220096196,1.792660064,300,300,15.40578037,0.060432191,0.073897752,0.160818058,0.071835179,0.071078637,0.068844971,1.399609972,0.676263687,2.735654612,1.222821002,1.03966193,1.073393615,1.028712582,2.176223933,2.238708941,2.262537175,0.989468357,1.043433933,0.324730865,0.440767771,0.1979571,0.219283381,0,0
