Wavelength nm.,MilliQ,C50_17dec24_15R1,CC4_17dec24_BOTR1,CC3_17dec24_BOTR1,CC3_17dec24_15R1,CP2_17dec24_01R1,CS1_17dec24_01R2,CS2_17dec24_01R1,CS1_17dec24_01R1,CC2_17dec24_01R1,CC4_17dec24_01R1,CC4_17dec24_6R1,CS1_17feb25_01R1
227,0.002,0.079,0.075,0.085,0.085,0.124,0.115,0.115,0.112,0.117,0.079,0.075,0.058
228,0.002,0.077,0.073,0.083,0.083,0.122,0.114,0.113,0.11,0.115,0.077,0.073,0.057
229,0.002,0.075,0.072,0.081,0.081,0.12,0.112,0.112,0.108,0.113,0.075,0.072,0.056
230,0.002,0.073,0.07,0.08,0.079,0.118,0.11,0.11,0.106,0.111,0.073,0.07,0.055
231,0.002,0.071,0.068,0.078,0.078,0.116,0.108,0.108,0.105,0.109,0.072,0.069,0.054
232,0.002,0.07,0.067,0.076,0.076,0.115,0.106,0.106,0.103,0.108,0.07,0.067,0.053
233,0.002,0.068,0.065,0.075,0.075,0.113,0.105,0.105,0.102,0.106,0.069,0.066,0.052
234,0.002,0.067,0.064,0.074,0.073,0.111,0.103,0.103,0.1,0.105,0.067,0.064,0.051
235,0.002,0.066,0.063,0.072,0.072,0.109,0.102,0.102,0.099,0.103,0.066,0.063,0.05
236,0.002,0.064,0.062,0.071,0.07,0.108,0.1,0.1,0.097,0.101,0.065,0.062,0.049
237,0.002,0.063,0.061,0.07,0.069,0.106,0.099,0.099,0.096,0.1,0.064,0.061,0.048
238,0.002,0.062,0.06,0.069,0.068,0.105,0.097,0.097,0.094,0.099,0.063,0.06,0.048
239,0.002,0.061,0.059,0.068,0.067,0.103,0.096,0.096,0.093,0.097,0.062,0.059,0.047
240,0.002,0.06,0.058,0.067,0.066,0.102,0.095,0.095,0.092,0.096,0.061,0.058,0.047
241,0.002,0.059,0.057,0.066,0.065,0.1,0.093,0.093,0.09,0.095,0.06,0.057,0.046
242,0.002,0.059,0.056,0.065,0.064,0.099,0.092,0.092,0.089,0.094,0.059,0.057,0.045
243,0.002,0.058,0.056,0.064,0.064,0.098,0.091,0.091,0.088,0.093,0.059,0.056,0.045
244,0.002,0.057,0.055,0.064,0.063,0.097,0.09,0.09,0.087,0.091,0.058,0.055,0.044
245,0.002,0.057,0.054,0.063,0.062,0.096,0.089,0.089,0.086,0.09,0.057,0.055,0.043
246,0.002,0.056,0.054,0.062,0.061,0.094,0.087,0.088,0.085,0.089,0.056,0.054,0.043
247,0.002,0.055,0.053,0.061,0.06,0.093,0.086,0.086,0.084,0.088,0.056,0.053,0.042
248,0.001,0.055,0.052,0.061,0.06,0.092,0.085,0.086,0.083,0.087,0.055,0.053,0.042
249,0.001,0.054,0.052,0.06,0.059,0.091,0.085,0.085,0.082,0.087,0.054,0.052,0.041
250,0.001,0.053,0.051,0.06,0.059,0.09,0.084,0.084,0.081,0.086,0.054,0.052,0.041
251,0.001,0.053,0.051,0.059,0.058,0.089,0.083,0.083,0.08,0.085,0.053,0.051,0.04
252,0.001,0.053,0.051,0.058,0.058,0.088,0.082,0.082,0.08,0.084,0.053,0.051,0.04
253,0.001,0.052,0.05,0.058,0.057,0.088,0.081,0.081,0.079,0.083,0.053,0.05,0.04
254,0.001,0.051,0.049,0.057,0.057,0.087,0.08,0.081,0.078,0.083,0.052,0.05,0.039
255,0.001,0.051,0.049,0.057,0.056,0.086,0.08,0.08,0.077,0.082,0.052,0.05,0.039
256,0.001,0.051,0.049,0.057,0.056,0.085,0.079,0.079,0.077,0.081,0.051,0.049,0.038
257,0.001,0.05,0.048,0.056,0.055,0.085,0.078,0.078,0.076,0.08,0.051,0.049,0.038
258,0.001,0.05,0.048,0.056,0.055,0.084,0.078,0.078,0.075,0.08,0.05,0.048,0.037
259,0.001,0.049,0.047,0.055,0.054,0.083,0.077,0.077,0.075,0.079,0.05,0.048,0.037
260,0.001,0.049,0.047,0.054,0.054,0.082,0.076,0.077,0.074,0.078,0.049,0.047,0.037
261,0.001,0.049,0.047,0.054,0.053,0.082,0.076,0.076,0.073,0.078,0.049,0.047,0.037
262,0.001,0.048,0.046,0.054,0.053,0.081,0.075,0.075,0.073,0.077,0.049,0.047,0.036
263,0.001,0.048,0.046,0.053,0.052,0.08,0.075,0.074,0.072,0.076,0.048,0.046,0.036
264,0.001,0.047,0.045,0.053,0.052,0.079,0.074,0.074,0.071,0.076,0.047,0.045,0.035
265,0.001,0.046,0.045,0.052,0.051,0.079,0.073,0.073,0.071,0.075,0.047,0.045,0.035
266,0.001,0.046,0.044,0.051,0.05,0.078,0.072,0.072,0.07,0.074,0.046,0.044,0.035
267,0.001,0.045,0.044,0.051,0.05,0.077,0.072,0.072,0.069,0.073,0.046,0.044,0.034
268,0.001,0.045,0.043,0.05,0.049,0.076,0.071,0.071,0.068,0.072,0.045,0.043,0.034
269,0.001,0.044,0.043,0.05,0.049,0.076,0.07,0.07,0.068,0.072,0.044,0.042,0.033
270,0.001,0.043,0.042,0.049,0.048,0.075,0.07,0.069,0.067,0.071,0.044,0.042,0.033
271,0.001,0.043,0.041,0.048,0.047,0.074,0.069,0.069,0.066,0.07,0.043,0.041,0.032
272,0.001,0.042,0.04,0.047,0.047,0.073,0.068,0.068,0.066,0.069,0.042,0.041,0.032
273,0.001,0.041,0.04,0.047,0.046,0.072,0.067,0.067,0.065,0.069,0.041,0.04,0.032
274,0.001,0.041,0.039,0.046,0.045,0.072,0.067,0.067,0.064,0.068,0.041,0.039,0.032
275,0.001,0.04,0.039,0.046,0.044,0.071,0.066,0.066,0.064,0.067,0.04,0.038,0.031
276,0.001,0.039,0.038,0.045,0.044,0.07,0.065,0.065,0.063,0.067,0.04,0.038,0.031
277,0.001,0.039,0.037,0.044,0.043,0.069,0.064,0.065,0.062,0.066,0.039,0.037,0.03
278,0.001,0.038,0.037,0.043,0.042,0.069,0.064,0.064,0.061,0.065,0.038,0.036,0.03
279,0.001,0.037,0.036,0.043,0.042,0.068,0.063,0.063,0.06,0.064,0.037,0.036,0.03
280,0.001,0.036,0.035,0.042,0.041,0.067,0.062,0.062,0.06,0.063,0.037,0.035,0.029
281,0.001,0.036,0.034,0.041,0.04,0.066,0.061,0.061,0.059,0.062,0.036,0.034,0.029
282,0.001,0.035,0.034,0.04,0.039,0.066,0.061,0.061,0.058,0.062,0.035,0.034,0.028
283,0.001,0.034,0.033,0.04,0.039,0.065,0.06,0.06,0.058,0.061,0.035,0.033,0.028
284,0.001,0.034,0.032,0.039,0.038,0.064,0.059,0.059,0.057,0.06,0.034,0.032,0.027
285,0.001,0.033,0.031,0.038,0.037,0.063,0.058,0.058,0.056,0.059,0.033,0.031,0.027
286,0.001,0.032,0.031,0.038,0.037,0.062,0.058,0.058,0.055,0.059,0.033,0.031,0.027
287,0.001,0.032,0.03,0.037,0.036,0.061,0.057,0.057,0.054,0.058,0.032,0.03,0.026
288,0.001,0.031,0.029,0.036,0.035,0.06,0.056,0.056,0.054,0.057,0.031,0.029,0.026
289,0.001,0.031,0.029,0.035,0.035,0.06,0.055,0.055,0.053,0.056,0.03,0.028,0.026
290,0.001,0.03,0.028,0.035,0.034,0.059,0.054,0.055,0.052,0.055,0.03,0.028,0.025
291,0.001,0.029,0.027,0.034,0.033,0.058,0.054,0.054,0.052,0.055,0.029,0.027,0.025
292,0.001,0.029,0.027,0.033,0.033,0.057,0.053,0.053,0.051,0.054,0.028,0.027,0.024
293,0.001,0.028,0.026,0.033,0.032,0.056,0.052,0.053,0.05,0.053,0.028,0.026,0.024
294,0.001,0.027,0.026,0.032,0.031,0.055,0.052,0.052,0.049,0.052,0.027,0.025,0.024
295,0.001,0.027,0.025,0.032,0.031,0.055,0.051,0.051,0.049,0.052,0.027,0.025,0.024
296,0.001,0.026,0.025,0.031,0.03,0.054,0.05,0.05,0.048,0.051,0.026,0.024,0.023
297,0.001,0.026,0.024,0.03,0.03,0.053,0.05,0.05,0.047,0.05,0.026,0.024,0.023
298,0.001,0.025,0.024,0.03,0.029,0.053,0.049,0.049,0.047,0.05,0.025,0.023,0.022
299,0.001,0.025,0.023,0.029,0.029,0.052,0.049,0.049,0.046,0.049,0.025,0.023,0.022
300,0.001,0.024,0.023,0.029,0.028,0.052,0.048,0.048,0.046,0.049,0.024,0.023,0.022
301,0.001,0.024,0.022,0.029,0.028,0.051,0.047,0.048,0.045,0.048,0.024,0.022,0.022
302,0.001,0.023,0.022,0.028,0.027,0.05,0.047,0.047,0.045,0.047,0.023,0.022,0.021
303,0.001,0.022,0.021,0.027,0.026,0.049,0.046,0.046,0.044,0.046,0.023,0.021,0.021
304,0.001,0.022,0.021,0.027,0.026,0.049,0.045,0.046,0.043,0.046,0.022,0.02,0.02
305,0.001,0.022,0.02,0.026,0.026,0.048,0.045,0.045,0.043,0.045,0.022,0.02,0.02
306,0.001,0.021,0.02,0.026,0.025,0.048,0.044,0.044,0.042,0.045,0.021,0.02,0.02
307,0.001,0.021,0.019,0.025,0.025,0.047,0.043,0.044,0.041,0.044,0.021,0.019,0.019
308,0.001,0.02,0.019,0.025,0.024,0.046,0.043,0.043,0.041,0.043,0.021,0.019,0.019
