SIGNAL2,B,C,D
365,0.663,1.183E4,1.78431E4
366,0.661,1.069E4,1.61725E4
367,0.6633,1.069E4,1.61164E4
368,0.661,1.088E4,1.64599E4
369,0.6625,1.066E4,1.60906E4
370,0.6619,1.076E4,1.62562E4
371,0.6625,1.021E4,1.54113E4
372,0.6623,9800,1.47969E4
373,0.6617,9170,1.38582E4
374,0.6625,9500,1.43396E4
375,0.6618,8550,1.29193E4
376,0.6627,7940,1.19813E4
377,0.6634,7640,1.15164E4
378,0.6612,6930,1.04809E4
379,0.6629,6690,1.0092E4
380,0.6625,6310,9524.5283
381,0.6616,6340,9582.8295
382,0.6624,7470,1.12772E4
383,0.6607,9160,1.38641E4
384,0.6618,1.191E4,1.79964E4
385,0.6619,1.768E4,2.6711E4
386,0.6615,2.777E4,4.19803E4
387,0.6626,4.03E4,6.0821E4
388,0.6609,5.917E4,8.95294E4
389,0.6626,8.486E4,1.28071E5
390,0.6623,1.1629E5,1.75585E5
391,0.6618,1.5099E5,2.2815E5
392,0.6631,1.8832E5,2.83999E5
393,0.6623,2.2759E5,3.43636E5
394,0.6625,2.6109E5,3.94098E5
395,0.6637,2.896E5,4.36342E5
396,0.6614,3.0551E5,4.61914E5
397,0.6621,3.1607E5,4.77375E5
398,0.6627,3.0741E5,4.63875E5
399,0.6614,2.8855E5,4.36272E5
400,0.662,2.6299E5,3.97266E5
401,0.663,2.2766E5,3.43379E5
402,0.6611,1.9036E5,2.87944E5
403,0.6615,1.5372E5,2.32381E5
404,0.6635,1.1399E5,1.71801E5
405,0.6612,8.571E4,1.29628E5
406,0.6628,6.098E4,9.20036E4
407,0.6628,4.069E4,6.13911E4
408,0.6609,2.681E4,4.05659E4
409,0.6634,1.836E4,2.76756E4
410,0.6631,1.253E4,1.88961E4
411,0.6614,9110,1.37738E4
412,0.6625,7400,1.11698E4
413,0.663,5610,8461.53846
414,0.6616,4800,7255.13906
415,0.6621,4070,6147.10769
416,0.6608,3340,5054.47942
417,0.6626,2670,4029.58044
418,0.6626,2520,3803.19952
419,0.6615,2280,3446.71202
420,0.6634,2080,3135.36328
421,0.6616,1840,2781.13664
422,0.663,1660,2503.77074
423,0.6634,1640,2472.11336
424,0.6612,1380,2087.11434
425,0.6628,1650,2489.43874
426,0.6626,1650,2490.19016
427,0.6612,1520,2298.85057
428,0.6629,1570,2368.38135
429,0.662,1210,1827.79456
430,0.6626,1310,1977.06007
431,0.6616,1430,2161.42684
432,0.6617,1190,1798.39807
433,0.6627,1200,1810.77411
434,0.6617,1410,2130.87502
435,0.6624,1460,2204.10628
436,0.6627,1230,1856.04346
437,0.6616,1130,1707.98065
438,0.6639,1110,1671.93854
439,0.6624,1210,1826.69082
440,0.6619,960,1450.37015
441,0.6627,1070,1614.60691
442,0.662,1130,1706.94864
443,0.6633,960,1447.30891
444,0.6631,1270,1915.24657
445,0.6618,1140,1722.5748
446,0.6636,1020,1537.07052
447,0.6621,1220,1842.62196
448,0.6621,1160,1752.00121
449,0.6631,920,1387.42271
450,0.6611,1260,1905.91439
