Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.002	0.358	0.384	0.500	0.410	0.203	0.509	0.472	0.438	0.390	0.419	0.426	0.449	0.387
191.00	0.002	0.348	0.350	0.467	0.375	0.194	0.463	0.439	0.407	0.360	0.382	0.396	0.413	0.354
192.00	0.003	0.340	0.321	0.437	0.344	0.188	0.423	0.411	0.374	0.334	0.348	0.366	0.376	0.323
193.00	0.002	0.330	0.289	0.403	0.311	0.181	0.379	0.382	0.339	0.304	0.313	0.334	0.339	0.290
194.00	0.001	0.320	0.265	0.375	0.284	0.174	0.344	0.358	0.312	0.279	0.286	0.310	0.311	0.264
195.00	0.002	0.313	0.244	0.351	0.260	0.169	0.315	0.336	0.287	0.258	0.261	0.287	0.287	0.241
196.00	0.003	0.308	0.225	0.330	0.240	0.165	0.289	0.318	0.267	0.238	0.241	0.267	0.267	0.222
197.00	0.003	0.301	0.208	0.312	0.222	0.161	0.267	0.302	0.248	0.221	0.222	0.249	0.249	0.204
198.00	0.003	0.295	0.193	0.295	0.205	0.157	0.248	0.287	0.232	0.206	0.206	0.234	0.232	0.189
199.00	0.004	0.290	0.180	0.281	0.192	0.154	0.231	0.277	0.218	0.193	0.192	0.223	0.219	0.178
200.00	0.004	0.285	0.170	0.270	0.179	0.151	0.217	0.267	0.207	0.183	0.180	0.212	0.207	0.167
201.00	0.003	0.280	0.160	0.259	0.168	0.148	0.204	0.258	0.196	0.173	0.170	0.203	0.196	0.158
202.00	0.003	0.275	0.151	0.249	0.159	0.145	0.193	0.249	0.186	0.164	0.160	0.194	0.187	0.149
203.00	0.003	0.270	0.144	0.240	0.151	0.143	0.184	0.242	0.179	0.156	0.153	0.187	0.179	0.142
204.00	0.003	0.265	0.138	0.232	0.144	0.140	0.176	0.235	0.172	0.149	0.146	0.180	0.171	0.135
205.00	0.003	0.259	0.132	0.225	0.137	0.137	0.169	0.229	0.165	0.143	0.140	0.174	0.165	0.130
206.00	0.003	0.254	0.127	0.218	0.132	0.135	0.163	0.222	0.160	0.138	0.135	0.168	0.159	0.125
207.00	0.003	0.248	0.123	0.212	0.127	0.132	0.158	0.216	0.155	0.133	0.130	0.164	0.154	0.121
208.00	0.003	0.242	0.119	0.205	0.122	0.129	0.153	0.210	0.150	0.129	0.127	0.159	0.149	0.118
209.00	0.003	0.235	0.115	0.199	0.118	0.126	0.148	0.203	0.145	0.124	0.122	0.154	0.144	0.114
210.00	0.003	0.228	0.112	0.192	0.114	0.123	0.145	0.196	0.140	0.121	0.119	0.149	0.140	0.111
211.00	0.003	0.220	0.109	0.186	0.110	0.120	0.141	0.189	0.136	0.117	0.116	0.144	0.135	0.108
212.00	0.003	0.212	0.105	0.179	0.107	0.116	0.137	0.182	0.131	0.114	0.113	0.139	0.131	0.105
213.00	0.003	0.203	0.103	0.171	0.103	0.113	0.134	0.174	0.127	0.111	0.110	0.134	0.127	0.102
214.00	0.003	0.194	0.100	0.164	0.100	0.109	0.130	0.166	0.122	0.108	0.107	0.129	0.123	0.099
215.00	0.003	0.186	0.098	0.158	0.098	0.106	0.128	0.158	0.118	0.105	0.105	0.124	0.119	0.097
216.00	0.003	0.178	0.095	0.151	0.095	0.103	0.125	0.150	0.114	0.102	0.102	0.120	0.115	0.095
217.00	0.003	0.169	0.093	0.144	0.092	0.099	0.122	0.143	0.110	0.100	0.100	0.115	0.111	0.092
218.00	0.003	0.161	0.091	0.138	0.090	0.096	0.119	0.136	0.106	0.097	0.098	0.111	0.108	0.090
219.00	0.003	0.154	0.089	0.132	0.088	0.093	0.117	0.129	0.103	0.095	0.096	0.107	0.105	0.088
220.00	0.003	0.146	0.087	0.126	0.086	0.090	0.114	0.122	0.099	0.093	0.094	0.103	0.102	0.086
221.00	0.003	0.139	0.086	0.121	0.084	0.087	0.112	0.116	0.096	0.091	0.092	0.099	0.099	0.085
222.00	0.003	0.132	0.084	0.116	0.082	0.085	0.109	0.110	0.093	0.089	0.091	0.095	0.096	0.083
223.00	0.003	0.126	0.082	0.111	0.081	0.082	0.107	0.105	0.091	0.088	0.089	0.092	0.093	0.082
224.00	0.002	0.120	0.080	0.106	0.079	0.080	0.105	0.099	0.087	0.086	0.087	0.089	0.091	0.080
225.00	0.003	0.115	0.079	0.101	0.077	0.077	0.103	0.094	0.085	0.084	0.086	0.086	0.089	0.078
226.00	0.003	0.109	0.077	0.097	0.076	0.075	0.100	0.090	0.083	0.082	0.084	0.083	0.086	0.077
227.00	0.003	0.105	0.076	0.094	0.074	0.073	0.098	0.086	0.080	0.081	0.083	0.080	0.084	0.076
228.00	0.003	0.101	0.075	0.090	0.073	0.072	0.096	0.083	0.078	0.080	0.081	0.078	0.082	0.074
229.00	0.003	0.097	0.073	0.087	0.071	0.070	0.094	0.079	0.076	0.078	0.080	0.076	0.080	0.073
230.00	0.003	0.093	0.072	0.084	0.070	0.068	0.092	0.076	0.074	0.077	0.078	0.074	0.078	0.071
231.00	0.002	0.090	0.071	0.081	0.069	0.067	0.090	0.073	0.072	0.075	0.077	0.072	0.076	0.070
