SIGNAL1,B,C,D,,,,,,,
365,1.19E+04,1.91E+04,18967.95,,,,,,,
366,1.06E+04,1.70E+04,17877.9,,,,,,,
367,1.08E+04,1.73E+04,17028,,,,,,,
368,1.15E+04,1.84E+04,16178.1,,,,,,,
369,1.02E+04,1.64E+04,16030.85,,,,,,,
370,1.04E+04,1.66E+04,15883.6,,,,,,,
371,1.04E+04,1.66E+04,15636.55,,,,,,,
372,1.02E+04,1.63E+04,15389.5,,,,,,,
373,9670,1.55E+04,15073.7,,,,,,,
374,9130,1.46E+04,14757.9,,,,,,,
375,8530,1.37E+04,13777.75,,,,,,,
376,7970,1.28E+04,12797.6,,,,,,,
377,7870,1.26E+04,12595.55,,,,,,,
378,7940,1.27E+04,12393.5,,,,,,,
379,7420,1.19E+04,11930.25,,,,,,,
380,6830,1.09E+04,11467,,,,,,,
381,7240,1.16E+04,12165.6,,,,,,,
382,7910,1.27E+04,12864.2,,,,,,,
383,9360,1.50E+04,16535.7,,,,,,,
384,1.23E+04,1.97E+04,20207.2,,,,,,,
385,1.70E+04,2.73E+04,31534.7,,,,,,,
386,2.65E+04,4.24E+04,42862.2,,,,,,,
387,3.89E+04,6.24E+04,66256.45,,,,,,,
388,5.72E+04,9.17E+04,89650.7,,,,,,,
389,8.28E+04,1.33E+05,131279.85,,,,,,,
390,1.11E+05,1.77E+05,172909,,,,,,,
391,1.43E+05,2.30E+05,228287.5,,,,,,,
392,1.81E+05,2.90E+05,283666,,,,,,,
393,2.14E+05,3.44E+05,338251,,,,,,,
394,2.46E+05,3.95E+05,392836,,,,,,,
395,2.74E+05,4.40E+05,429532,,,,,,,
396,2.90E+05,4.64E+05,466228,,,,,,,
397,2.95E+05,4.73E+05,463811,,,,,,,
398,2.92E+05,4.67E+05,461394,,,,,,,
399,2.78E+05,4.45E+05,430963,,,,,,,
400,2.53E+05,4.05E+05,400532,,,,,,,
401,2.17E+05,3.47E+05,345908.5,,,,,,,
402,1.84E+05,2.95E+05,291285,,,,,,,
403,1.48E+05,2.38E+05,235054.5,,,,,,,
404,1.14E+05,1.82E+05,178824,,,,,,,
405,8.47E+04,1.36E+05,137181.35,,,,,,,
406,6.12E+04,9.81E+04,95538.7,,,,,,,
407,4.11E+04,6.59E+04,70586.4,,,,,,,
408,2.85E+04,4.56E+04,45634.1,,,,,,,
409,1.97E+04,3.15E+04,34902.75,,,,,,,
410,1.45E+04,2.32E+04,24171.4,,,,,,,
411,1.13E+04,1.81E+04,19387.4,,,,,,,
412,9340,1.50E+04,14603.4,,,,,,,
413,8240,1.32E+04,12841.25,,,,,,,
414,7480,1.20E+04,11079.1,,,,,,,
415,6290,1.01E+04,10337.58616,,,,,,,
416,6590,1.06E+04,9596.07231,,,,,,,
417,5320,8525.64103,9161.956825,,,,,,,
418,5090,8157.05128,8727.84134,,,,,,,
419,5000,8010.25312,8030.1357,,,,,,,
420,4810,7707.09822,7332.43006,,,,,,,
421,4510,7226.40602,7179.319465,,,,,,,
422,4680,7503.6075,7026.20887,,,,,,,
423,5220,8362.70426,6743.64541,,,,,,,
424,4340,6952.89971,6461.08195,,,,,,,
425,4350,6968.92022,6479.000345,,,,,,,
426,4270,6844.04552,6496.91874,,,,,,,
427,4260,6824.73566,6769.47393,,,,,,,
428,4060,6505.36773,7042.02912,,,,,,,
429,3750,6015.39942,6958.454745,,,,,,,
430,4410,7068.44046,6874.88037,,,,,,,
431,3980,6375.14016,6929.70617,,,,,,,
432,4300,6888.81769,6984.53197,,,,,,,
433,4080,6538.46154,6797.51137,,,,,,,
434,4080,6539.50954,6610.49077,,,,,,,
435,4300,6888.81769,6427.05986,,,,,,,
436,4040,6475.3967,6243.62895,,,,,,,
437,4080,6535.31956,6163.31261,,,,,,,
438,3860,6185.89744,6082.99627,,,,,,,
439,4260,6824.73566,6354.022025,,,,,,,
440,4090,6553.43695,6625.04778,,,,,,,
441,4080,6539.50954,6532.057855,,,,,,,
442,3800,6083.89369,6439.06793,,,,,,,
443,3840,6152.86012,6442.824425,,,,,,,
444,4130,6623.89735,6446.58092,,,,,,,
445,3530,5654.33285,5913.25958,,,,,,,
446,3640,5832.39865,5379.93824,,,,,,,
447,3650,5848.42173,5382.852895,,,,,,,
448,3770,6035.86295,5385.76755,,,,,,,
449,3800,6083.89369,5720.386245,,,,,,,
450,3510,5618.69697,6055.00494,,,,,,,
