SIGNAL1,B,C
270,484,4.9784E4
272,252,2.58929E4
274,208,2.13886E4
276,228,2.34481E4
278,272,2.7972E4
280,244,2.50915E4
282,340,3.49578E4
284,264,2.71404E4
286,292,3.0009E4
288,312,3.20631E4
290,396,4.06955E4
292,396,4.07039E4
294,360,3.70157E4
296,492,5.05486E4
298,472,4.84918E4
300,540,5.54688E4
302,548,5.63114E4
304,560,5.75729E4
306,664,6.82369E4
308,636,6.53622E4
310,676,6.94502E4
312,656,6.74398E4
314,736,7.56703E4
316,752,7.72963E4
318,768,7.89019E4
320,632,6.49724E4
322,708,7.27198E4
324,672,6.90052E4
326,652,6.69432E4
328,788,8.097E4
330,640,6.57624E4
332,760,7.80993E4
334,664,6.82285E4
336,704,7.23E4
338,588,6.04043E4
340,732,7.51972E4
342,556,5.71405E4
344,680,6.99358E4
346,572,5.88526E4
348,616,6.33693E4
350,696,7.15519E4
352,704,7.24012E4
354,620,6.37257E4
356,572,5.87728E4
358,648,6.65927E4
360,700,7.19336E4
362,604,6.20939E4
364,552,5.67528E4
366,532,5.47393E4
368,696,7.15696E4
370,612,6.28983E4
372,604,6.20939E4
374,588,6.04714E4
376,632,6.49912E4
378,580,5.96266E4
380,624,6.4187E4
382,576,5.92495E4
384,596,6.13421E4
386,608,6.25386E4
388,600,6.1764E4
390,564,5.80008E4
392,652,6.70699E4
394,532,5.46987E4
396,568,5.84555E4
398,688,7.08023E4
400,672,6.91017E4
402,636,6.5346E4
404,792,8.14145E4
406,644,6.61898E4
408,780,8.02304E4
410,600,6.17055E4
412,696,7.15166E4
414,708,7.27676E4
416,648,6.65626E4
418,648,6.66228E4
420,764,7.8462E4
422,628,6.45108E4
424,732,7.51355E4
426,720,7.39645E4
428,556,5.7164E4
430,640,6.58951E4
