Wavelength nm.,MilliQ,CC5_22may24_9r2,CC4_19jun24_01r1,CC5_22may24_01r1,CC2_19jun24_01r2,CC3_11jul24_15r1,CC4_19jun24_BOTr2,CC5_22may24_13r1,CC5_22may24_6r2,CC5_22may24_15r2,CS2_11jul24_01r2,CC4_19jun24_9r2,CC3_11jul24_BOTr1,CC2_11jul24_BOTr1,CC4_19jun24_6r1
408,0,0.005,0.004,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.007,0.005,0.003,0.009,0.003
409,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.007,0.005,0.003,0.009,0.003
410,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.007,0.005,0.003,0.009,0.003
411,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.007,0.005,0.003,0.009,0.003
412,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.007,0.005,0.003,0.009,0.003
413,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.005,0.003,0.009,0.003
414,0,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.005,0.003,0.009,0.003
415,0,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.005,0.003,0.009,0.003
416,0,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.005,0.003,0.009,0.003
417,0,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
418,0,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
419,0,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
420,0,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
421,0,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
422,0,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
423,0,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.004,0.003,0.009,0.003
424,0,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.006,0.004,0.002,0.009,0.002
425,0,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.006,0.004,0.002,0.009,0.003
426,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.005,0.004,0.002,0.008,0.002
427,0,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.005,0.004,0.002,0.008,0.002
428,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.005,0.004,0.002,0.008,0.002
429,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
430,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
431,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
432,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
433,0,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
434,0,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
435,0,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
436,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
437,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
438,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
439,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.005,0.004,0.002,0.008,0.002
440,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.008,0.002
441,-0.001,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.008,0.002
442,0,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.008,0.002
443,0,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.008,0.002
444,0,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.008,0.002
445,0,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.002
446,0,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.002
447,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.001
448,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
449,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.002
450,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.002
451,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.002
452,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.001
453,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
454,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
455,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.003,0.002,0.007,0.001
456,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
457,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
458,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.002,0.007,0.001
459,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.001,0.007,0.001
460,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
461,0,0.003,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
462,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.001,0.007,0.001
463,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.003,0.001,0.007,0.001
464,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.004,0.003,0.002,0.007,0.001
465,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
466,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
467,0,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
468,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
469,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
470,0,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
471,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
472,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
473,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.003,0.001,0.007,0.001
474,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.007,0.001
475,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.001,0.007,0.001
476,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.007,0.001
477,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.007,0.001
478,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.007,0.001
479,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.007,0.001
480,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
481,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
482,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
483,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
484,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
485,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
486,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
487,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
488,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
489,-0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
490,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
491,0,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
492,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
493,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
494,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
495,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
496,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
497,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
498,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
499,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
500,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
501,0,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.001,0.006,0.001
502,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
503,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
504,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
505,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
506,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
507,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
508,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
509,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
510,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
511,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
512,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
513,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
514,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
515,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
516,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
517,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
518,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
519,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
520,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
521,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
522,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
523,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
524,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
525,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
526,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
527,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
528,0,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
529,0,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0.001
530,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0.001
531,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
532,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
533,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0.001
534,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0.001
535,0,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
536,0.001,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.003,0.002,0.006,0.002
537,0,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.006,0.001
538,0,0.002,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0.001
539,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
540,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
541,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
542,0,0.002,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
543,0,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
544,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
545,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
546,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
547,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
548,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
549,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
550,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
551,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
552,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
553,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
554,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
555,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
556,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
557,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
558,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
559,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
560,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
561,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
562,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
563,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
564,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
565,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
566,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
567,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
568,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
569,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
570,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
571,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
572,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
573,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
574,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
575,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
576,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
577,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
578,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
579,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
580,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
581,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
582,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
583,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
584,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
585,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
586,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
587,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
588,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.002,0.002,0.001,0.005,0
589,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
590,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
591,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
592,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
593,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
594,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
595,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
596,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
597,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
598,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
599,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
600,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.004,0
601,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.004,0
602,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
603,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.005,0
604,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.004,0
605,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
606,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.004,0
607,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
608,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
609,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
610,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
611,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
612,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
613,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
614,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
615,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
616,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
617,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
618,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
619,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.004,0
620,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
621,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
622,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
623,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
624,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
625,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
626,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
627,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
628,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.004,0
629,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.004,0
630,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.004,0
631,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
632,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
633,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0.001,0.004,0
634,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.004,0
635,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0.004,0
636,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0.004,0
637,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
638,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
639,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
640,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
641,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
642,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
643,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
644,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0.001,0,0.004,0
645,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0.004,0
646,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0.004,0
647,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0,0.004,0
648,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
649,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.004,0
