Wavelength nm.,MilliQ,CC5_22may24_9r2,CC4_19jun24_01r1,CC5_22may24_01r1,CC2_19jun24_01r2,CC3_11jul24_15r1,CC4_19jun24_BOTr2,CC5_22may24_13r1,CC5_22may24_6r2,CC5_22may24_15r2,CS2_11jul24_01r2,CC4_19jun24_9r2,CC3_11jul24_BOTr1,CC2_11jul24_BOTr1,CC4_19jun24_6r1
262,0,0.052,0.046,0.055,0.048,0.044,0.047,0.045,0.05,0.049,0.06,0.049,0.045,0.052,0.048
263,0,0.051,0.046,0.055,0.047,0.044,0.047,0.045,0.05,0.048,0.059,0.048,0.045,0.052,0.047
264,0,0.051,0.045,0.054,0.047,0.043,0.046,0.044,0.049,0.047,0.059,0.048,0.044,0.051,0.046
265,0,0.05,0.044,0.053,0.046,0.042,0.046,0.044,0.049,0.046,0.058,0.047,0.043,0.051,0.046
266,0,0.05,0.044,0.053,0.046,0.042,0.045,0.043,0.048,0.046,0.058,0.047,0.043,0.05,0.045
267,0,0.049,0.043,0.052,0.045,0.041,0.045,0.043,0.047,0.046,0.057,0.046,0.042,0.049,0.045
268,0,0.049,0.043,0.052,0.045,0.041,0.044,0.042,0.047,0.045,0.057,0.045,0.041,0.049,0.044
269,0,0.048,0.042,0.051,0.044,0.04,0.043,0.042,0.046,0.044,0.056,0.045,0.041,0.048,0.044
270,0,0.048,0.042,0.051,0.044,0.039,0.043,0.041,0.046,0.044,0.056,0.045,0.04,0.048,0.043
271,0,0.047,0.041,0.05,0.043,0.039,0.042,0.041,0.045,0.043,0.055,0.044,0.04,0.047,0.043
272,0,0.046,0.04,0.049,0.042,0.038,0.042,0.04,0.044,0.042,0.055,0.043,0.039,0.046,0.042
273,0,0.046,0.039,0.049,0.041,0.038,0.041,0.04,0.044,0.042,0.054,0.043,0.038,0.046,0.041
274,0,0.045,0.039,0.048,0.041,0.037,0.041,0.039,0.043,0.041,0.054,0.042,0.038,0.045,0.041
275,0,0.045,0.038,0.047,0.04,0.036,0.04,0.038,0.042,0.04,0.053,0.042,0.037,0.044,0.04
276,0,0.044,0.037,0.046,0.039,0.036,0.039,0.038,0.041,0.039,0.052,0.041,0.036,0.043,0.039
277,0,0.043,0.036,0.046,0.039,0.035,0.039,0.037,0.041,0.039,0.052,0.04,0.035,0.043,0.039
278,0,0.043,0.036,0.045,0.038,0.034,0.038,0.036,0.04,0.038,0.051,0.04,0.035,0.042,0.038
279,0,0.042,0.035,0.044,0.037,0.033,0.037,0.036,0.039,0.037,0.05,0.039,0.034,0.041,0.037
280,0,0.041,0.034,0.043,0.036,0.033,0.036,0.035,0.039,0.036,0.05,0.038,0.033,0.041,0.036
281,0,0.041,0.033,0.042,0.036,0.032,0.036,0.035,0.038,0.036,0.049,0.038,0.032,0.04,0.036
282,0,0.04,0.033,0.042,0.035,0.031,0.035,0.034,0.037,0.035,0.049,0.037,0.032,0.039,0.035
283,0,0.039,0.032,0.041,0.034,0.03,0.034,0.033,0.036,0.034,0.048,0.036,0.031,0.038,0.034
284,0,0.039,0.031,0.04,0.033,0.029,0.034,0.032,0.036,0.033,0.047,0.035,0.03,0.037,0.034
285,0,0.038,0.03,0.039,0.032,0.029,0.033,0.032,0.035,0.033,0.046,0.035,0.029,0.037,0.033
286,0,0.037,0.029,0.038,0.032,0.028,0.033,0.032,0.034,0.032,0.046,0.034,0.029,0.036,0.032
287,0,0.036,0.029,0.037,0.031,0.028,0.032,0.031,0.034,0.031,0.045,0.034,0.028,0.035,0.032
288,0,0.035,0.028,0.036,0.03,0.027,0.031,0.03,0.033,0.03,0.044,0.033,0.027,0.034,0.031
289,0,0.035,0.027,0.035,0.03,0.026,0.03,0.03,0.032,0.03,0.044,0.032,0.027,0.034,0.03
290,0,0.034,0.027,0.034,0.029,0.025,0.03,0.029,0.031,0.029,0.043,0.032,0.026,0.033,0.03
291,0,0.034,0.026,0.033,0.028,0.025,0.029,0.029,0.031,0.028,0.042,0.031,0.025,0.033,0.029
292,0,0.033,0.025,0.032,0.028,0.024,0.029,0.028,0.03,0.028,0.042,0.03,0.025,0.032,0.028
293,0,0.032,0.025,0.031,0.027,0.024,0.028,0.027,0.029,0.027,0.041,0.03,0.024,0.031,0.027
294,0,0.032,0.024,0.031,0.026,0.023,0.027,0.027,0.028,0.026,0.04,0.029,0.023,0.031,0.027
295,0,0.031,0.024,0.03,0.026,0.023,0.027,0.026,0.028,0.026,0.04,0.028,0.023,0.03,0.026
296,0,0.03,0.023,0.029,0.025,0.022,0.026,0.025,0.027,0.025,0.039,0.028,0.022,0.029,0.026
297,0,0.03,0.023,0.028,0.024,0.021,0.026,0.025,0.027,0.025,0.038,0.027,0.022,0.029,0.025
298,0,0.029,0.022,0.027,0.024,0.021,0.025,0.024,0.026,0.024,0.038,0.027,0.021,0.028,0.025
299,0,0.029,0.021,0.027,0.023,0.02,0.024,0.024,0.025,0.023,0.037,0.026,0.021,0.028,0.024
300,0,0.028,0.021,0.026,0.023,0.02,0.024,0.023,0.025,0.023,0.036,0.026,0.021,0.027,0.024
301,0,0.028,0.021,0.026,0.022,0.019,0.023,0.023,0.025,0.023,0.036,0.025,0.02,0.027,0.023
302,0,0.027,0.02,0.025,0.022,0.019,0.023,0.023,0.024,0.022,0.035,0.025,0.02,0.026,0.023
303,0,0.026,0.02,0.024,0.021,0.018,0.022,0.022,0.024,0.021,0.035,0.024,0.019,0.026,0.022
304,0,0.026,0.019,0.024,0.021,0.018,0.022,0.022,0.023,0.021,0.034,0.024,0.019,0.025,0.022
305,0,0.026,0.019,0.023,0.02,0.018,0.022,0.021,0.022,0.021,0.034,0.023,0.018,0.025,0.022
306,0,0.025,0.018,0.022,0.02,0.017,0.021,0.021,0.022,0.02,0.033,0.023,0.018,0.025,0.021
307,0,0.024,0.018,0.022,0.019,0.017,0.021,0.02,0.022,0.02,0.032,0.022,0.018,0.024,0.021
308,0,0.024,0.018,0.022,0.019,0.016,0.02,0.02,0.021,0.02,0.032,0.022,0.017,0.024,0.02
309,0,0.023,0.017,0.021,0.019,0.016,0.02,0.02,0.021,0.019,0.031,0.022,0.017,0.024,0.02
310,0,0.023,0.017,0.021,0.018,0.016,0.019,0.019,0.02,0.018,0.03,0.021,0.016,0.023,0.019
311,0,0.022,0.017,0.02,0.018,0.015,0.019,0.019,0.02,0.018,0.03,0.021,0.016,0.023,0.019
312,0,0.022,0.016,0.02,0.018,0.015,0.018,0.019,0.02,0.018,0.03,0.021,0.016,0.023,0.019
