Reservoir,Site,Site_EEM,DateTime,Depth_m,Temp_C,DO_mgL,DOSat_persat,SpCond_uScm,Notes
CCR,100 cove B,1,6/30/2023 13:20,9,12.4,3.42,31,83.5,HPB Cove B (cond measured via bucket from van dorn)
CCR,50,50,6/30/2023 13:45,0.1,25.4,8.91,106,,
CCR,50,50,6/30/2023 13:45,1,25.1,9,106.6,,
CCR,50,50,6/30/2023 13:45,2,24.7,9.12,107.2,,
CCR,50,50,6/30/2023 13:45,3,24.3,9.3,108.1,,
CCR,50,50,6/30/2023 13:45,4,23.9,9.37,109,,
CCR,50,50,6/30/2023 13:45,5,22.8,9.58,109.3,,
CCR,50,50,6/30/2023 13:45,6,20.4,9.38,102.1,,
CCR,50,50,6/30/2023 13:45,7,17,8.15,83.3,,
CCR,50,50,6/30/2023 13:45,8,13.5,5.84,54.7,,
CCR,50,50,6/30/2023 13:45,9,12.7,5.02,46.2,,
CCR,50,50,6/30/2023 13:45,10,12.1,4.58,41.6,,
CCR,50,50,6/30/2023 13:45,15,11.7,4.23,38.3,,
CCR,50,50,6/30/2023 13:45,19,11.5,3.53,32,,
