Wavelength nm.,MilliQ,CC2_16apr25_BOTR1,C50_16apr25_9R1,C50_16apr25_15R1,CC4_16apr25_15R1,CC4_16apr25_01R1,C50_16apr25_01R1,CC2_16apr25_BOTR2,CC4_16apr25_9R1,CC4_16apr25_6R1,CC4_16apr25_BOTR1
274,0,0.048,0.046,0.047,0.044,0.046,0.048,0.046,0.044,0.045,0.046
275,0,0.047,0.045,0.046,0.043,0.045,0.047,0.045,0.043,0.045,0.045
276,0,0.046,0.045,0.045,0.042,0.044,0.046,0.044,0.042,0.044,0.044
277,0,0.045,0.044,0.044,0.042,0.043,0.046,0.043,0.041,0.043,0.044
278,0,0.045,0.043,0.044,0.041,0.042,0.045,0.043,0.041,0.042,0.043
279,0,0.044,0.042,0.043,0.04,0.042,0.044,0.042,0.04,0.042,0.042
280,0,0.043,0.042,0.042,0.04,0.041,0.043,0.041,0.039,0.041,0.041
281,0,0.042,0.041,0.041,0.039,0.04,0.042,0.04,0.038,0.04,0.041
282,0,0.042,0.04,0.041,0.038,0.039,0.042,0.039,0.038,0.039,0.04
283,0,0.041,0.04,0.04,0.037,0.039,0.041,0.039,0.037,0.039,0.039
284,0,0.04,0.039,0.039,0.036,0.038,0.04,0.038,0.036,0.038,0.038
285,0,0.039,0.038,0.038,0.036,0.037,0.039,0.037,0.036,0.037,0.038
286,0,0.038,0.037,0.037,0.035,0.036,0.039,0.036,0.035,0.036,0.037
287,0,0.037,0.036,0.036,0.034,0.035,0.038,0.035,0.034,0.035,0.036
288,0,0.037,0.036,0.036,0.033,0.035,0.037,0.035,0.033,0.035,0.035
289,0,0.036,0.035,0.035,0.033,0.034,0.036,0.034,0.033,0.034,0.035
290,0,0.035,0.034,0.034,0.032,0.033,0.035,0.033,0.032,0.033,0.034
291,0,0.034,0.033,0.033,0.031,0.032,0.034,0.033,0.031,0.032,0.033
292,0,0.034,0.033,0.032,0.031,0.032,0.034,0.032,0.031,0.032,0.032
293,0,0.033,0.032,0.032,0.03,0.031,0.033,0.031,0.03,0.031,0.032
294,0,0.032,0.031,0.031,0.029,0.03,0.032,0.03,0.029,0.03,0.031
295,0,0.031,0.031,0.03,0.028,0.029,0.032,0.03,0.029,0.03,0.03
296,0,0.031,0.03,0.029,0.028,0.029,0.031,0.029,0.028,0.029,0.03
297,0,0.03,0.029,0.029,0.027,0.028,0.03,0.029,0.027,0.028,0.029
298,0,0.03,0.029,0.028,0.027,0.028,0.03,0.028,0.027,0.028,0.029
299,0,0.029,0.028,0.027,0.026,0.027,0.029,0.027,0.026,0.027,0.028
300,0,0.028,0.027,0.027,0.026,0.026,0.028,0.027,0.026,0.027,0.027
301,0,0.028,0.027,0.026,0.025,0.026,0.028,0.026,0.025,0.026,0.027
302,0,0.027,0.026,0.025,0.025,0.025,0.027,0.026,0.025,0.026,0.026
303,0,0.027,0.026,0.025,0.024,0.025,0.026,0.025,0.024,0.025,0.026
304,0,0.026,0.025,0.024,0.023,0.024,0.026,0.024,0.024,0.024,0.025
305,0,0.025,0.025,0.023,0.023,0.024,0.026,0.024,0.023,0.024,0.024
306,0,0.025,0.024,0.023,0.022,0.023,0.025,0.023,0.023,0.023,0.024
307,0,0.025,0.024,0.023,0.022,0.023,0.025,0.023,0.022,0.023,0.023
308,0,0.024,0.023,0.022,0.021,0.022,0.024,0.022,0.022,0.022,0.023
309,0,0.023,0.023,0.021,0.021,0.022,0.023,0.022,0.021,0.022,0.022
310,0,0.023,0.022,0.021,0.02,0.021,0.023,0.022,0.021,0.021,0.022
311,0,0.022,0.022,0.021,0.02,0.021,0.023,0.021,0.021,0.021,0.021
312,0,0.022,0.021,0.02,0.02,0.02,0.022,0.021,0.02,0.021,0.021
313,0,0.021,0.021,0.02,0.02,0.02,0.022,0.021,0.02,0.021,0.021
314,0,0.021,0.021,0.02,0.019,0.02,0.021,0.02,0.02,0.02,0.021
315,0,0.021,0.02,0.019,0.019,0.019,0.021,0.02,0.019,0.02,0.02
316,0,0.02,0.02,0.018,0.018,0.019,0.02,0.019,0.019,0.019,0.019
317,0,0.02,0.019,0.018,0.018,0.018,0.02,0.019,0.018,0.019,0.019
318,0,0.019,0.019,0.018,0.018,0.018,0.02,0.018,0.018,0.018,0.019
319,0,0.019,0.019,0.017,0.017,0.018,0.019,0.018,0.018,0.018,0.019
320,0,0.019,0.019,0.017,0.017,0.017,0.019,0.018,0.018,0.018,0.018
321,0,0.019,0.018,0.017,0.017,0.017,0.019,0.018,0.017,0.018,0.018
322,0,0.018,0.018,0.017,0.016,0.017,0.018,0.017,0.017,0.018,0.018
323,0,0.018,0.017,0.016,0.016,0.017,0.018,0.017,0.016,0.017,0.017
324,0,0.018,0.017,0.016,0.016,0.017,0.018,0.017,0.016,0.017,0.017
325,0,0.018,0.017,0.016,0.016,0.016,0.018,0.017,0.016,0.016,0.017
326,0,0.017,0.017,0.015,0.015,0.016,0.017,0.016,0.016,0.016,0.017
327,0,0.017,0.016,0.015,0.015,0.015,0.016,0.016,0.015,0.016,0.016
328,0,0.016,0.016,0.015,0.015,0.015,0.016,0.015,0.015,0.015,0.016
329,0,0.016,0.016,0.014,0.014,0.015,0.016,0.015,0.015,0.015,0.015
330,0,0.016,0.015,0.014,0.014,0.014,0.016,0.015,0.014,0.015,0.015
331,0,0.015,0.015,0.014,0.014,0.014,0.016,0.015,0.014,0.015,0.015
332,0,0.015,0.015,0.013,0.013,0.014,0.015,0.014,0.014,0.014,0.014
333,0,0.015,0.015,0.013,0.013,0.014,0.015,0.014,0.014,0.014,0.014
334,0,0.015,0.014,0.013,0.013,0.013,0.015,0.014,0.013,0.014,0.014
335,0,0.014,0.014,0.013,0.013,0.013,0.014,0.014,0.013,0.013,0.014
336,0,0.014,0.014,0.012,0.012,0.013,0.014,0.013,0.013,0.013,0.013
337,0,0.014,0.013,0.012,0.012,0.012,0.014,0.013,0.013,0.013,0.013
338,0,0.014,0.013,0.012,0.012,0.012,0.014,0.013,0.013,0.013,0.013
339,0,0.013,0.013,0.012,0.012,0.012,0.014,0.013,0.012,0.013,0.013
340,0.001,0.014,0.014,0.013,0.013,0.014,0.015,0.014,0.014,0.014,0.014
341,0,0.013,0.013,0.012,0.012,0.012,0.013,0.013,0.012,0.012,0.012
342,0,0.013,0.012,0.011,0.011,0.012,0.013,0.012,0.011,0.012,0.012
343,-0.001,0.012,0.012,0.011,0.011,0.011,0.012,0.012,0.011,0.011,0.012
344,0,0.012,0.012,0.011,0.011,0.011,0.012,0.011,0.011,0.011,0.011
345,0,0.012,0.012,0.01,0.01,0.011,0.012,0.011,0.011,0.011,0.011
346,0,0.012,0.011,0.01,0.01,0.011,0.012,0.011,0.01,0.011,0.011
347,0,0.012,0.011,0.01,0.01,0.01,0.012,0.011,0.011,0.011,0.011
348,0,0.011,0.011,0.01,0.01,0.01,0.011,0.01,0.01,0.01,0.011
349,0,0.011,0.011,0.01,0.01,0.01,0.011,0.01,0.01,0.01,0.01
350,0,0.011,0.011,0.01,0.01,0.01,0.011,0.01,0.01,0.011,0.011
351,0,0.01,0.01,0.009,0.009,0.009,0.011,0.01,0.01,0.01,0.01
352,0,0.01,0.01,0.009,0.009,0.009,0.011,0.01,0.009,0.01,0.01
353,0,0.01,0.01,0.009,0.009,0.009,0.011,0.01,0.01,0.01,0.01
354,0,0.01,0.01,0.009,0.009,0.009,0.01,0.009,0.009,0.009,0.009
355,0,0.01,0.01,0.009,0.008,0.009,0.01,0.009,0.009,0.009,0.009
356,0,0.01,0.009,0.008,0.008,0.009,0.01,0.009,0.009,0.009,0.009
357,0,0.009,0.009,0.008,0.008,0.009,0.01,0.009,0.009,0.009,0.009
358,0,0.009,0.009,0.008,0.008,0.008,0.01,0.009,0.009,0.009,0.009
359,0,0.009,0.009,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009
360,0,0.009,0.009,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.009
361,0,0.009,0.009,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.008
362,0,0.009,0.008,0.007,0.008,0.007,0.009,0.008,0.008,0.008,0.008
363,0,0.008,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008
364,0,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008
365,0,0.008,0.008,0.007,0.007,0.007,0.009,0.008,0.007,0.008,0.008
366,0,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.008
367,0,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.007,0.007,0.008
368,0,0.008,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007
369,0,0.007,0.007,0.006,0.007,0.007,0.008,0.007,0.007,0.007,0.007
370,0,0.007,0.007,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007
371,0,0.007,0.007,0.006,0.006,0.007,0.008,0.007,0.007,0.007,0.007
372,0,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.007,0.007,0.007
373,0,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.007,0.007
374,0,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006
375,0,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006
376,0,0.007,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006
