Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
385,0,0.006,0.01,0.003,0.004,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.006,0.005,0.003,0.003
386,0,0.006,0.01,0.003,0.004,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.006,0.005,0.003,0.003
387,0,0.006,0.009,0.003,0.004,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.005,0.005,0.003,0.003
388,0,0.006,0.009,0.003,0.004,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.005,0.005,0.003,0.003
389,0,0.006,0.009,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.005,0.003,0.003
390,0,0.006,0.009,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.005,0.003,0.003
391,0,0.006,0.009,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0.002,0.003
392,0,0.005,0.009,0.002,0.004,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0.002,0.003
393,0,0.005,0.009,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0.002,0.003
394,0,0.005,0.009,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0.002,0.003
395,0,0.005,0.009,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.005,0.004,0.002,0.002
396,0,0.005,0.008,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.004,0.004,0.002,0.003
397,0,0.005,0.008,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.002,0.003
398,0,0.005,0.008,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.004,0.002,0.002
399,0,0.005,0.008,0.002,0.003,0.002,0.002,0,0.001,0.001,0.001,0.001,0.004,0.004,0.002,0.002
400,0,0.005,0.008,0.002,0.003,0.002,0.002,0,0.001,0.001,0.001,0.001,0.004,0.004,0.002,0.002
401,0,0.005,0.008,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.003,0.002,0.002
402,0,0.005,0.008,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.004,0.003,0.002,0.002
403,0,0.005,0.008,0.002,0.003,0.001,0.001,0,0.001,0.001,0.001,0.001,0.004,0.003,0.002,0.002
404,0,0.005,0.008,0.002,0.003,0.001,0.001,0,0.001,0.001,0.001,0.001,0.004,0.003,0.001,0.002
405,0,0.005,0.008,0.002,0.003,0.001,0.001,0,0.001,0.001,0.001,0.001,0.004,0.003,0.001,0.002
406,0,0.005,0.008,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0.001,0.004,0.003,0.001,0.002
407,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0.001,0,0.004,0.003,0.001,0.002
408,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.004,0.003,0.001,0.002
409,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0,0.001,0,0,0.003,0.003,0.001,0.002
410,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.003,0.003,0.001,0.002
411,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0,0.001,0,0,0.003,0.003,0.001,0.002
412,0,0.004,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.003,0.003,0.001,0.002
413,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.003,0.003,0.001,0.002
414,0,0.005,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.003,0.003,0.001,0.002
415,0,0.004,0.007,0.001,0.003,0.001,0.001,0,0,0.001,0,0,0.003,0.002,0.001,0.001
416,0,0.004,0.007,0.002,0.003,0.001,0.001,0,0.001,0.001,0,0,0.003,0.002,0.001,0.002
417,0,0.004,0.007,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0.001,0.001
418,0,0.004,0.007,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0.001,0.001
419,0,0.004,0.007,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0.001,0.001
420,0,0.004,0.007,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0.001,0.001
421,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0.001,0.001
422,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0,0.001
423,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.003,0.002,0,0.001
424,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.002,0.002,0,0.001
425,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.002,0.002,0,0.001
426,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.002,0.002,0,0.001
427,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.002,0.002,0,0.001
428,0,0.004,0.006,0.001,0.002,0.001,0.001,0,0,0,0,0,0.002,0.001,0,0.001
429,0,0.004,0.006,0.001,0.002,0,0,-0.001,0,0,0,0,0.002,0.001,0,0.001
430,0,0.004,0.006,0.001,0.002,0,0,-0.001,0,0,0,0,0.002,0.001,0,0.001
431,0,0.004,0.006,0.001,0.002,0,0,-0.001,0,0,0,0,0.002,0.001,0,0.001
432,0,0.004,0.006,0.001,0.002,0,0.001,-0.001,0,0,0,0,0.002,0.001,0,0.001
433,0,0.003,0.006,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0.001
434,0,0.003,0.006,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0.001
435,0,0.003,0.006,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0.001
436,0,0.003,0.006,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0.001
437,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0.001
438,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0
439,0,0.003,0.005,0.001,0.002,0,0,-0.001,-0.001,0,-0.001,-0.001,0.002,0.001,0,0
440,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,-0.001,0.002,0.001,0,0
441,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,-0.001,0.002,0.001,0,0
442,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0
443,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,-0.001,0.002,0.001,0,0
444,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,0,-0.001,0,0.002,0.001,0,0
445,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,-0.001,-0.001,0,0.001,0.001,0,0
446,0,0.003,0.005,0.001,0.002,0,0,-0.001,0,-0.001,-0.001,-0.001,0.001,0.001,0,0
447,0,0.003,0.005,0.001,0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,0.001,0.001,0,0
448,0,0.003,0.005,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,0,0
449,0,0.003,0.005,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0.001,-0.001,0
450,0,0.003,0.005,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
451,0,0.003,0.005,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
452,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
453,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
454,0,0.003,0.004,0,0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,0.001,0,0,0
455,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
456,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
457,0,0.003,0.004,0,0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,0.001,0,-0.001,0
458,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
459,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
460,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
461,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
462,0,0.003,0.004,0,0.001,0,0,-0.001,0,-0.001,-0.001,-0.001,0.001,0,-0.001,0
463,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
464,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
465,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
466,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
467,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
468,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
469,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
470,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
471,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
472,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
473,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
474,0,0.003,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
475,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
476,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
477,0,0.002,0.004,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
478,0,0.002,0.003,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
479,0,0.002,0.003,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
480,0,0.002,0.003,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
481,0,0.002,0.003,0,0.001,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,0,-0.001,0
482,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,0,0,-0.001,0
483,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,0,0,-0.001,-0.001
484,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,0,-0.001,-0.001
485,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,0,-0.001,-0.001
486,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,0,-0.001,-0.001
487,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,-0.001,-0.001,-0.001
488,0,0.002,0.003,0,0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,-0.001,-0.001,-0.001
489,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,-0.001,-0.001,-0.001
490,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
491,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
492,0,0.002,0.003,0,0.001,0,-0.001,-0.002,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
493,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
494,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
495,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
496,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
497,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
498,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
499,0,0.002,0.003,0,0,-0.001,-0.001,-0.002,-0.001,-0.001,-0.002,-0.001,0,-0.001,-0.001,-0.001
500,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
501,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
502,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
503,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
504,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
505,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
506,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
507,0,0.002,0.003,0,0.001,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
508,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,0,-0.001,-0.001,-0.001
509,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
510,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
511,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
512,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
513,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
514,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
515,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
516,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,0,-0.001,-0.001,-0.001
517,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
518,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.001,-0.001
519,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
520,0,0.002,0.003,0,0,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,0,-0.001,-0.001,-0.001
521,0,0.002,0.003,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.001,-0.001
522,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.001,-0.001
523,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
524,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
525,0,0.002,0.002,0,0,0,-0.001,-0.002,-0.001,-0.002,-0.001,-0.001,0,-0.001,-0.001,-0.001
526,0,0.002,0.002,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
527,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.001,-0.001,0,-0.001,-0.002,-0.001
528,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
529,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
530,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
531,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
532,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
533,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
534,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
535,0,0.002,0.003,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
536,0.001,0.003,0.003,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0
537,0,0.002,0.002,0,0,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,-0.001,-0.001
538,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
539,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
540,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
541,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
542,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
543,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
544,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
545,0,0.002,0.002,0,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
546,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
547,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
548,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
549,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
550,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
551,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
552,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
553,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
554,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
555,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
556,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
557,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
558,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
559,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
560,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
561,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
562,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
563,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
564,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
565,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
566,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
567,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
568,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
569,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
570,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
571,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
572,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
573,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
574,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
575,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
576,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
577,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
578,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.001,-0.001,0,-0.001,-0.002,-0.001
579,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
580,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
581,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
582,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
583,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
584,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
585,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
586,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
587,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
588,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
589,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
590,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
591,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
592,0,0.002,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
593,0,0.001,0.002,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
594,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
595,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
596,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
597,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
598,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
599,0,0.001,0.001,-0.001,0,-0.001,-0.001,-0.002,-0.001,-0.002,-0.002,-0.001,0,-0.001,-0.002,-0.001
