Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
204,0.004,0.145,0.148,0.122,0.131,0.115,0.136,0.127,0.121,0.124,0.163,0.111,0.182,0.185,0.158,0.166
205,0.003,0.138,0.142,0.116,0.125,0.109,0.129,0.121,0.115,0.119,0.157,0.106,0.175,0.176,0.152,0.16
206,0.003,0.133,0.137,0.111,0.12,0.105,0.123,0.116,0.11,0.114,0.152,0.101,0.168,0.169,0.146,0.154
207,0.003,0.127,0.132,0.106,0.115,0.1,0.118,0.111,0.105,0.11,0.147,0.097,0.162,0.163,0.142,0.149
208,0.003,0.123,0.129,0.103,0.111,0.096,0.114,0.107,0.101,0.106,0.142,0.094,0.157,0.158,0.137,0.145
209,0.003,0.118,0.125,0.099,0.107,0.093,0.109,0.103,0.097,0.103,0.137,0.091,0.152,0.153,0.132,0.14
210,0.003,0.115,0.122,0.095,0.104,0.089,0.106,0.1,0.094,0.1,0.133,0.088,0.148,0.149,0.129,0.135
211,0.003,0.111,0.119,0.093,0.101,0.087,0.102,0.097,0.091,0.097,0.128,0.085,0.143,0.145,0.124,0.13
212,0.003,0.107,0.116,0.089,0.097,0.084,0.098,0.094,0.087,0.094,0.123,0.082,0.139,0.141,0.12,0.126
213,0.003,0.104,0.113,0.087,0.094,0.081,0.095,0.091,0.084,0.091,0.118,0.08,0.135,0.137,0.116,0.121
214,0.003,0.101,0.11,0.084,0.091,0.079,0.092,0.088,0.082,0.088,0.113,0.077,0.131,0.133,0.112,0.117
215,0.003,0.098,0.108,0.082,0.089,0.077,0.089,0.086,0.08,0.086,0.108,0.075,0.127,0.13,0.108,0.112
216,0.003,0.095,0.106,0.08,0.086,0.075,0.086,0.083,0.077,0.084,0.103,0.073,0.124,0.127,0.104,0.108
217,0.002,0.093,0.104,0.077,0.084,0.072,0.084,0.081,0.075,0.082,0.099,0.071,0.12,0.125,0.1,0.104
218,0.002,0.091,0.102,0.075,0.082,0.071,0.082,0.079,0.073,0.08,0.094,0.07,0.117,0.122,0.097,0.1
219,0.002,0.089,0.1,0.074,0.08,0.069,0.08,0.077,0.071,0.078,0.09,0.068,0.115,0.12,0.094,0.096
220,0.002,0.087,0.098,0.072,0.078,0.067,0.077,0.076,0.069,0.077,0.086,0.066,0.112,0.117,0.09,0.093
221,0.002,0.085,0.096,0.07,0.077,0.066,0.075,0.074,0.068,0.075,0.082,0.065,0.109,0.115,0.087,0.089
222,0.002,0.083,0.094,0.069,0.075,0.064,0.074,0.072,0.066,0.073,0.078,0.063,0.107,0.113,0.085,0.086
223,0.003,0.082,0.093,0.068,0.074,0.063,0.072,0.071,0.065,0.072,0.075,0.062,0.104,0.111,0.082,0.083
224,0.002,0.08,0.091,0.066,0.072,0.061,0.07,0.069,0.063,0.07,0.072,0.061,0.102,0.109,0.079,0.08
225,0.002,0.078,0.09,0.065,0.071,0.06,0.069,0.068,0.062,0.069,0.069,0.059,0.099,0.107,0.077,0.077
226,0.002,0.077,0.088,0.063,0.069,0.059,0.067,0.066,0.06,0.067,0.066,0.058,0.097,0.104,0.075,0.074
227,0.002,0.075,0.087,0.062,0.068,0.058,0.066,0.065,0.059,0.066,0.063,0.057,0.095,0.103,0.073,0.072
228,0.002,0.074,0.085,0.061,0.067,0.056,0.065,0.064,0.058,0.065,0.061,0.056,0.093,0.101,0.071,0.07
229,0.002,0.072,0.084,0.06,0.066,0.055,0.063,0.063,0.057,0.063,0.059,0.055,0.091,0.099,0.069,0.068
230,0.002,0.071,0.082,0.058,0.064,0.054,0.062,0.061,0.055,0.062,0.057,0.053,0.089,0.097,0.067,0.066
231,0.002,0.069,0.081,0.057,0.063,0.053,0.06,0.06,0.054,0.061,0.055,0.052,0.087,0.095,0.065,0.064
232,0.002,0.068,0.079,0.056,0.062,0.052,0.059,0.059,0.053,0.06,0.053,0.051,0.085,0.093,0.063,0.062
233,0.002,0.066,0.078,0.055,0.061,0.051,0.058,0.058,0.052,0.059,0.051,0.05,0.083,0.091,0.062,0.061
234,0.002,0.065,0.077,0.054,0.06,0.05,0.057,0.057,0.051,0.058,0.05,0.05,0.082,0.089,0.061,0.059
