Wavelength nm.,MilliQ,CC4_17dec24_9R2,CC3_17dec24_01R1,C50_17dec24_6R1,C50_17dec24_01R1,CC4_17dec24_9R1,CC2_17feb25_BOTR1,CP2_17feb25_BOTR1,CC4_17feb25_BOTR2,CS2_17feb25_01R1
264,0,0.045,0.055,0.046,0.046,0.045,0.054,0.059,0.053,0.036
265,0,0.044,0.054,0.045,0.045,0.044,0.053,0.058,0.053,0.035
266,0,0.044,0.054,0.045,0.044,0.044,0.053,0.058,0.052,0.035
267,0,0.043,0.053,0.044,0.044,0.043,0.052,0.057,0.052,0.035
268,0,0.042,0.053,0.044,0.043,0.043,0.052,0.056,0.051,0.034
269,0,0.042,0.052,0.043,0.043,0.042,0.051,0.056,0.05,0.034
270,0,0.041,0.051,0.042,0.042,0.041,0.05,0.055,0.05,0.033
271,0,0.041,0.051,0.042,0.041,0.041,0.049,0.054,0.049,0.033
272,0,0.04,0.05,0.041,0.041,0.04,0.049,0.054,0.048,0.033
273,0,0.039,0.049,0.04,0.04,0.04,0.048,0.053,0.048,0.032
274,0,0.039,0.049,0.04,0.04,0.039,0.047,0.052,0.047,0.032
275,0,0.038,0.048,0.039,0.039,0.038,0.047,0.052,0.046,0.032
276,0,0.037,0.047,0.038,0.038,0.038,0.046,0.051,0.046,0.031
277,0,0.037,0.047,0.038,0.037,0.037,0.046,0.051,0.045,0.031
278,0,0.036,0.046,0.037,0.037,0.036,0.045,0.049,0.044,0.03
279,0,0.035,0.045,0.036,0.036,0.035,0.044,0.049,0.043,0.03
280,0,0.034,0.044,0.035,0.035,0.034,0.043,0.048,0.042,0.029
281,0,0.034,0.043,0.035,0.035,0.034,0.042,0.047,0.042,0.029
282,0,0.033,0.043,0.034,0.034,0.033,0.041,0.046,0.041,0.028
283,0,0.033,0.042,0.033,0.033,0.033,0.041,0.046,0.04,0.028
284,0,0.032,0.042,0.033,0.033,0.032,0.04,0.045,0.04,0.028
285,0,0.031,0.041,0.032,0.032,0.032,0.039,0.044,0.039,0.028
286,0,0.03,0.04,0.031,0.031,0.031,0.039,0.043,0.038,0.027
287,0,0.03,0.04,0.03,0.031,0.03,0.038,0.043,0.037,0.027
288,0,0.029,0.039,0.03,0.03,0.029,0.037,0.042,0.037,0.026
289,0,0.028,0.038,0.029,0.029,0.029,0.036,0.041,0.036,0.026
290,0,0.028,0.037,0.029,0.029,0.028,0.036,0.041,0.036,0.025
291,0,0.027,0.037,0.028,0.028,0.027,0.035,0.04,0.035,0.025
292,0,0.026,0.036,0.027,0.027,0.027,0.034,0.039,0.034,0.025
293,0,0.026,0.035,0.026,0.027,0.026,0.034,0.038,0.033,0.024
294,0,0.025,0.035,0.026,0.026,0.026,0.033,0.038,0.033,0.024
295,0,0.025,0.034,0.025,0.026,0.025,0.032,0.037,0.032,0.024
296,0,0.024,0.033,0.024,0.025,0.024,0.032,0.036,0.031,0.023
297,0,0.023,0.033,0.024,0.025,0.024,0.031,0.036,0.031,0.023
298,0,0.023,0.032,0.024,0.024,0.023,0.031,0.035,0.03,0.023
299,0,0.023,0.032,0.023,0.024,0.023,0.03,0.034,0.03,0.022
300,0,0.022,0.031,0.023,0.023,0.022,0.03,0.034,0.029,0.022
301,0,0.022,0.031,0.022,0.023,0.022,0.029,0.034,0.029,0.022
302,0,0.021,0.03,0.022,0.022,0.022,0.029,0.033,0.028,0.022
303,0,0.021,0.03,0.021,0.022,0.021,0.028,0.032,0.028,0.021
304,0,0.02,0.029,0.021,0.021,0.021,0.027,0.032,0.027,0.02
305,0,0.02,0.029,0.02,0.021,0.02,0.027,0.032,0.027,0.02
306,0,0.02,0.028,0.02,0.021,0.02,0.026,0.031,0.026,0.02
307,0,0.019,0.028,0.02,0.02,0.02,0.026,0.031,0.026,0.02
308,0,0.019,0.027,0.02,0.02,0.019,0.026,0.03,0.026,0.02
309,0,0.018,0.027,0.019,0.019,0.019,0.025,0.03,0.025,0.02
310,0,0.018,0.027,0.018,0.019,0.018,0.025,0.029,0.025,0.019
311,0,0.018,0.026,0.018,0.019,0.018,0.024,0.029,0.024,0.019
312,0,0.018,0.026,0.018,0.019,0.018,0.024,0.028,0.024,0.019
313,0,0.017,0.026,0.018,0.018,0.018,0.024,0.028,0.024,0.018
314,0,0.017,0.025,0.017,0.018,0.017,0.023,0.028,0.023,0.018
315,0,0.017,0.025,0.017,0.017,0.017,0.023,0.027,0.023,0.017
316,0,0.016,0.024,0.016,0.017,0.017,0.022,0.027,0.022,0.017
317,0,0.016,0.024,0.016,0.017,0.016,0.022,0.026,0.022,0.017
318,0,0.016,0.024,0.016,0.016,0.016,0.022,0.026,0.021,0.017
319,0,0.015,0.023,0.016,0.016,0.016,0.021,0.026,0.021,0.017
320,0,0.015,0.023,0.015,0.016,0.016,0.021,0.025,0.021,0.017
321,0,0.014,0.023,0.015,0.015,0.015,0.02,0.025,0.021,0.016
322,0,0.014,0.022,0.014,0.015,0.015,0.02,0.024,0.02,0.016
323,0,0.014,0.022,0.014,0.015,0.015,0.02,0.024,0.02,0.016
324,0,0.014,0.022,0.014,0.015,0.015,0.02,0.024,0.02,0.016
325,0,0.014,0.022,0.014,0.015,0.015,0.019,0.024,0.02,0.016
326,0,0.014,0.021,0.014,0.014,0.014,0.019,0.023,0.019,0.015
327,0,0.013,0.021,0.013,0.014,0.014,0.018,0.023,0.019,0.015
328,0,0.013,0.021,0.013,0.014,0.014,0.018,0.023,0.018,0.015
329,0,0.013,0.021,0.013,0.014,0.014,0.018,0.022,0.018,0.015
330,0,0.013,0.02,0.013,0.013,0.013,0.018,0.022,0.018,0.015
331,0,0.012,0.02,0.013,0.013,0.013,0.018,0.022,0.017,0.014
332,0,0.012,0.02,0.012,0.013,0.013,0.017,0.021,0.017,0.014
333,0,0.012,0.019,0.012,0.013,0.013,0.017,0.021,0.017,0.014
334,0,0.012,0.019,0.012,0.012,0.012,0.017,0.021,0.017,0.014
335,0,0.011,0.019,0.012,0.012,0.012,0.016,0.02,0.017,0.013
336,0,0.011,0.019,0.012,0.012,0.012,0.016,0.02,0.016,0.013
337,0,0.011,0.018,0.011,0.012,0.012,0.016,0.02,0.016,0.013
338,0,0.011,0.018,0.011,0.012,0.011,0.015,0.02,0.016,0.012
339,0.001,0.011,0.018,0.011,0.012,0.012,0.016,0.02,0.016,0.013
340,0.001,0.012,0.019,0.012,0.013,0.012,0.016,0.02,0.017,0.014
341,0,0.01,0.017,0.01,0.011,0.011,0.015,0.019,0.016,0.012
342,0,0.011,0.017,0.01,0.011,0.011,0.015,0.019,0.015,0.012
343,0,0.01,0.017,0.01,0.011,0.011,0.014,0.018,0.015,0.012
344,0,0.01,0.017,0.01,0.011,0.011,0.014,0.018,0.015,0.012
345,0,0.01,0.016,0.01,0.011,0.01,0.014,0.018,0.014,0.012
