Wavelength,MilliQ,C50_1jun23_9m_r1,C100_1jun23_0_1m_r1,C50_1jun23_6m_r1,C300cove_1jun23_bot_r1,C300_1jun23_0_1m_r2,C300pool_1jun23_0_1m_r2,C300cove_1jun23_surf_r1,C50_1jun23_20m_r2,C50_1jun23_6m_r2
260,-0.008,0.039,0.068,0.044,0.043,0.031,0.05,0.042,0.037,0.042
261,-0.007,0.038,0.067,0.043,0.043,0.031,0.05,0.042,0.037,0.041
262,-0.008,0.038,0.066,0.043,0.043,0.031,0.049,0.041,0.036,0.041
263,-0.008,0.038,0.066,0.042,0.042,0.031,0.049,0.041,0.036,0.04
264,-0.008,0.037,0.065,0.042,0.042,0.03,0.048,0.04,0.035,0.04
265,-0.008,0.037,0.064,0.041,0.041,0.03,0.047,0.04,0.035,0.04
266,-0.008,0.036,0.064,0.041,0.041,0.029,0.047,0.039,0.035,0.039
267,-0.007,0.036,0.063,0.04,0.04,0.029,0.046,0.039,0.034,0.038
268,-0.007,0.035,0.062,0.04,0.04,0.029,0.046,0.038,0.034,0.038
269,-0.007,0.035,0.062,0.039,0.039,0.029,0.045,0.038,0.033,0.037
270,-0.007,0.034,0.061,0.039,0.039,0.028,0.044,0.037,0.033,0.037
271,-0.007,0.034,0.06,0.038,0.038,0.028,0.043,0.036,0.032,0.036
272,-0.007,0.033,0.06,0.038,0.038,0.028,0.043,0.036,0.032,0.036
273,-0.007,0.033,0.059,0.037,0.037,0.027,0.042,0.035,0.031,0.035
274,-0.007,0.032,0.059,0.036,0.037,0.027,0.042,0.035,0.031,0.035
275,-0.007,0.032,0.058,0.036,0.036,0.027,0.041,0.034,0.03,0.034
276,-0.007,0.031,0.058,0.035,0.035,0.027,0.04,0.033,0.029,0.033
277,-0.007,0.03,0.057,0.034,0.035,0.026,0.04,0.033,0.029,0.033
278,-0.007,0.03,0.056,0.034,0.034,0.025,0.039,0.032,0.028,0.032
279,-0.007,0.029,0.055,0.033,0.033,0.025,0.038,0.031,0.028,0.031
280,-0.007,0.028,0.055,0.032,0.033,0.025,0.037,0.031,0.027,0.03
281,-0.007,0.028,0.054,0.032,0.032,0.025,0.036,0.03,0.026,0.03
282,-0.007,0.028,0.053,0.031,0.031,0.024,0.036,0.029,0.026,0.029
283,-0.007,0.027,0.053,0.03,0.031,0.024,0.035,0.029,0.025,0.028
284,-0.007,0.026,0.052,0.03,0.03,0.024,0.034,0.028,0.025,0.028
285,-0.007,0.025,0.051,0.029,0.029,0.023,0.033,0.027,0.024,0.027
286,-0.007,0.025,0.051,0.028,0.029,0.023,0.033,0.026,0.023,0.026
287,-0.007,0.024,0.05,0.027,0.028,0.023,0.032,0.026,0.023,0.026
288,-0.007,0.023,0.049,0.027,0.027,0.022,0.031,0.025,0.022,0.025
289,-0.007,0.023,0.048,0.026,0.026,0.022,0.03,0.024,0.022,0.024
290,-0.007,0.022,0.048,0.025,0.026,0.022,0.03,0.024,0.021,0.024
291,-0.006,0.022,0.047,0.025,0.025,0.021,0.029,0.023,0.021,0.023
292,-0.006,0.021,0.046,0.024,0.025,0.021,0.029,0.022,0.02,0.022
293,-0.006,0.021,0.046,0.024,0.024,0.021,0.028,0.022,0.02,0.022
294,-0.007,0.02,0.045,0.023,0.024,0.02,0.027,0.021,0.019,0.021
295,-0.006,0.02,0.045,0.023,0.023,0.02,0.027,0.021,0.019,0.021
296,-0.007,0.019,0.044,0.022,0.022,0.019,0.026,0.02,0.018,0.02
297,-0.006,0.019,0.043,0.021,0.022,0.019,0.025,0.02,0.018,0.02
298,-0.006,0.018,0.043,0.021,0.021,0.019,0.025,0.019,0.018,0.019
299,-0.006,0.018,0.042,0.02,0.021,0.019,0.024,0.019,0.017,0.019
300,-0.006,0.017,0.042,0.02,0.02,0.018,0.024,0.018,0.017,0.018
301,-0.006,0.017,0.041,0.02,0.02,0.018,0.023,0.018,0.016,0.018
302,-0.006,0.016,0.041,0.019,0.02,0.018,0.023,0.017,0.016,0.018
303,-0.006,0.016,0.04,0.019,0.019,0.018,0.022,0.017,0.016,0.017
304,-0.006,0.015,0.039,0.018,0.019,0.017,0.022,0.016,0.015,0.016
305,-0.006,0.015,0.039,0.018,0.018,0.017,0.021,0.016,0.015,0.016
306,-0.006,0.014,0.038,0.017,0.018,0.017,0.021,0.015,0.014,0.015
307,-0.006,0.014,0.038,0.017,0.018,0.017,0.02,0.015,0.014,0.015
308,-0.006,0.014,0.037,0.016,0.017,0.016,0.02,0.015,0.014,0.015
309,-0.006,0.013,0.037,0.016,0.017,0.016,0.02,0.014,0.014,0.014
310,-0.006,0.013,0.036,0.016,0.016,0.016,0.019,0.014,0.013,0.014
311,-0.006,0.013,0.036,0.015,0.016,0.016,0.019,0.014,0.013,0.014
312,-0.006,0.013,0.035,0.015,0.016,0.016,0.019,0.014,0.013,0.014
313,-0.005,0.012,0.034,0.015,0.015,0.016,0.018,0.013,0.012,0.013
314,-0.005,0.012,0.034,0.014,0.015,0.015,0.018,0.013,0.012,0.013
315,-0.005,0.012,0.034,0.014,0.015,0.015,0.018,0.013,0.012,0.013
316,-0.005,0.012,0.034,0.014,0.015,0.015,0.017,0.013,0.012,0.012
317,-0.005,0.011,0.033,0.014,0.014,0.015,0.017,0.012,0.011,0.012
318,-0.005,0.011,0.033,0.013,0.014,0.015,0.017,0.012,0.011,0.012
319,-0.005,0.011,0.032,0.013,0.014,0.014,0.017,0.012,0.011,0.012
320,-0.005,0.011,0.032,0.013,0.014,0.014,0.016,0.012,0.011,0.011
321,-0.005,0.01,0.032,0.013,0.013,0.014,0.016,0.011,0.011,0.011
322,-0.005,0.01,0.031,0.012,0.013,0.014,0.016,0.011,0.011,0.011
323,-0.005,0.01,0.03,0.012,0.013,0.014,0.015,0.011,0.01,0.011
324,-0.005,0.01,0.03,0.012,0.013,0.014,0.015,0.011,0.01,0.01
325,-0.005,0.009,0.03,0.012,0.012,0.013,0.015,0.01,0.01,0.01
326,-0.005,0.009,0.029,0.011,0.012,0.013,0.014,0.01,0.01,0.01
327,-0.005,0.009,0.029,0.011,0.012,0.013,0.014,0.01,0.009,0.01
328,-0.005,0.009,0.028,0.011,0.012,0.013,0.014,0.009,0.009,0.01
329,-0.005,0.009,0.028,0.011,0.011,0.013,0.014,0.009,0.009,0.009
330,-0.005,0.008,0.028,0.011,0.011,0.013,0.014,0.009,0.009,0.01
331,-0.005,0.008,0.027,0.011,0.011,0.012,0.013,0.009,0.009,0.009
332,-0.005,0.008,0.027,0.01,0.011,0.012,0.013,0.009,0.008,0.009
