Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
465,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
466,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
467,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
468,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
469,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
470,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
471,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
472,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.003,0.001,0.003
473,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
474,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
475,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
476,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
477,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
478,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
479,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
480,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
481,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
482,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
483,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
484,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
485,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
486,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
487,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
488,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
489,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
490,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
491,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
492,-0.001,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
493,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
494,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
495,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
496,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
497,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
498,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
499,0,0.001,0.002,0.002,0.003,0.009,0.003,0.001,0.002,0.001,0.003
500,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
501,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
502,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
503,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
504,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
505,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
506,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
507,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
508,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
509,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
510,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
511,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
512,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
513,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
514,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
515,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
516,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
517,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
518,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
519,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
520,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
521,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
522,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
523,0,0.001,0.002,0.001,0.003,0.008,0.003,0.001,0.002,0.001,0.003
524,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
525,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
526,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
527,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
528,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
529,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
530,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
531,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
532,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
533,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
534,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
535,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
536,0.001,0.002,0.003,0.002,0.004,0.009,0.003,0.002,0.003,0.002,0.003
537,0,0.001,0.002,0.002,0.003,0.008,0.003,0.001,0.002,0.001,0.003
538,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
539,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
540,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
541,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
542,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
543,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
544,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
545,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
546,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
547,0,0.001,0.002,0.001,0.002,0.008,0.002,0.001,0.002,0.001,0.002
548,0,0.001,0.002,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
549,0,0.001,0.001,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
550,0,0.001,0.001,0.001,0.002,0.008,0.002,0.001,0.002,0.001,0.002
551,0,0.001,0.001,0.001,0.002,0.008,0.002,0.001,0.001,0.001,0.002
552,0,0.001,0.001,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
553,0,0.001,0.001,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
554,0,0.001,0.001,0.001,0.003,0.008,0.002,0.001,0.002,0.001,0.002
555,0,0.001,0.001,0.001,0.002,0.008,0.002,0.001,0.002,0.001,0.002
556,0,0.001,0.001,0.001,0.002,0.008,0.002,0.001,0.002,0.001,0.002
557,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
558,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
559,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
560,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.002,0.001,0.002
561,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
562,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
563,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
564,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
565,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
566,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.002,0.001,0.002
567,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
568,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
569,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
570,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
571,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
572,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
573,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
574,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
575,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
576,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
577,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0.001,0.002
578,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
579,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
580,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
581,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0.001,0.002
582,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0.001,0.002
583,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
584,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
585,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
586,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
587,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
588,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
589,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
590,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
591,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
592,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
593,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
594,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
595,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
596,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
597,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
598,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
599,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
600,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
601,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
602,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
603,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
604,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
605,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
606,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
607,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
608,0,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
609,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
610,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
611,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
612,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
613,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
614,-0.001,0,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
615,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
616,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
617,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
618,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
619,0,0.001,0.001,0.001,0.002,0.007,0.002,0,0.001,0,0.002
620,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
621,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
622,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
623,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
624,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
625,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
626,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
627,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
628,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
629,0,0.001,0.001,0.001,0.002,0.007,0.002,0.001,0.001,0,0.002
630,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
631,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
632,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
633,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
634,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
635,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
636,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
637,0,0.001,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.002
638,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
639,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
640,-0.001,0,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.001
641,0,0.001,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.001
642,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
643,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
644,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
645,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
646,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
647,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
648,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
649,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
650,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
651,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
652,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
653,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
654,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
655,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
656,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
657,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
658,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
659,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
660,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
661,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
662,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
663,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
664,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
665,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
666,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
667,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
668,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
669,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
670,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
671,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
672,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
673,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
674,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
675,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
676,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
677,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
678,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
679,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
680,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
681,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
682,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
683,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
684,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
685,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
686,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
687,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
688,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
689,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
690,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
691,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
692,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
693,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
694,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
695,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
696,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
697,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
698,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
699,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
700,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
701,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
702,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
703,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.002
704,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
705,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
706,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
707,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
708,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
709,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
710,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
711,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
712,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
713,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
714,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
715,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
716,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
717,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
718,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
719,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
720,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
721,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
722,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
723,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
724,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
725,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
726,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
727,0,0.001,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.001
728,0,0.001,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.001
729,0,0.001,0.001,0.001,0.002,0.006,0.002,0,0.001,0,0.001
730,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
731,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
732,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
733,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
734,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
735,0,0.001,0.001,0.001,0.002,0.006,0.001,0.001,0.001,0,0.001
736,0,0.001,0.001,0.001,0.002,0.006,0.001,0.001,0.001,0,0.001
737,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
738,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
739,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
740,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
741,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
742,0,0.001,0.001,0.001,0.002,0.006,0.001,0.001,0.001,0,0.001
743,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
744,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
745,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
746,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
747,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
748,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
749,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
750,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
751,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
752,0,0.001,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
753,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
754,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
755,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
756,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
757,0,0,0.001,0.001,0.002,0.006,0.001,0,0.001,0,0.001
758,0,0,0.001,0.001,0.002,0.006,0.001,0.001,0.001,0,0.001
759,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0.001,0.001
760,0.001,0.001,0.002,0.002,0.003,0.007,0.002,0.001,0.002,0.001,0.002
761,0,0.001,0.001,0.001,0.002,0.006,0.002,0.001,0.001,0,0.001
762,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
763,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
764,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
765,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
766,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
767,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
768,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
769,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
770,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
771,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
772,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
773,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
774,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
775,0,0,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
776,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
777,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
778,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
779,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
780,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
781,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
782,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
783,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
784,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
785,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
786,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
787,0,0.001,0.001,0.001,0.002,0.005,0.001,0,0.001,0,0.001
788,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
789,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
790,0,0,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
791,0,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0.001,0,0.001
