Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
213,-0.009,0.093,0.13,0.096,0.049,0.099,0.111,0.105,0.095,0.098,0.107
214,-0.009,0.09,0.125,0.093,0.048,0.097,0.108,0.102,0.092,0.096,0.104
215,-0.009,0.088,0.12,0.09,0.046,0.095,0.105,0.099,0.091,0.093,0.101
216,-0.008,0.085,0.116,0.088,0.045,0.093,0.102,0.096,0.088,0.091,0.098
217,-0.008,0.083,0.112,0.085,0.044,0.091,0.099,0.093,0.087,0.088,0.096
218,-0.008,0.081,0.109,0.083,0.043,0.089,0.097,0.091,0.085,0.086,0.093
219,-0.008,0.079,0.106,0.081,0.041,0.088,0.095,0.088,0.083,0.084,0.091
220,-0.008,0.077,0.103,0.079,0.04,0.086,0.092,0.086,0.081,0.082,0.089
221,-0.008,0.075,0.101,0.077,0.039,0.085,0.09,0.084,0.08,0.08,0.087
222,-0.007,0.074,0.098,0.076,0.038,0.083,0.088,0.082,0.078,0.078,0.085
223,-0.007,0.072,0.096,0.074,0.038,0.082,0.086,0.079,0.077,0.076,0.083
224,-0.007,0.07,0.094,0.072,0.037,0.081,0.084,0.077,0.075,0.075,0.081
225,-0.007,0.069,0.092,0.07,0.036,0.079,0.082,0.075,0.074,0.073,0.079
226,-0.007,0.067,0.09,0.069,0.035,0.078,0.08,0.073,0.073,0.071,0.077
227,-0.007,0.066,0.088,0.067,0.034,0.077,0.078,0.072,0.071,0.07,0.076
228,-0.007,0.064,0.086,0.066,0.033,0.076,0.076,0.07,0.07,0.068,0.074
229,-0.007,0.063,0.084,0.064,0.032,0.074,0.074,0.067,0.069,0.066,0.072
230,-0.007,0.061,0.082,0.062,0.032,0.073,0.072,0.065,0.068,0.064,0.071
231,-0.007,0.06,0.08,0.061,0.031,0.072,0.071,0.064,0.066,0.063,0.069
232,-0.007,0.059,0.079,0.06,0.03,0.07,0.069,0.062,0.065,0.062,0.068
233,-0.007,0.058,0.077,0.058,0.03,0.069,0.068,0.061,0.064,0.06,0.066
234,-0.007,0.056,0.076,0.057,0.029,0.068,0.066,0.059,0.063,0.059,0.065
235,-0.007,0.055,0.074,0.056,0.029,0.067,0.065,0.058,0.062,0.058,0.064
236,-0.007,0.054,0.073,0.055,0.028,0.066,0.064,0.057,0.061,0.057,0.063
237,-0.007,0.053,0.072,0.054,0.027,0.065,0.063,0.056,0.06,0.056,0.062
238,-0.007,0.053,0.071,0.053,0.027,0.064,0.062,0.055,0.059,0.055,0.061
239,-0.007,0.052,0.069,0.052,0.027,0.064,0.061,0.054,0.058,0.054,0.06
240,-0.006,0.051,0.068,0.051,0.026,0.063,0.06,0.053,0.057,0.053,0.059
241,-0.006,0.05,0.067,0.051,0.026,0.062,0.059,0.053,0.056,0.053,0.058
242,-0.006,0.05,0.066,0.05,0.025,0.061,0.059,0.052,0.056,0.052,0.058
