Wavelength nm.,MilliQ,CC3_1aug24_01_midnight,CC3_1aug24_BOT_6am,CC3_1aug24_01_6am,CC4_11jul24_9r1,CC3_1aug24_BOT_midnight,CC4_15aug24_BOTr2,CC3_19jun24_01r1,CS2_19jun24_01r2,CC4_15aug24_9r2,CC2_22may24_BOTr2,CC3_31jul24_01_noon,CC3_31jul24_BOT_noon,CP1_15aug24_01r1
190,0.005,0.402,0.395,0.372,0.427,0.396,0.432,0.41,0.491,0.423,0.389,0.365,0.391,0.358
191,0.005,0.363,0.361,0.343,0.39,0.367,0.396,0.377,0.447,0.392,0.354,0.331,0.356,0.343
192,0.005,0.332,0.329,0.314,0.358,0.335,0.367,0.345,0.415,0.361,0.327,0.299,0.327,0.33
193,0.005,0.299,0.293,0.28,0.325,0.302,0.332,0.31,0.378,0.328,0.296,0.267,0.295,0.314
194,0.004,0.269,0.265,0.254,0.298,0.276,0.306,0.283,0.354,0.303,0.272,0.242,0.27,0.302
195,0.004,0.243,0.239,0.229,0.273,0.251,0.282,0.258,0.335,0.279,0.249,0.218,0.247,0.291
196,0.005,0.222,0.219,0.209,0.252,0.23,0.262,0.236,0.322,0.26,0.23,0.198,0.227,0.281
197,0.004,0.203,0.2,0.191,0.235,0.212,0.244,0.218,0.311,0.243,0.213,0.183,0.21,0.273
198,0.004,0.187,0.184,0.175,0.219,0.195,0.229,0.201,0.302,0.228,0.198,0.168,0.195,0.266
199,0.004,0.173,0.17,0.162,0.206,0.182,0.217,0.187,0.295,0.215,0.186,0.156,0.182,0.26
200,0.004,0.161,0.159,0.151,0.195,0.17,0.206,0.175,0.289,0.204,0.176,0.145,0.172,0.256
201,0.003,0.15,0.148,0.141,0.184,0.16,0.196,0.164,0.283,0.193,0.166,0.135,0.161,0.25
202,0.003,0.14,0.138,0.132,0.175,0.151,0.187,0.154,0.277,0.185,0.158,0.127,0.153,0.245
203,0.003,0.133,0.131,0.125,0.168,0.143,0.18,0.147,0.272,0.178,0.151,0.12,0.146,0.241
204,0.003,0.126,0.125,0.118,0.161,0.136,0.173,0.139,0.267,0.171,0.144,0.114,0.139,0.237
