Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
277.00	0.001	0.044	0.044	0.045	0.042	0.041	0.049	0.035
278.00	0.000	0.043	0.043	0.044	0.041	0.040	0.048	0.034
279.00	0.000	0.042	0.042	0.044	0.040	0.040	0.047	0.034
280.00	0.000	0.042	0.042	0.043	0.040	0.040	0.046	0.034
281.00	0.000	0.041	0.041	0.042	0.039	0.039	0.045	0.033
282.00	0.000	0.040	0.040	0.041	0.038	0.039	0.044	0.033
283.00	0.000	0.040	0.039	0.040	0.037	0.038	0.044	0.032
284.00	0.000	0.039	0.038	0.040	0.036	0.038	0.043	0.032
285.00	0.000	0.038	0.038	0.039	0.036	0.037	0.042	0.031
286.00	0.000	0.037	0.037	0.038	0.035	0.037	0.042	0.031
287.00	0.000	0.036	0.036	0.037	0.034	0.036	0.040	0.030
288.00	0.000	0.035	0.035	0.036	0.034	0.036	0.039	0.030
289.00	0.000	0.035	0.035	0.036	0.033	0.035	0.039	0.029
290.00	0.000	0.034	0.034	0.035	0.032	0.035	0.038	0.029
291.00	0.000	0.033	0.033	0.034	0.032	0.034	0.037	0.028
292.00	0.000	0.032	0.032	0.033	0.031	0.034	0.036	0.028
293.00	0.000	0.032	0.032	0.032	0.030	0.033	0.036	0.027
294.00	0.000	0.031	0.031	0.032	0.030	0.033	0.035	0.027
295.00	0.000	0.030	0.030	0.031	0.029	0.032	0.034	0.027
296.00	0.000	0.030	0.030	0.030	0.028	0.032	0.033	0.026
297.00	0.000	0.029	0.029	0.030	0.028	0.032	0.033	0.026
298.00	0.000	0.029	0.029	0.029	0.027	0.031	0.033	0.025
299.00	0.000	0.028	0.028	0.028	0.027	0.031	0.032	0.025
300.00	0.000	0.027	0.027	0.028	0.026	0.030	0.031	0.024
301.00	0.000	0.027	0.027	0.027	0.026	0.030	0.031	0.024
302.00	0.000	0.026	0.026	0.027	0.025	0.030	0.030	0.024
303.00	0.000	0.026	0.026	0.026	0.025	0.029	0.030	0.024
304.00	0.000	0.025	0.025	0.026	0.024	0.029	0.029	0.023
305.00	0.000	0.025	0.025	0.025	0.024	0.028	0.028	0.023
306.00	0.000	0.024	0.024	0.024	0.023	0.028	0.028	0.022
307.00	0.000	0.024	0.023	0.024	0.023	0.028	0.028	0.022
308.00	0.000	0.023	0.023	0.023	0.022	0.027	0.027	0.022
309.00	0.000	0.023	0.022	0.023	0.022	0.027	0.026	0.021
