Wavelength nm.,MilliQ,CC4_28oct24_6R1,C50_16apr25_6R1,CC3_16apr25_01_fridge2,C50_16apr25_20R1,CS1_16apr25_01_fridge2,CC3_16apr25_BOT_fridge2,CP1_16apr25_BOTR1
224,0.001,0.091,0.087,0.09,0.099,0.075,0.095,0.067
225,0.001,0.09,0.086,0.088,0.095,0.074,0.093,0.066
226,0.001,0.088,0.084,0.086,0.092,0.072,0.091,0.065
227,0.001,0.086,0.083,0.085,0.089,0.071,0.09,0.064
228,0.001,0.084,0.081,0.083,0.086,0.07,0.088,0.062
229,0.001,0.083,0.08,0.082,0.084,0.069,0.087,0.061
230,0.001,0.081,0.078,0.08,0.082,0.068,0.085,0.06
231,0,0.079,0.077,0.079,0.079,0.067,0.084,0.059
232,0,0.078,0.076,0.077,0.077,0.066,0.082,0.058
233,0.001,0.077,0.074,0.076,0.076,0.065,0.081,0.057
234,0.001,0.075,0.073,0.074,0.074,0.064,0.08,0.057
235,0.001,0.074,0.072,0.073,0.073,0.063,0.078,0.056
236,0.001,0.073,0.071,0.072,0.071,0.063,0.077,0.055
237,0,0.071,0.07,0.071,0.07,0.062,0.076,0.054
238,0,0.07,0.069,0.07,0.068,0.061,0.075,0.053
239,0,0.069,0.068,0.069,0.067,0.06,0.073,0.053
240,0,0.068,0.067,0.068,0.066,0.059,0.072,0.052
241,0,0.067,0.066,0.067,0.065,0.059,0.071,0.051
242,0,0.066,0.065,0.066,0.064,0.058,0.07,0.05
243,0,0.066,0.065,0.065,0.063,0.057,0.07,0.05
244,0,0.065,0.064,0.065,0.063,0.056,0.069,0.049
245,0,0.064,0.063,0.064,0.062,0.056,0.068,0.048
246,0,0.063,0.062,0.063,0.061,0.055,0.067,0.048
247,0,0.063,0.062,0.063,0.061,0.054,0.067,0.047
248,0,0.062,0.061,0.062,0.06,0.054,0.066,0.047
249,0,0.062,0.061,0.062,0.059,0.053,0.065,0.046
250,0,0.061,0.06,0.061,0.059,0.053,0.065,0.046
251,0.001,0.06,0.06,0.061,0.058,0.052,0.064,0.046
252,0,0.06,0.059,0.06,0.058,0.052,0.064,0.045
253,0,0.059,0.059,0.06,0.057,0.051,0.063,0.045
254,0,0.059,0.058,0.059,0.057,0.051,0.063,0.044
255,0,0.058,0.058,0.059,0.056,0.05,0.062,0.044
256,0.001,0.058,0.057,0.058,0.055,0.05,0.062,0.043
257,0,0.057,0.057,0.058,0.055,0.049,0.061,0.043
258,0.001,0.057,0.056,0.058,0.054,0.049,0.061,0.043
259,0.001,0.056,0.056,0.057,0.054,0.049,0.06,0.042
260,0,0.056,0.055,0.056,0.053,0.048,0.06,0.042
261,0,0.055,0.055,0.056,0.053,0.048,0.059,0.041
262,0,0.054,0.054,0.055,0.052,0.047,0.058,0.041
263,0,0.054,0.054,0.055,0.051,0.047,0.058,0.041
264,0,0.053,0.053,0.054,0.051,0.046,0.057,0.04
265,0,0.053,0.053,0.054,0.05,0.046,0.057,0.04
266,0,0.052,0.052,0.053,0.049,0.045,0.056,0.039
267,0,0.051,0.051,0.052,0.048,0.045,0.055,0.039
268,0,0.051,0.05,0.052,0.048,0.045,0.055,0.039
269,0,0.05,0.05,0.051,0.047,0.044,0.054,0.038
270,0,0.049,0.049,0.05,0.047,0.044,0.053,0.038
271,0,0.048,0.048,0.05,0.046,0.043,0.053,0.037
272,0,0.048,0.048,0.049,0.045,0.043,0.052,0.037
273,0.001,0.047,0.047,0.048,0.045,0.043,0.051,0.036
274,0.001,0.046,0.046,0.047,0.044,0.042,0.051,0.036
275,0.001,0.046,0.046,0.047,0.043,0.042,0.05,0.036
276,0,0.045,0.045,0.046,0.042,0.041,0.049,0.035
277,0.001,0.044,0.044,0.045,0.042,0.041,0.049,0.035
278,0,0.043,0.043,0.044,0.041,0.04,0.048,0.034
279,0,0.042,0.042,0.044,0.04,0.04,0.047,0.034
280,0,0.042,0.042,0.043,0.04,0.04,0.046,0.034
281,0,0.041,0.041,0.042,0.039,0.039,0.045,0.033
282,0,0.04,0.04,0.041,0.038,0.039,0.044,0.033
283,0,0.04,0.039,0.04,0.037,0.038,0.044,0.032
284,0,0.039,0.038,0.04,0.036,0.038,0.043,0.032
285,0,0.038,0.038,0.039,0.036,0.037,0.042,0.031
286,0,0.037,0.037,0.038,0.035,0.037,0.042,0.031
287,0,0.036,0.036,0.037,0.034,0.036,0.04,0.03
