Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...
278.00	0.008	0.031	0.034	0.046
279.00	0.007	0.030	0.033	0.045
280.00	0.007	0.030	0.032	0.045
281.00	0.008	0.029	0.032	0.044
282.00	0.008	0.029	0.031	0.043
283.00	0.007	0.028	0.030	0.043
284.00	0.007	0.027	0.030	0.042
285.00	0.007	0.027	0.029	0.041
286.00	0.007	0.026	0.028	0.041
287.00	0.007	0.026	0.028	0.040
288.00	0.007	0.025	0.027	0.039
289.00	0.007	0.024	0.026	0.038
290.00	0.007	0.024	0.026	0.038
291.00	0.007	0.023	0.025	0.037
292.00	0.007	0.022	0.024	0.036
293.00	0.007	0.022	0.024	0.036
294.00	0.007	0.022	0.023	0.035
295.00	0.007	0.021	0.023	0.035
296.00	0.007	0.020	0.023	0.034
297.00	0.007	0.020	0.022	0.033
298.00	0.007	0.020	0.022	0.033
299.00	0.007	0.019	0.021	0.032
300.00	0.007	0.019	0.021	0.032
301.00	0.007	0.018	0.020	0.031
302.00	0.007	0.018	0.020	0.031
303.00	0.006	0.018	0.019	0.030
304.00	0.007	0.017	0.019	0.030
305.00	0.006	0.017	0.019	0.029
306.00	0.006	0.016	0.018	0.029
307.00	0.006	0.016	0.018	0.028
308.00	0.006	0.016	0.017	0.028
309.00	0.006	0.016	0.017	0.028
310.00	0.006	0.015	0.017	0.027
311.00	0.006	0.015	0.017	0.027
312.00	0.006	0.015	0.016	0.027
313.00	0.006	0.015	0.016	0.026
314.00	0.006	0.014	0.016	0.025
315.00	0.006	0.014	0.015	0.025
316.00	0.006	0.014	0.015	0.025
317.00	0.006	0.014	0.015	0.025
318.00	0.006	0.014	0.015	0.025
319.00	0.006	0.013	0.014	0.024
320.00	0.006	0.013	0.014	0.024
321.00	0.006	0.013	0.014	0.023
322.00	0.006	0.012	0.014	0.023
323.00	0.006	0.012	0.014	0.023
324.00	0.006	0.012	0.013	0.023
325.00	0.005	0.012	0.013	0.022
326.00	0.005	0.012	0.012	0.021
327.00	0.005	0.011	0.012	0.021
328.00	0.005	0.011	0.012	0.021
329.00	0.005	0.011	0.012	0.021
330.00	0.005	0.011	0.012	0.021
