SIGNAL2,B,C,D
270,0.00852,484,5.68262E4
272,0.00852,320,3.75587E4
274,0.00852,252,2.95636E4
276,0.00852,220,2.58252E4
278,0.00852,256,3.00484E4
280,0.00851,232,2.72492E4
282,0.00851,276,3.24157E4
284,0.00852,268,3.14495E4
286,0.00852,264,3.09903E4
288,0.00852,268,3.14731E4
290,0.00851,276,3.24202E4
292,0.00851,252,2.96164E4
294,0.00852,288,3.38012E4
296,0.00851,312,3.66541E4
298,0.00851,244,2.86614E4
300,0.00852,240,2.81717E4
302,0.00852,288,3.37949E4
304,0.00853,272,3.19054E4
306,0.00852,332,3.8947E4
308,0.00853,312,3.65905E4
310,0.00853,316,3.70561E4
312,0.00853,304,3.56406E4
314,0.00853,360,4.22079E4
316,0.00852,268,3.14554E4
318,0.00853,332,3.89342E4
320,0.00852,336,3.94181E4
322,0.00853,336,3.9407E4
324,0.00852,376,4.41087E4
326,0.00853,280,3.28376E4
328,0.00853,400,4.69153E4
330,0.00853,336,3.94089E4
332,0.00852,332,3.89562E4
334,0.00852,312,3.66369E4
336,0.00851,344,4.04059E4
338,0.00852,356,4.17742E4
340,0.00852,320,3.75428E4
342,0.00852,320,3.75393E4
344,0.00853,332,3.89342E4
346,0.00853,356,4.1739E4
348,0.00853,324,3.8005E4
350,0.00853,392,4.59813E4
352,0.00852,252,2.95677E4
354,0.00853,456,5.34433E4
356,0.00853,296,3.47124E4
358,0.00853,352,4.12719E4
360,0.00853,348,4.07781E4
362,0.00853,296,3.4719E4
364,0.00852,368,4.31803E4
366,0.00853,412,4.82888E4
368,0.00853,360,4.21882E4
370,0.00852,296,3.47385E4
372,0.00853,332,3.89233E4
374,0.00853,368,4.3152E4
376,0.00853,324,3.79782E4
378,0.00853,324,3.79872E4
380,0.00853,356,4.17409E4
382,0.00853,372,4.3621E4
384,0.00853,300,3.51848E4
386,0.00853,408,4.78357E4
388,0.00852,308,3.61519E4
390,0.00853,332,3.89379E4
392,0.00853,368,4.31621E4
394,0.00853,296,3.47173E4
396,0.00853,344,4.03188E4
398,0.00853,312,3.65888E4
400,0.00853,352,4.12816E4
402,0.00853,284,3.33052E4
404,0.00853,348,4.08144E4
406,0.00853,376,4.40942E4
408,0.00852,368,4.31722E4
410,0.00853,292,3.42498E4
412,0.00853,360,4.22159E4
414,0.00853,368,4.3154E4
416,0.00853,284,3.33068E4
418,0.00852,316,3.70753E4
420,0.00852,332,3.89616E4
422,0.00852,340,3.99061E4
424,0.00851,260,3.05351E4
426,0.00852,348,4.08412E4
428,0.00852,256,3.00413E4
430,0.00852,436,5.11641E4
