SIGNAL2,B,C,D
365,0.5857,1.117E4,1.90712E4
366,0.5853,1.111E4,1.89817E4
367,0.5856,1.05E4,1.79303E4
368,0.5857,9990,1.70565E4
369,0.5856,1.057E4,1.80499E4
370,0.5856,9780,1.67008E4
371,0.5854,9210,1.57328E4
372,0.5857,9190,1.56906E4
373,0.5849,8040,1.37459E4
374,0.5858,7900,1.34858E4
375,0.5852,7510,1.28332E4
376,0.5852,7800,1.33288E4
377,0.5854,7060,1.20601E4
378,0.5855,6680,1.14091E4
379,0.5856,6650,1.13559E4
380,0.5858,6490,1.10789E4
381,0.5856,6190,1.05704E4
382,0.585,6780,1.15897E4
383,0.5858,8180,1.39638E4
384,0.5854,1.15E4,1.96447E4
385,0.5857,1.646E4,2.81031E4
386,0.585,2.485E4,4.24786E4
387,0.5855,3.794E4,6.47993E4
388,0.5857,5.589E4,9.54243E4
389,0.5854,8.162E4,1.39426E5
390,0.5857,1.095E5,1.86956E5
391,0.5855,1.4054E5,2.40034E5
392,0.5856,1.7668E5,3.01708E5
393,0.5853,2.0557E5,3.51222E5
394,0.5859,2.3756E5,4.05462E5
395,0.5853,2.6314E5,4.49581E5
396,0.5854,2.8092E5,4.79877E5
397,0.5858,2.8598E5,4.88187E5
398,0.5857,2.8282E5,4.82875E5
399,0.5857,2.6482E5,4.52143E5
400,0.5856,2.4492E5,4.18238E5
401,0.5857,2.1185E5,3.61704E5
402,0.5854,1.7602E5,3.00683E5
403,0.5854,1.4136E5,2.41476E5
404,0.5858,1.1124E5,1.89894E5
405,0.5857,7.965E4,1.35991E5
406,0.5857,5.908E4,1.00871E5
407,0.5862,3.941E4,6.72296E4
408,0.5859,2.677E4,4.56904E4
409,0.5858,1.783E4,3.0437E4
410,0.5855,1.191E4,2.03416E4
411,0.5857,8430,1.4393E4
412,0.5854,6510,1.11206E4
413,0.5856,5690,9716.53005
414,0.586,4290,7320.81911
415,0.5863,3730,6361.93075
416,0.586,3340,5699.6587
417,0.5856,2910,4969.2623
418,0.5856,2290,3910.51913
419,0.5859,2190,3737.83922
420,0.5856,1770,3022.54098
421,0.5859,1940,3311.14525
422,0.5854,1660,2835.66792
423,0.5855,1650,2818.10418
424,0.5857,1780,3039.09851
425,0.5857,1300,2219.56633
426,0.5855,1260,2152.00683
427,0.5858,1230,2099.69273
428,0.5853,1250,2135.65693
429,0.5853,1190,2033.1454
430,0.5856,1200,2049.18033
431,0.5856,1050,1793.03279
432,0.5863,1150,1961.45318
433,0.5855,1190,2032.4509
434,0.5855,1070,1827.49787
435,0.5862,1040,1774.13852
436,0.5858,1120,1911.91533
437,0.5859,1140,1945.72453
438,0.5852,990,1691.72932
439,0.5858,1220,2082.62206
440,0.5857,1160,1980.53611
441,0.5863,1160,1978.5093
442,0.5855,1400,2391.1187
443,0.5857,1140,1946.38894
444,0.5862,1000,1705.90242
445,0.5855,990,1690.86251
446,0.5856,980,1673.49727
447,0.5858,1020,1741.2086
448,0.5857,1110,1895.16817
449,0.5859,1220,2082.2666
450,0.5861,1210,2064.49411
