Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample.Name,Max.Fl.Ex,Max.Fl.Em,Max.Fl,B.,T.,A.,C.,M.,N.,FI.,BIX.,HIX.,T.B,T.M.,T.N.,T.C.,A.T.,A.C.,A.M.,M.C.,C.N.,A254,a254,A350,a350,NOTES,NOTES_extra,TIME
CCR,92,2,2/17/2025,1,1,20250326_CC2_17feb25_BOTR1.csv,310,310,3.841084841,0.044435474,0.062284545,0.261766809,0.129344853,0.111779512,0.091301043,1.446505269,0.657944101,5.8810744,1.401685175,0.557208959,0.682188765,0.481538647,4.202756983,2.023789913,2.341813845,0.864197604,1.416685387,0.06,13.818,0.013,2.9939,,,
CCR,90,0.1,12/17/2024,1,1,20250326_CC3_17dec24_01R1.csv,300,300,9.523694003,0.060058266,0.073431777,0.256966893,0.120898799,0.112588779,0.095521582,1.467159864,0.683872057,4.306829924,1.222675611,0.65221222,0.768745408,0.607382187,3.499396354,2.125471012,2.282349066,0.931264654,1.265669992,0.061,14.0483,0.016,3.6848,,,
CCR,88,9,12/17/2024,1,1,20250326_CC4_17dec24_9R1.csv,300,300,2.7753258,0.053658222,0.069599953,0.238536168,0.107698152,0.106915345,0.094051095,1.444337086,0.70598919,5.078486925,1.297097629,0.650981882,0.74002278,0.646250206,3.427246135,2.214858519,2.231075139,0.992731477,1.145102583,0.049,11.2847,0.009,2.0727,,,
CCR,88,9,12/17/2024,2,1,20250326_CC4_17dec24_9R2.csv,300,300,4.553190658,0.056703534,0.076874576,0.243129771,0.108873865,0.109513228,0.094334227,1.485851706,0.720237657,4.697854721,1.35572813,0.701966125,0.81491712,0.706088429,3.162681112,2.233132538,2.220095003,1.005872512,1.154128982,0.049,11.2847,0.009,2.0727,,,
CCR,88,12,2/17/2025,2,1,20250326_CC4_17feb25_BOTR2.csv,310,310,6.899363858,0.049399386,0.070902065,0.261899427,0.127849205,0.110604406,0.091065596,1.457254142,0.658214611,5.285723182,1.435282317,0.641041961,0.778582346,0.554575721,3.69381943,2.048502575,2.36789325,0.865116101,1.403924327,0.059,13.5877,0.013,2.9939,,,
CCR,96,1.7,2/17/2025,1,1,20250326_CP2_17feb25_BOTR1.csv,300,300,7.554719541,0.062500482,0.077774186,0.263334173,0.130787513,0.113858282,0.09742685,1.461399329,0.637070753,4.515121727,1.244377391,0.683078865,0.79828288,0.594660639,3.385881426,2.013450411,2.312824042,0.870559271,1.342417554,0.064,14.7392,0.017,3.9151,,,
CCR,100,0.1,2/17/2025,1,1,20250326_CS2_17feb25_01R1.csv,315,314,3.916904624,0.012289779,0.024143788,0.146377574,0.087618309,0.057185146,0.041111074,1.387362052,0.53492806,9.045538334,1.964542035,0.422203839,0.587281856,0.275556428,6.062742654,1.67062771,2.559713225,0.652662061,2.131258053,0.04,9.212,0.011,2.5333,,,
CCR,50,20,2/17/2025,1,1,20250327_C50_17feb25_20R1.csv,300,300,5.943257647,0.044305103,0.062909261,0.247715137,0.119798249,0.106337559,0.086390113,1.450619658,0.654851446,5.171457261,1.419910047,0.591599631,0.728199772,0.525126711,3.937657735,2.067769256,2.329516862,0.887638673,1.386712496,0.057,12.8968,0.012,2.5333,,,
CCR,50,6,2/17/2025,1,1,20250327_C50_17feb25_6R1.csv,300,300,3.815219619,0.069020801,0.077981452,0.251412928,0.121248437,0.109164438,0.095670217,1.453357537,0.669852276,4.294344768,1.129825375,0.714348499,0.815106881,0.643154292,3.2240093,2.073535417,2.303066204,0.90033687,1.267358225,0.057,12.8968,0.012,2.5333,,,
CCR,50,9,2/17/2025,1,1,20250327_C50_17feb25_9R1.csv,300,300,3.338961502,0.041828394,0.062930106,0.255068107,0.124678277,0.108489216,0.090081383,1.428531642,0.649783346,5.848667207,1.504482986,0.580058633,0.698591701,0.504739944,4.053196819,2.045810334,2.351091805,0.870153318,1.384062643,0.056,12.6665,0.012,2.5333,,,
CCR,92,0.1,2/17/2025,1,1,20250327_CC2_17feb25_01R1.csv,300,300,3.792452191,0.051941817,0.067377066,0.248926472,0.121458152,0.106902955,0.086663586,1.460144985,0.660010707,5.466645651,1.297164231,0.630263833,0.777455321,0.554734822,3.694528204,2.049483444,2.328527506,0.880162866,1.401490029,0.056,12.6665,0.012,2.5333,,,
CCR,92,0.1,2/17/2025,2,1,20250327_CC2_17feb25_01R2.csv,305,304,4.391839144,0.074762157,0.084870918,0.250955825,0.120689341,0.122364272,0.101232208,1.475450706,0.661454511,4.298791718,1.135212275,0.69359231,0.838378608,0.703218009,2.956911882,2.079353687,2.050891342,1.013878037,1.192202982,0.058,13.1271,0.013,2.7636,,,
CCR,90,0.1,2/17/2025,1,1,20250327_CC3_17feb25_01R1.csv,305,304,4.532570231,0.043476328,0.064591993,0.240576989,0.11641792,0.101331765,0.083488816,1.41950642,0.624297129,5.175783108,1.485681893,0.637430848,0.773660429,0.554828612,3.724563649,2.066494479,2.374151766,0.870413808,1.39441336,0.056,12.6665,0.012,2.5333,,,
