Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample Name,Max_FL_Ex ,Max_FL_Em ,Max_FL ,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,a254_m,a350_m,FLAG,Notes_flag,TIME
CCR,101,0.1,11/19/2021,1,1,20220511_c19nov21_HPB.csv,300,300,8.879877813,0.071438522,0.057933405,0.168770745,0.10489912,0.072766345,0.058126369,1.484584052,0.556345112,3.693459607,0.8109547,0.796156594,0.996680275,0.552277323,2.913185324,1.608886194,2.319351707,0.693679268,1.804673544,,,,,
CCR,301,0.1,11/19/2021,1,1,20220511_c19nov21_SMB.csv,325,326,6.736401714,0.056115457,0.048796224,0.144289629,0.100722622,0.067441666,0.051301142,1.530099468,0.516151448,4.94865419,0.869568322,0.723532311,0.951172286,0.484461414,2.956983494,1.432544405,2.139473102,0.669578133,1.963360255,,,,,
CCR,400,0.1,11/19/2021,2,1,20220511_c19nov21_TCT.csv,315,316,3.587188521,0.06124231,0.043877793,0.12341603,0.113154315,0.070350518,0.049500172,2.288921722,0.716407602,4.098967409,0.716462085,0.62370249,0.886416993,0.387769511,2.812721898,1.090687795,1.754301652,0.621721922,2.285937825,,,,,
CCR,50,0.1,2/28/2022,2,1,20220818_C28feb22_0_1r2.csv,300,300,5.878093459,0.045154231,0.065525741,0.195578388,0.091080393,0.085611611,0.07751691,1.482303074,0.711505141,4.290828932,1.451153966,0.765383815,0.845309,0.719427522,2.984756583,2.147316032,2.284484379,0.93995654,1.17497451,,,,,
CCR,50,1.5,2/28/2022,2,1,20220818_C28feb22_1_5mr2.csv,310,310,5.575614769,0.040997347,0.058799655,0.191538712,0.089473445,0.084818974,0.076073859,1.478353939,0.729312054,4.297639982,1.434230725,0.693237046,0.772928509,0.657174366,3.257480229,2.140732506,2.258205971,0.947979295,1.176139163,,,,,
CCR,50,6,2/28/2022,1,1,20220818_C28feb22_6mr1.csv,300,300,5.009077821,0.041984865,0.060655715,0.188054398,0.088702927,0.083507399,0.073396608,1.463190222,0.707960905,4.361305943,1.4447043,0.72635139,0.826410333,0.683807369,3.10035744,2.120047263,2.251948937,0.941427769,1.208542597,,,,,
CCR,50,9,2/28/2022,1,1,20220818_C28feb22_9mr1.csv,300,300,4.831304389,0.04617868,0.060860545,0.191752971,0.090028156,0.084866976,0.074260647,1.459337596,0.714122171,4.276394264,1.31793601,0.717128711,0.819553125,0.676016794,3.150694267,2.129922236,2.259453318,0.942671495,1.212326576,,,,,
CCR,50,21,2/28/2022,2,1,20220818_C28feb22_21mr2.csv,300,300,6.529500563,0.044920293,0.063371733,0.196298607,0.092714297,0.086959244,0.074939224,1.497093188,0.717543533,4.439323617,1.410759562,0.728752107,0.845641695,0.683516296,3.097573615,2.117242045,2.257363299,0.937927026,1.237193172,,,,,
CCR,500,0.1,2/28/2022,1,1,20220818_C28feb22_CCTr1.csv,300,300,12.17188045,0.030592768,0.054017316,0.281437834,0.163630214,0.112977328,0.082621541,1.483225228,0.57197663,7.054505292,1.765689092,0.478125274,0.653792162,0.330118228,5.210141002,1.719962513,2.491100097,0.690442955,1.980478833,,,,,
CCR,101,0.1,2/28/2022,1,1,20220818_C28feb22_HPBr1.csv,300,300,7.965421791,0.015504508,0.026810927,0.155640577,0.091369955,0.061031076,0.044885854,1.403786649,0.543553977,7.7378995,1.729234354,0.439299597,0.597313513,0.293432638,5.8051173,1.703410886,2.550185691,0.667955628,2.035606933,,,,,
