Wavelength nm.,MilliQ,CC3_16apr25_01_fridge1,CS1_16apr25_01_fridge1,CC3_16apr25_BOTR2,CC3_16apr25_BOT_fridge1,CC3_16apr25_01R2,CS1_16apr25_01R2
357,0,0.01,0.014,0.013,0.012,0.009,0.013
358,0.001,0.01,0.014,0.013,0.012,0.009,0.013
359,0,0.009,0.014,0.013,0.011,0.009,0.013
360,0,0.009,0.013,0.012,0.011,0.009,0.012
361,0,0.009,0.013,0.012,0.011,0.009,0.012
362,0,0.009,0.013,0.012,0.011,0.009,0.012
363,0.001,0.009,0.013,0.012,0.011,0.008,0.012
364,0,0.008,0.012,0.012,0.01,0.008,0.012
365,0,0.008,0.012,0.012,0.01,0.008,0.012
366,0.001,0.008,0.012,0.012,0.01,0.008,0.012
367,0,0.008,0.012,0.011,0.01,0.008,0.011
368,0.001,0.008,0.012,0.011,0.01,0.008,0.011
369,0,0.008,0.012,0.011,0.01,0.007,0.011
370,0,0.008,0.011,0.011,0.009,0.007,0.011
371,0,0.008,0.011,0.011,0.009,0.007,0.011
372,0,0.007,0.011,0.01,0.009,0.007,0.011
373,0.001,0.007,0.011,0.01,0.009,0.007,0.011
374,0,0.007,0.011,0.01,0.009,0.007,0.011
375,0,0.007,0.011,0.01,0.009,0.007,0.01
376,0,0.007,0.01,0.01,0.009,0.007,0.01
377,0,0.007,0.01,0.01,0.008,0.007,0.01
378,0,0.007,0.01,0.01,0.009,0.007,0.01
379,0,0.007,0.01,0.009,0.008,0.006,0.01
380,0,0.007,0.01,0.009,0.008,0.006,0.01
381,0,0.006,0.01,0.009,0.008,0.006,0.01
382,0,0.006,0.01,0.009,0.008,0.006,0.01
383,0,0.006,0.01,0.009,0.008,0.006,0.01
384,0,0.006,0.01,0.009,0.008,0.006,0.01
385,0,0.006,0.009,0.009,0.008,0.006,0.009
386,0,0.006,0.009,0.009,0.007,0.006,0.009
387,0,0.006,0.009,0.008,0.007,0.005,0.009
388,0,0.006,0.009,0.008,0.007,0.005,0.009
389,0,0.005,0.009,0.008,0.007,0.005,0.009
390,0,0.005,0.009,0.008,0.007,0.005,0.009
391,0,0.005,0.009,0.008,0.007,0.005,0.009
392,0,0.005,0.008,0.008,0.007,0.005,0.008
393,0,0.005,0.008,0.008,0.006,0.005,0.008
394,0,0.005,0.008,0.008,0.006,0.005,0.008
395,0,0.005,0.008,0.008,0.006,0.005,0.008
396,0,0.005,0.008,0.007,0.006,0.004,0.008
397,0,0.005,0.008,0.007,0.006,0.004,0.008
398,0,0.004,0.008,0.007,0.006,0.004,0.008
399,0,0.004,0.007,0.007,0.006,0.004,0.008
400,0,0.004,0.007,0.007,0.006,0.004,0.008
401,0,0.004,0.007,0.007,0.006,0.004,0.008
402,0,0.004,0.007,0.007,0.006,0.004,0.008
403,0,0.004,0.007,0.007,0.006,0.004,0.008
404,0,0.004,0.007,0.007,0.005,0.004,0.008
405,0,0.004,0.007,0.006,0.005,0.004,0.007
406,0,0.004,0.007,0.006,0.005,0.004,0.007
407,0,0.004,0.007,0.006,0.005,0.004,0.007
408,0,0.004,0.007,0.006,0.005,0.004,0.007
409,0,0.004,0.007,0.006,0.005,0.004,0.007
410,0,0.004,0.007,0.006,0.005,0.004,0.007
411,0,0.004,0.007,0.006,0.005,0.004,0.007
412,0,0.004,0.006,0.006,0.005,0.003,0.007
413,0,0.004,0.006,0.006,0.005,0.004,0.007
414,0,0.004,0.006,0.006,0.005,0.004,0.007
415,0,0.004,0.006,0.006,0.005,0.003,0.007
416,0,0.004,0.006,0.006,0.005,0.004,0.007
417,0,0.003,0.006,0.006,0.005,0.003,0.007
418,0,0.003,0.006,0.006,0.005,0.003,0.007
419,0,0.003,0.006,0.006,0.004,0.003,0.007
420,0,0.003,0.006,0.005,0.004,0.003,0.006
