SIGNAL2,B,C,D
365,0.6514,1.241E4,1.90513E4
366,0.6507,1.114E4,1.712E4
367,0.651,1.179E4,1.81106E4
368,0.6522,1.109E4,1.7004E4
369,0.6501,9980,1.53515E4
370,0.6525,1.096E4,1.67969E4
371,0.6507,1.001E4,1.53834E4
372,0.6509,9540,1.46566E4
373,0.6521,9070,1.39089E4
374,0.6509,8370,1.28591E4
375,0.6508,8460,1.29994E4
376,0.6531,7690,1.17746E4
377,0.6517,7840,1.20301E4
378,0.6513,6860,1.05328E4
379,0.653,6690,1.0245E4
380,0.6509,6790,1.04317E4
381,0.6518,6730,1.03253E4
382,0.6521,7110,1.09032E4
383,0.6523,9210,1.41193E4
384,0.6534,1.223E4,1.87175E4
385,0.6518,1.837E4,2.81835E4
386,0.6518,2.798E4,4.29273E4
387,0.6515,4.172E4,6.40368E4
388,0.6512,6.085E4,9.34429E4
389,0.6519,8.74E4,1.3407E5
390,0.6516,1.1878E5,1.8229E5
391,0.651,1.5195E5,2.3341E5
392,0.6527,1.91E5,2.92631E5
393,0.6505,2.266E5,3.48347E5
394,0.6513,2.5933E5,3.98173E5
395,0.6524,2.901E5,4.44666E5
396,0.6503,3.0568E5,4.7006E5
397,0.6513,3.0887E5,4.74236E5
398,0.6512,3.056E5,4.69287E5
399,0.6515,2.864E5,4.39601E5
400,0.6515,2.6208E5,4.02272E5
401,0.6525,2.2623E5,3.46713E5
402,0.6505,1.9141E5,2.94251E5
403,0.6509,1.5243E5,2.34183E5
404,0.6521,1.1428E5,1.75249E5
405,0.6518,8.629E4,1.32387E5
406,0.6513,6.154E4,9.44879E4
407,0.6527,4.087E4,6.26168E4
408,0.6507,2.716E4,4.17397E4
409,0.6514,1.766E4,2.71108E4
410,0.6526,1.245E4,1.90775E4
411,0.6507,8790,1.35085E4
412,0.6514,6750,1.03623E4
413,0.6511,5860,9000.15359
414,0.6519,4800,7363.0925
415,0.6517,3820,5861.59276
416,0.6504,3330,5119.9262
417,0.6527,2620,4014.0953
418,0.6515,2100,3223.33078
419,0.6517,2280,3498.54227
420,0.6534,2390,3657.79002
421,0.6515,1750,2686.10898
422,0.6513,1590,2441.2713
423,0.6519,1820,2791.83924
424,0.6514,1680,2579.06049
425,0.6511,1640,2518.81431
426,0.6518,1430,2193.92452
427,0.651,1340,2058.37174
428,0.6519,1390,2132.22887
429,0.652,1190,1825.15337
430,0.6514,1390,2133.86552
431,0.6517,1400,2148.22771
432,0.6525,1190,1823.75479
433,0.651,1360,2089.0937
434,0.6509,1100,1689.96774
435,0.6508,1040,1598.03319
436,0.6526,1100,1685.56543
437,0.6507,1120,1721.2233
438,0.6512,1030,1581.69533
439,0.6525,960,1471.26437
440,0.6504,1030,1583.64084
441,0.6526,1160,1777.50536
442,0.6508,1090,1674.86171
443,0.651,1150,1766.51306
444,0.6511,1120,1720.16587
445,0.6509,1440,2212.3214
446,0.6529,1050,1608.20953
447,0.6502,1110,1707.16703
448,0.6522,1210,1855.25912
449,0.6524,960,1471.48988
450,0.6508,1080,1659.496
