Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
245.00	0.001	0.066	0.054	0.070	0.068	0.061	0.049
246.00	0.001	0.065	0.054	0.069	0.068	0.060	0.048
247.00	0.001	0.064	0.053	0.068	0.067	0.060	0.047
248.00	0.001	0.063	0.052	0.067	0.066	0.059	0.047
249.00	0.001	0.063	0.052	0.067	0.066	0.059	0.047
250.00	0.001	0.062	0.051	0.066	0.065	0.058	0.046
251.00	0.001	0.062	0.051	0.066	0.065	0.058	0.046
252.00	0.001	0.061	0.050	0.065	0.064	0.057	0.045
253.00	0.001	0.061	0.050	0.065	0.064	0.057	0.045
254.00	0.001	0.060	0.050	0.064	0.063	0.056	0.044
255.00	0.001	0.060	0.049	0.064	0.063	0.056	0.044
256.00	0.001	0.059	0.049	0.063	0.062	0.055	0.044
257.00	0.001	0.059	0.048	0.063	0.062	0.055	0.043
258.00	0.001	0.058	0.048	0.062	0.061	0.054	0.043
259.00	0.001	0.058	0.047	0.062	0.061	0.054	0.042
260.00	0.001	0.057	0.047	0.061	0.060	0.053	0.042
261.00	0.001	0.057	0.046	0.061	0.060	0.053	0.042
262.00	0.001	0.056	0.046	0.060	0.059	0.052	0.041
263.00	0.001	0.056	0.046	0.059	0.058	0.052	0.041
264.00	0.001	0.055	0.045	0.059	0.058	0.052	0.040
265.00	0.001	0.055	0.045	0.058	0.057	0.051	0.040
266.00	0.001	0.054	0.044	0.057	0.056	0.050	0.040
267.00	0.001	0.053	0.044	0.057	0.056	0.049	0.039
268.00	0.001	0.053	0.043	0.056	0.055	0.049	0.039
269.00	0.001	0.052	0.043	0.055	0.054	0.048	0.039
270.00	0.001	0.052	0.043	0.055	0.054	0.048	0.038
271.00	0.001	0.051	0.042	0.054	0.053	0.047	0.038
272.00	0.001	0.050	0.042	0.053	0.053	0.046	0.037
273.00	0.001	0.049	0.041	0.052	0.052	0.046	0.037
274.00	0.001	0.049	0.041	0.052	0.051	0.045	0.037
275.00	0.001	0.048	0.040	0.051	0.050	0.044	0.036
276.00	0.001	0.047	0.040	0.050	0.050	0.044	0.036
277.00	0.001	0.046	0.039	0.049	0.049	0.043	0.035
278.00	0.001	0.045	0.039	0.049	0.048	0.042	0.035
279.00	0.001	0.044	0.038	0.048	0.047	0.041	0.034
280.00	0.001	0.044	0.038	0.047	0.046	0.040	0.034
281.00	0.001	0.043	0.038	0.046	0.046	0.040	0.034
282.00	0.001	0.042	0.037	0.045	0.045	0.039	0.033
283.00	0.001	0.041	0.037	0.045	0.044	0.038	0.033
284.00	0.001	0.041	0.036	0.044	0.043	0.037	0.032
285.00	0.001	0.040	0.036	0.043	0.043	0.037	0.032
286.00	0.001	0.039	0.036	0.043	0.042	0.036	0.032
287.00	0.001	0.038	0.035	0.042	0.041	0.035	0.031
288.00	0.001	0.037	0.035	0.041	0.040	0.034	0.031
289.00	0.001	0.036	0.034	0.040	0.039	0.034	0.030
290.00	0.001	0.035	0.033	0.039	0.039	0.033	0.030
291.00	0.001	0.035	0.033	0.039	0.038	0.032	0.029
292.00	0.001	0.034	0.033	0.038	0.037	0.032	0.029
293.00	0.001	0.033	0.032	0.037	0.036	0.031	0.029
294.00	0.001	0.032	0.032	0.036	0.035	0.030	0.028
295.00	0.001	0.032	0.031	0.036	0.035	0.030	0.028
296.00	0.001	0.031	0.031	0.035	0.034	0.029	0.028
297.00	0.001	0.030	0.030	0.034	0.034	0.028	0.027
298.00	0.001	0.030	0.030	0.034	0.033	0.028	0.027
299.00	0.001	0.029	0.029	0.033	0.032	0.027	0.026
300.00	0.001	0.028	0.029	0.032	0.031	0.026	0.026
301.00	0.001	0.028	0.029	0.032	0.031	0.026	0.026
