Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
230.00	-0.001	0.082	0.083	0.079	0.076	0.077	0.082	0.078	0.078	0.076	0.083
231.00	-0.001	0.081	0.081	0.077	0.075	0.076	0.081	0.077	0.076	0.075	0.081
232.00	-0.001	0.079	0.079	0.076	0.074	0.075	0.080	0.075	0.074	0.074	0.079
233.00	-0.000	0.078	0.077	0.074	0.073	0.073	0.079	0.074	0.073	0.073	0.077
234.00	-0.000	0.077	0.076	0.073	0.071	0.072	0.077	0.073	0.071	0.072	0.075
235.00	-0.000	0.075	0.074	0.071	0.070	0.071	0.076	0.072	0.070	0.071	0.073
236.00	-0.000	0.074	0.073	0.070	0.069	0.070	0.075	0.071	0.069	0.070	0.072
237.00	-0.000	0.073	0.071	0.069	0.068	0.069	0.074	0.070	0.067	0.069	0.070
238.00	-0.000	0.072	0.070	0.068	0.067	0.068	0.073	0.068	0.066	0.068	0.069
239.00	-0.000	0.071	0.069	0.067	0.066	0.067	0.072	0.067	0.065	0.066	0.068
240.00	0.000	0.070	0.068	0.066	0.065	0.066	0.071	0.066	0.064	0.066	0.067
241.00	0.000	0.069	0.067	0.065	0.064	0.065	0.071	0.065	0.063	0.065	0.066
242.00	-0.000	0.068	0.066	0.064	0.063	0.064	0.070	0.065	0.062	0.064	0.065
243.00	-0.000	0.067	0.065	0.063	0.062	0.063	0.069	0.064	0.061	0.063	0.064
244.00	0.000	0.066	0.064	0.063	0.062	0.063	0.068	0.063	0.061	0.063	0.063
245.00	-0.000	0.065	0.063	0.062	0.061	0.062	0.068	0.062	0.060	0.062	0.062
246.00	-0.000	0.065	0.062	0.061	0.060	0.061	0.067	0.062	0.059	0.061	0.061
247.00	0.000	0.064	0.062	0.061	0.060	0.061	0.066	0.061	0.059	0.061	0.061
248.00	0.000	0.063	0.061	0.060	0.059	0.060	0.066	0.061	0.058	0.060	0.060
249.00	0.000	0.063	0.060	0.060	0.059	0.060	0.065	0.060	0.057	0.059	0.060
250.00	-0.000	0.062	0.060	0.059	0.058	0.059	0.065	0.059	0.057	0.059	0.059
251.00	0.000	0.062	0.059	0.059	0.058	0.059	0.064	0.059	0.056	0.059	0.059
252.00	-0.000	0.061	0.059	0.058	0.057	0.058	0.063	0.058	0.056	0.058	0.058
