Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.021	0.416	0.497	0.375	0.440	0.157	0.424	0.372	0.262	0.436	0.365	0.459	0.455	0.477	0.552
191.00	0.017	0.383	0.461	0.346	0.406	0.149	0.387	0.341	0.244	0.408	0.335	0.421	0.420	0.441	0.512
192.00	0.014	0.353	0.425	0.320	0.375	0.142	0.357	0.310	0.230	0.378	0.310	0.384	0.387	0.404	0.479
193.00	0.012	0.318	0.389	0.290	0.337	0.135	0.323	0.279	0.214	0.347	0.283	0.344	0.351	0.365	0.441
194.00	0.009	0.292	0.361	0.268	0.307	0.128	0.297	0.254	0.202	0.322	0.261	0.313	0.326	0.333	0.411
195.00	0.008	0.267	0.337	0.248	0.281	0.124	0.272	0.230	0.191	0.300	0.242	0.284	0.302	0.303	0.384
196.00	0.008	0.246	0.316	0.231	0.258	0.120	0.251	0.211	0.181	0.282	0.225	0.261	0.283	0.278	0.361
197.00	0.007	0.227	0.298	0.215	0.238	0.116	0.232	0.194	0.173	0.266	0.210	0.240	0.265	0.255	0.340
198.00	0.006	0.211	0.283	0.201	0.221	0.113	0.217	0.179	0.165	0.252	0.197	0.223	0.249	0.236	0.320
199.00	0.006	0.197	0.269	0.190	0.207	0.110	0.204	0.167	0.159	0.241	0.186	0.209	0.238	0.220	0.304
200.00	0.006	0.186	0.259	0.180	0.195	0.108	0.193	0.157	0.154	0.231	0.177	0.197	0.227	0.207	0.290
201.00	0.005	0.175	0.248	0.171	0.184	0.106	0.182	0.147	0.148	0.222	0.168	0.185	0.216	0.195	0.275
202.00	0.004	0.165	0.238	0.163	0.174	0.103	0.173	0.137	0.143	0.213	0.160	0.175	0.208	0.184	0.263
203.00	0.004	0.157	0.230	0.157	0.166	0.102	0.165	0.131	0.140	0.207	0.153	0.167	0.200	0.175	0.252
204.00	0.004	0.149	0.223	0.151	0.158	0.100	0.158	0.125	0.136	0.200	0.147	0.159	0.194	0.167	0.242
205.00	0.003	0.142	0.216	0.146	0.152	0.098	0.151	0.119	0.132	0.194	0.141	0.152	0.187	0.160	0.233
206.00	0.003	0.136	0.210	0.141	0.146	0.096	0.146	0.114	0.128	0.188	0.137	0.147	0.181	0.154	0.225
207.00	0.003	0.131	0.203	0.137	0.141	0.094	0.141	0.110	0.125	0.183	0.132	0.142	0.176	0.148	0.217
208.00	0.003	0.126	0.198	0.134	0.137	0.092	0.136	0.106	0.122	0.178	0.129	0.138	0.171	0.144	0.210
