Wavelength nm.,milliQ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
410,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
411,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
412,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
413,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
414,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
415,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
416,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
417,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
418,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
419,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
420,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
421,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
422,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.004,0.002,0.002,0.002
423,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.004,0.002,0.002,0.002
424,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.004,0.002,0.002,0.002
425,-0.002,0.008,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.004,0.002,0.002,0.002
426,-0.002,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
427,-0.002,0.008,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
428,-0.002,0.008,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
429,-0.002,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
430,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
431,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
432,-0.001,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
433,-0.001,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
434,-0.001,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
435,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
436,-0.001,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
437,-0.001,0.007,0.002,0.004,0.001,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
438,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.002,0.002
439,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
440,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
441,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
442,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
443,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
444,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.004,0.002,0.001,0.002
445,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.003,0.002,0.001,0.002
446,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.003,0.002,0.001,0.002
447,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.006,0.001,0.003,0.002,0.001,0.001
448,-0.001,0.007,0.002,0.004,0,0,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
449,-0.001,0.007,0.002,0.004,0,0,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
450,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
451,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
452,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
453,-0.001,0.007,0.002,0.004,0,0,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
454,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
455,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
456,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
457,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
458,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
459,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
460,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
461,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
462,-0.001,0.007,0.001,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
463,-0.001,0.007,0.001,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
464,-0.001,0.007,0.001,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
465,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
466,-0.001,0.007,0.001,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
467,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
468,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0.001,0.001,0.001
469,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
470,-0.001,0.007,0.002,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
471,-0.001,0.007,0.001,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
472,-0.001,0.007,0.001,0.004,0,0,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
473,-0.001,0.006,0.001,0.004,0,0,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
474,-0.001,0.006,0.001,0.003,0,0,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
475,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
476,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
477,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
478,-0.001,0.006,0.001,0.003,0,0,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
479,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
480,-0.001,0.006,0.001,0.004,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
481,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
482,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
483,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
484,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
485,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
486,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
487,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
488,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
489,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
490,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
491,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
492,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
493,-0.001,0.006,0.001,0.003,0,0,0.001,0,0,0.004,0.001,0.003,0.001,0.001,0.001
494,-0.001,0.006,0.001,0.003,0,0.001,0.001,0,0,0.005,0.001,0.003,0.001,0.001,0.001
495,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
496,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
497,-0.001,0.006,0.001,0.003,0,0.001,0.001,0.001,0,0.005,0.001,0.003,0.001,0.001,0.001
