Wavelength nm.,milliQ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
320,-0.006,0.017,0.01,0.014,0.007,0.008,0.007,0.009,0.008,0.018,0.01,0.014,0.013,0.01,0.01
321,-0.006,0.017,0.01,0.014,0.007,0.008,0.007,0.009,0.008,0.018,0.009,0.014,0.013,0.01,0.01
322,-0.006,0.016,0.01,0.013,0.007,0.007,0.006,0.008,0.008,0.018,0.009,0.014,0.012,0.01,0.01
323,-0.005,0.016,0.01,0.013,0.007,0.007,0.006,0.008,0.008,0.017,0.009,0.014,0.012,0.01,0.01
324,-0.006,0.016,0.01,0.013,0.006,0.007,0.006,0.008,0.007,0.017,0.009,0.014,0.012,0.01,0.009
325,-0.005,0.016,0.01,0.013,0.006,0.007,0.006,0.008,0.007,0.017,0.009,0.014,0.012,0.01,0.009
326,-0.005,0.016,0.009,0.013,0.006,0.007,0.006,0.008,0.007,0.017,0.009,0.013,0.011,0.009,0.009
327,-0.005,0.015,0.009,0.012,0.006,0.006,0.006,0.007,0.007,0.016,0.008,0.013,0.011,0.009,0.009
328,-0.006,0.015,0.009,0.012,0.005,0.006,0.005,0.007,0.007,0.016,0.008,0.012,0.011,0.009,0.009
329,-0.005,0.015,0.009,0.012,0.005,0.006,0.005,0.007,0.007,0.016,0.008,0.012,0.011,0.009,0.009
330,-0.005,0.015,0.009,0.012,0.005,0.006,0.005,0.007,0.006,0.016,0.008,0.012,0.01,0.008,0.008
331,-0.005,0.015,0.008,0.012,0.005,0.006,0.005,0.007,0.007,0.016,0.008,0.012,0.01,0.008,0.008
332,-0.005,0.015,0.008,0.012,0.005,0.006,0.005,0.007,0.006,0.015,0.008,0.012,0.01,0.008,0.008
333,-0.005,0.014,0.008,0.011,0.004,0.005,0.005,0.007,0.006,0.015,0.007,0.012,0.01,0.008,0.008
334,-0.005,0.014,0.008,0.011,0.004,0.005,0.004,0.006,0.006,0.015,0.007,0.011,0.009,0.007,0.007
335,-0.005,0.014,0.008,0.011,0.004,0.005,0.005,0.006,0.006,0.015,0.007,0.011,0.009,0.008,0.007
336,-0.005,0.014,0.008,0.011,0.004,0.005,0.005,0.006,0.006,0.015,0.007,0.011,0.009,0.008,0.007
337,-0.005,0.014,0.008,0.011,0.004,0.005,0.004,0.006,0.005,0.014,0.007,0.011,0.009,0.007,0.007
338,-0.005,0.014,0.007,0.011,0.004,0.005,0.004,0.006,0.005,0.014,0.007,0.011,0.009,0.007,0.007
339,-0.005,0.014,0.007,0.011,0.004,0.005,0.004,0.006,0.006,0.014,0.007,0.011,0.009,0.007,0.007
340,-0.004,0.015,0.008,0.012,0.005,0.006,0.005,0.007,0.006,0.015,0.008,0.012,0.01,0.008,0.008
341,-0.005,0.013,0.006,0.01,0.003,0.004,0.004,0.005,0.005,0.013,0.006,0.011,0.008,0.007,0.007
342,-0.005,0.012,0.006,0.009,0.003,0.003,0.003,0.005,0.004,0.012,0.005,0.01,0.008,0.006,0.006
343,-0.005,0.012,0.006,0.009,0.003,0.003,0.003,0.005,0.004,0.012,0.006,0.01,0.007,0.006,0.006
344,-0.005,0.012,0.006,0.009,0.003,0.003,0.003,0.005,0.004,0.013,0.006,0.01,0.007,0.006,0.006
345,-0.005,0.012,0.006,0.009,0.002,0.003,0.003,0.004,0.003,0.012,0.005,0.009,0.007,0.005,0.006
346,-0.005,0.012,0.006,0.009,0.003,0.003,0.003,0.004,0.004,0.012,0.005,0.009,0.007,0.006,0.006
347,-0.005,0.012,0.005,0.009,0.002,0.003,0.003,0.004,0.004,0.012,0.005,0.009,0.007,0.006,0.006
348,-0.005,0.012,0.005,0.008,0.002,0.003,0.003,0.004,0.003,0.012,0.005,0.009,0.006,0.005,0.005
349,-0.005,0.012,0.005,0.008,0.002,0.003,0.003,0.004,0.003,0.012,0.005,0.009,0.007,0.006,0.006
350,-0.005,0.012,0.005,0.008,0.002,0.003,0.003,0.004,0.003,0.011,0.005,0.009,0.007,0.005,0.005
351,-0.005,0.012,0.005,0.008,0.002,0.003,0.003,0.004,0.003,0.011,0.005,0.009,0.006,0.005,0.005
352,-0.005,0.011,0.005,0.008,0.002,0.003,0.002,0.004,0.003,0.011,0.005,0.008,0.006,0.005,0.005
353,-0.005,0.011,0.005,0.008,0.002,0.003,0.003,0.004,0.003,0.011,0.004,0.008,0.006,0.005,0.005
354,-0.005,0.011,0.005,0.008,0.002,0.003,0.002,0.003,0.003,0.011,0.004,0.008,0.006,0.005,0.005
355,-0.005,0.011,0.005,0.008,0.002,0.003,0.002,0.004,0.003,0.011,0.005,0.008,0.006,0.005,0.005
356,-0.005,0.011,0.005,0.008,0.002,0.003,0.002,0.004,0.003,0.011,0.004,0.008,0.006,0.005,0.005
357,-0.005,0.011,0.004,0.008,0.002,0.002,0.002,0.003,0.003,0.011,0.004,0.008,0.005,0.005,0.005
358,-0.004,0.011,0.004,0.008,0.002,0.002,0.002,0.003,0.003,0.011,0.004,0.008,0.006,0.005,0.005
359,-0.004,0.011,0.005,0.008,0.002,0.002,0.002,0.003,0.003,0.011,0.004,0.008,0.006,0.005,0.005
360,-0.004,0.011,0.005,0.007,0.002,0.002,0.002,0.003,0.003,0.01,0.004,0.008,0.005,0.004,0.005
361,-0.004,0.011,0.004,0.007,0.002,0.002,0.002,0.003,0.003,0.01,0.004,0.007,0.005,0.004,0.005
362,-0.004,0.011,0.004,0.008,0.002,0.002,0.002,0.003,0.003,0.011,0.004,0.008,0.006,0.005,0.005
363,-0.004,0.011,0.004,0.008,0.002,0.002,0.002,0.003,0.003,0.01,0.004,0.007,0.005,0.004,0.005
364,-0.004,0.01,0.004,0.007,0.002,0.002,0.002,0.003,0.002,0.01,0.004,0.007,0.005,0.004,0.005
365,-0.004,0.011,0.004,0.007,0.002,0.002,0.002,0.003,0.002,0.01,0.004,0.007,0.005,0.004,0.004
366,-0.004,0.011,0.004,0.007,0.002,0.002,0.002,0.003,0.003,0.01,0.004,0.007,0.005,0.004,0.004
367,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.01,0.004,0.007,0.005,0.004,0.004
368,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.01,0.003,0.007,0.005,0.004,0.004
369,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.01,0.003,0.007,0.005,0.004,0.004
370,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.002,0.002,0.009,0.003,0.007,0.005,0.004,0.004
371,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.009,0.003,0.007,0.005,0.004,0.004
372,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.009,0.003,0.007,0.004,0.004,0.004
373,-0.004,0.01,0.004,0.007,0.001,0.002,0.002,0.003,0.002,0.009,0.003,0.007,0.005,0.004,0.004
374,-0.003,0.01,0.003,0.006,0.001,0.002,0.001,0.002,0.002,0.009,0.003,0.006,0.004,0.003,0.003
375,-0.004,0.01,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.009,0.003,0.006,0.004,0.003,0.003
376,-0.003,0.01,0.004,0.006,0.001,0.002,0.002,0.002,0.002,0.009,0.003,0.006,0.004,0.004,0.004
377,-0.004,0.01,0.003,0.006,0.001,0.002,0.002,0.002,0.002,0.009,0.003,0.006,0.004,0.003,0.003
378,-0.004,0.01,0.003,0.006,0.001,0.002,0.002,0.002,0.002,0.009,0.003,0.006,0.004,0.003,0.003
379,-0.004,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.006,0.004,0.003,0.003
380,-0.004,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.006,0.004,0.003,0.003
381,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.006,0.003,0.003,0.003
382,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.006,0.003,0.003,0.003
383,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.006,0.003,0.003,0.003
384,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.002,0.005,0.003,0.003,0.003
385,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.002,0.005,0.003,0.003,0.003
386,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.005,0.003,0.003,0.003
387,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.002,0.005,0.003,0.003,0.003
388,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.005,0.003,0.003,0.003
389,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.003,0.005,0.003,0.003,0.003
390,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.001,0.008,0.002,0.005,0.003,0.003,0.003
391,-0.003,0.009,0.003,0.006,0.001,0.001,0.001,0.002,0.002,0.008,0.002,0.005,0.003,0.003,0.003
392,-0.003,0.009,0.003,0.005,0.001,0.001,0.001,0.002,0.001,0.008,0.002,0.005,0.003,0.003,0.003
393,-0.003,0.009,0.003,0.005,0.001,0.001,0.001,0.002,0.001,0.007,0.002,0.005,0.003,0.003,0.003
394,-0.003,0.009,0.003,0.005,0.001,0.001,0.001,0.002,0.001,0.008,0.002,0.005,0.003,0.003,0.003
395,-0.003,0.009,0.003,0.005,0.001,0.001,0.001,0.002,0.001,0.007,0.002,0.005,0.003,0.003,0.003
396,-0.003,0.009,0.003,0.005,0,0.001,0.001,0.002,0.001,0.007,0.002,0.005,0.003,0.003,0.003
397,-0.003,0.008,0.003,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.005,0.003,0.002,0.002
398,-0.003,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.005,0.003,0.002,0.002
399,-0.003,0.008,0.003,0.005,0,0.001,0.001,0.002,0.001,0.007,0.002,0.005,0.003,0.002,0.002
400,-0.002,0.008,0.003,0.005,0,0.001,0.001,0.002,0.001,0.007,0.002,0.005,0.003,0.003,0.003
401,-0.003,0.008,0.003,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.003,0.002,0.002
402,-0.002,0.008,0.003,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.005,0.003,0.002,0.003
403,-0.002,0.008,0.003,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.003,0.002,0.002
404,-0.002,0.008,0.003,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
405,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
406,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
407,-0.002,0.008,0.003,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.003,0.002,0.002
408,-0.002,0.008,0.002,0.005,0.001,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.003,0.002,0.002
409,-0.002,0.008,0.002,0.005,0,0.001,0.001,0.001,0.001,0.007,0.002,0.004,0.002,0.002,0.002
