SIGNAL2,B,C,D
365,0.7072,1.241E4,1.75481E4
366,0.7078,1.166E4,1.64736E4
367,0.7081,1.152E4,1.62689E4
368,0.7081,1.083E4,1.52944E4
369,0.7079,1.116E4,1.57649E4
370,0.7094,1.077E4,1.51818E4
371,0.7083,1.088E4,1.53607E4
372,0.7085,1.002E4,1.41426E4
373,0.7083,1.03E4,1.45419E4
374,0.7066,9450,1.33739E4
375,0.7084,8940,1.262E4
376,0.7073,8500,1.20175E4
377,0.7088,8730,1.23166E4
378,0.7086,6830,9638.72424
379,0.7084,7830,1.10531E4
380,0.7079,6670,9422.23478
381,0.7077,6980,9862.93627
382,0.7074,7410,1.0475E4
383,0.7074,8710,1.23127E4
384,0.7064,1.179E4,1.66903E4
385,0.7075,1.714E4,2.42261E4
386,0.7083,2.823E4,3.9856E4
387,0.7074,4.107E4,5.80577E4
388,0.7086,5.877E4,8.29382E4
389,0.7076,8.717E4,1.23191E5
390,0.7086,1.1648E5,1.6438E5
391,0.7105,1.5257E5,2.14736E5
392,0.7077,1.9232E5,2.71754E5
393,0.7072,2.2986E5,3.25028E5
394,0.709,2.6441E5,3.72934E5
395,0.7097,2.9944E5,4.21925E5
396,0.7094,3.1744E5,4.47477E5
397,0.708,3.25E5,4.5904E5
398,0.7079,3.206E5,4.52889E5
399,0.7079,3.0229E5,4.27024E5
400,0.7077,2.7593E5,3.89897E5
401,0.7102,2.3971E5,3.37525E5
402,0.7085,2.0127E5,2.84079E5
403,0.7071,1.6152E5,2.28426E5
404,0.7079,1.2224E5,1.7268E5
405,0.708,9.219E4,1.30212E5
406,0.7082,6.509E4,9.19091E4
407,0.7086,4.304E4,6.07395E4
408,0.7075,2.898E4,4.09611E4
409,0.7069,1.919E4,2.71467E4
410,0.7079,1.291E4,1.8237E4
411,0.7084,9850,1.39046E4
412,0.7085,7200,1.01623E4
413,0.7077,5950,8407.51731
414,0.7069,5450,7709.71849
415,0.7075,3870,5469.96466
416,0.7083,3580,5054.3555
417,0.7086,3090,4360.71126
418,0.7078,2580,3645.09749
419,0.7084,2440,3444.38171
420,0.7066,2200,3113.50127
421,0.7083,2060,2908.37216
422,0.709,1830,2581.10014
423,0.7083,1770,2498.94113
424,0.7081,1830,2584.38074
425,0.7087,1720,2426.97898
426,0.7081,1920,2711.48143
427,0.7081,1530,2160.71176
428,0.7092,1700,2397.06712
429,0.7081,1640,2316.05705
430,0.7084,1680,2371.5415
431,0.7078,1590,2246.39729
432,0.7075,1330,1879.85866
433,0.7082,1500,2118.04575
434,0.7078,1210,1709.52246
435,0.7084,1450,2046.86618
436,0.7083,1340,1891.85373
437,0.7082,1080,1524.99294
438,0.7083,1560,2202.45659
439,0.7081,1490,2104.22257
440,0.7072,1310,1852.37557
441,0.7089,1490,2101.84793
442,0.7087,1390,1961.33766
443,0.7087,1250,1763.79286
444,0.7091,1320,1861.5146
445,0.7084,1310,1849.23772
446,0.708,1300,1836.15819
447,0.7079,1480,2090.69078
448,0.7073,1230,1739.00749
449,0.7071,1220,1725.35709
450,0.708,1610,2274.0113
