SIGNAL2,B,C,D
270,0.01736,532,3.06395E4
272,0.01737,256,1.4734E4
274,0.01736,220,1.26757E4
276,0.01738,216,1.24258E4
278,0.01737,220,1.26643E4
280,0.01739,256,1.47231E4
282,0.01738,236,1.35823E4
284,0.01738,248,1.42729E4
286,0.01737,324,1.86567E4
288,0.01736,344,1.98152E4
290,0.01738,268,1.54175E4
292,0.01733,340,1.96155E4
294,0.01737,268,1.54314E4
296,0.01738,324,1.86443E4
298,0.01738,340,1.95645E4
300,0.01738,340,1.95605E4
302,0.01737,320,1.84277E4
304,0.01738,428,2.46271E4
306,0.01737,316,1.8191E4
308,0.01737,340,1.95731E4
310,0.01737,360,2.07278E4
312,0.01737,352,2.02658E4
314,0.01737,360,2.07201E4
316,0.01737,420,2.41779E4
318,0.01736,516,2.97242E4
320,0.01737,416,2.39543E4
322,0.01736,316,1.82011E4
324,0.01737,388,2.23394E4
326,0.01736,364,2.09658E4
328,0.0174,464,2.66599E4
330,0.01739,308,1.77077E4
332,0.01739,352,2.02378E4
334,0.0174,476,2.73488E4
336,0.01737,452,2.60219E4
338,0.01738,400,2.30097E4
340,0.01738,352,2.02569E4
342,0.01739,416,2.39163E4
344,0.01738,416,2.39334E4
346,0.0174,440,2.52943E4
348,0.01741,408,2.34386E4
350,0.0174,448,2.57536E4
352,0.01739,412,2.36874E4
354,0.01739,416,2.39245E4
356,0.01739,516,2.96702E4
358,0.01738,436,2.50927E4
360,0.01737,460,2.648E4
362,0.01736,388,2.23477E4
364,0.01741,428,2.45836E4
366,0.01738,472,2.71564E4
368,0.01737,352,2.02616E4
370,0.01738,356,2.04843E4
372,0.01737,432,2.4875E4
374,0.01736,416,2.39598E4
376,0.01738,440,2.53211E4
378,0.01737,420,2.41774E4
380,0.01739,392,2.25375E4
382,0.0174,332,1.90827E4
384,0.01737,440,2.5338E4
386,0.01736,376,2.16555E4
388,0.0174,404,2.32216E4
390,0.01738,360,2.07125E4
392,0.0174,340,1.95407E4
394,0.01741,396,2.27466E4
396,0.0174,352,2.02308E4
398,0.01741,364,2.09075E4
400,0.01738,332,1.91042E4
402,0.01738,400,2.30091E4
404,0.01738,368,2.11762E4
406,0.01741,356,2.04461E4
408,0.01742,340,1.95187E4
410,0.01738,328,1.88753E4
412,0.01737,456,2.62467E4
414,0.01741,304,1.74596E4
416,0.01738,444,2.55478E4
418,0.01739,356,2.04682E4
420,0.01738,388,2.23194E4
422,0.0174,360,2.0692E4
424,0.01742,372,2.13523E4
426,0.01743,260,1.49189E4
428,0.01739,340,1.95465E4
430,0.01739,284,1.63339E4
