"Reservoir","Site","DateTime","Depth_m","d18O_VSMOW","d18O_VSMOW_1sd","d2H_VSMOW","d2H_VSMOW_1sd","Iso_Flag"
"CCR",50,2024-05-22,0.1,-4.995549025,0.033007325,-30.47053979,0.049227787,0
"CCR",50,2024-05-22,1.5,-5.114038908,0.068055997,-31.13485821,0.139487131,0
"CCR",50,2024-05-22,20,-5.378505489,0.046971274,-31.81401715,0.062299908,0
"CCR",50,2024-05-22,6,-5.334660637,0.017039077,-31.28004,0.050113269,0
"CCR",50,2024-05-22,9,-5.193265165,0.0413296,-33.04606175,0.16971188,0
"CCR",90,2024-05-22,0.1,-4.936379838,0.037213663,-30.54115201,0.107043652,0
"CCR",90,2024-05-22,1.5,-5.184325811,0.026589059,-30.54759946,0.088246561,0
"CCR",90,2024-05-22,6,-5.339706258,0.01889721,-32.15692101,0.150066412,0
"CCR",92,2024-05-22,0.1,-5.028527821,0.034067355,-30.96600348,0.119322403,0
"CCR",92,2024-05-22,2,-5.191600226,0.04678851,-30.99634441,0.100542925,0
"CCR",94,2024-05-22,0.1,-4.995535868,0.019055845,-30.70577261,0.220178555,0
"CCR",94,2024-05-22,1.5,-4.981086376,0.042968063,-31.04465181,0.160996226,0
"CCR",96,2024-05-22,0.1,-4.893330629,0.033779085,-30.53684032,0.262695385,0
"CCR",96,2024-05-22,1.5,-5.180295218,0.051374387,-30.79485232,0.22792584,0
"CCR",98,2024-05-22,0.1,-5.19159132,0.030283913,-30.98460392,0.025834071,0
"CCR",98,2024-05-22,0.5,-6.10486486,0.05018959,-35.3615565,0.225472698,0
"CCR",100,2024-05-22,0.1,-6.758875013,0.034008888,-38.99862338,0.0733014,0
"CCR",101,2024-05-22,0.1,-6.844486664,0.052703737,-38.9191347,0.188468361,0
"CCR",88,2024-05-22,0.1,-5.060790748,0.050505023,-30.80309838,0.186089304,0
"CCR",88,2024-05-22,1.5,-5.023560092,0.072391351,-30.91526308,0.177310389,0
"CCR",88,2024-05-22,13,-5.474781844,0.054914288,-32.11288204,0.146336758,0
