SIGNAL1,B
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,3.5E-5
235,0.00017
236,0.00031
237,0.00046
238,0.00063
239,0.00081
240,0.00101
241,0.00122
242,0.00143
243,0.00166
244,0.00188
245,0.00211
246,0.00234
247,0.00258
248,0.00281
249,0.00303
250,0.00326
251,0.0035
252,0.00373
253,0.00398
254,0.00422
255,0.00447
256,0.00472
257,0.00498
258,0.00522
259,0.00547
260,0.0057
261,0.00595
262,0.00618
263,0.00642
264,0.00665
265,0.00691
266,0.00716
267,0.00741
268,0.00768
269,0.00796
270,0.00826
271,0.00857
272,0.00889
273,0.00923
274,0.0096
275,0.01
276,0.01036
277,0.0108
278,0.01125
279,0.01175
280,0.01222
281,0.01276
282,0.0134
283,0.01396
284,0.01456
285,0.01522
286,0.01581
287,0.01658
288,0.01726
289,0.0182
290,0.01908
291,0.01989
292,0.02054
293,0.02134
294,0.02216
295,0.02295
296,0.02381
297,0.02455
298,0.02527
299,0.02606
300,0.02676
301,0.02747
302,0.02813
303,0.02877
304,0.02942
305,0.03002
306,0.03067
307,0.03122
308,0.03188
309,0.03251
310,0.03318
311,0.03394
312,0.03469
313,0.0353
314,0.03592
315,0.03658
316,0.0373
317,0.03801
318,0.03875
319,0.03965
320,0.04046
321,0.0414
322,0.04223
323,0.04297
324,0.04357
325,0.04421
326,0.04499
327,0.0457
328,0.04645
329,0.04713
330,0.0479
331,0.04842
332,0.04913
333,0.04979
334,0.0506
335,0.0512
336,0.05177
337,0.05249
338,0.05297
339,0.05371
340,0.0544
341,0.0549
342,0.05534
343,0.056
344,0.05656
345,0.05698
346,0.05749
347,0.05786
348,0.05837
349,0.0588
350,0.05917
351,0.05946
352,0.05965
353,0.05989
354,0.06009
355,0.06033
356,0.06051
357,0.06053
358,0.06066
359,0.06089
360,0.06106
361,0.06116
362,0.06128
363,0.06126
364,0.0614
365,0.0619
366,0.06219
367,0.0626
368,0.06299
369,0.06357
370,0.06398
371,0.0646
372,0.06518
373,0.06569
374,0.06636
375,0.06724
376,0.06796
377,0.06885
378,0.06969
379,0.07047
380,0.07122
381,0.0719
382,0.07255
383,0.0732
384,0.07381
385,0.07428
386,0.07497
387,0.07589
388,0.0767
389,0.07793
390,0.07887
391,0.07988
392,0.08038
393,0.0815
394,0.08287
395,0.08427
396,0.08555
397,0.08588
398,0.08573
399,0.08486
400,0.08426
401,0.08382
402,0.08388
403,0.0839
404,0.08439
405,0.08487
406,0.0851
407,0.08562
408,0.0863
409,0.08673
410,0.08698
411,0.0877
412,0.08806
413,0.08763
414,0.08735
415,0.08739
416,0.08755
417,0.08846
418,0.09059
419,0.09202
420,0.0904
421,0.08896
422,0.08852
423,0.08828
424,0.08826
425,0.08813
426,0.08818
427,0.08804
428,0.08791
429,0.08787
430,0.08792
431,0.08806
432,0.08829
433,0.08835
434,0.08856
435,0.08946
436,0.09081
437,0.09242
438,0.09252
439,0.09123
440,0.09078
441,0.09071
442,0.09076
443,0.09057
444,0.09053
445,0.09023
446,0.09009
447,0.09112
448,0.09776
449,0.10664
450,0.10481
451,0.10136
452,0.09897
453,0.09501
454,0.09453
455,0.09603
456,0.09879
457,0.10132
458,0.10118
459,0.10003
460,0.10212
461,0.10777
462,0.11247
463,0.11114
464,0.1076
465,0.11011
466,0.12391
467,0.13402
468,0.12785
469,0.1178
470,0.10899
471,0.1071
472,0.11521
473,0.11187
474,0.09808
475,0.09288
476,0.09105
477,0.09057
478,0.09232
479,0.09804
480,0.1032
481,0.10369
482,0.10219
483,0.0992
484,0.09527
485,0.09265
486,0.09121
487,0.09119
488,0.09149
489,0.09335
490,0.09963
491,0.10496
492,0.10271
493,0.0975
494,0.09374
495,0.09174
496,0.09077
497,0.09017
498,0.08986
499,0.08953
500,0.0893
501,0.08945
502,0.09
503,0.08972
504,0.08906
505,0.08866
506,0.08832
507,0.08813
508,0.08798
509,0.08789
510,0.08781
511,0.08785
512,0.08785
513,0.08748
514,0.08707
515,0.08675
516,0.08658
517,0.08638
518,0.08607
519,0.08586
520,0.08546
521,0.08534
522,0.08496
523,0.0847
524,0.08436
525,0.08397
526,0.08367
527,0.08333
528,0.08313
529,0.08264
530,0.08207
531,0.08196
532,0.08166
533,0.08131
534,0.08112
535,0.08061
536,0.08028
537,0.07979
538,0.07965
539,0.07962
540,0.07952
541,0.07942
542,0.07917
543,0.07877
544,0.07861
545,0.07822
546,0.07785
547,0.07743
548,0.07715
549,0.07676
550,0.07667
551,0.07659
552,0.07627
553,0.07592
554,0.07549
555,0.07515
556,0.07518
557,0.0747
558,0.07444
559,0.07386
560,0.07385
561,0.07336
562,0.07303
563,0.07255
564,0.07243
565,0.07208
566,0.07194
567,0.07168
568,0.07164
569,0.0714
570,0.0713
571,0.07088
572,0.07061
573,0.07032
574,0.06992
575,0.06961
576,0.06946
577,0.06916
578,0.069
579,0.06865
580,0.06853
581,0.06825
582,0.06813
583,0.06793
584,0.06768
585,0.06722
586,0.06707
587,0.06667
588,0.06628
589,0.06593
590,0.06538
591,0.06478
592,0.06428
593,0.06389
594,0.06344
595,0.06292
596,0.06238
597,0.06182
598,0.06126
599,0.06096
600,0.06059
