"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no"
"USGS","02018500","CATAWBA CREEK NEAR CATAWBA, VA","ST",372805,800020,37.46818624,-80.00532199,"M","U","NAD27","NAD83","51","51","023","US",NA,"CATAWBA","  24000",1299.69,"X",0.15,"NAVD88","02080201",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,34.3,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
"USGS","02055100","TINKER CREEK NEAR DALEVILLE, VA","ST",372503,795608,37.41763318,-79.9353193,"M","U","NAD27","NAD83","51","51","023","US",NA,"DALEVILLE, VA","  24000",1216.93,"X",0.12,"NAVD88","03010101",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,19901213,11.7,NA,"EST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA
