Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
234.00	-0.000	0.102	0.077	0.043	0.078	0.075	0.083	0.076	0.047	0.074	0.073	0.075	0.070	0.074	0.056	0.059
235.00	-0.000	0.100	0.076	0.043	0.077	0.074	0.082	0.075	0.047	0.073	0.071	0.074	0.069	0.073	0.055	0.058
236.00	0.000	0.099	0.075	0.042	0.076	0.073	0.080	0.074	0.046	0.072	0.070	0.073	0.068	0.072	0.054	0.057
237.00	0.000	0.097	0.073	0.041	0.074	0.072	0.079	0.072	0.045	0.070	0.069	0.071	0.067	0.071	0.053	0.056
238.00	0.000	0.096	0.073	0.041	0.073	0.071	0.078	0.071	0.045	0.069	0.068	0.071	0.066	0.070	0.053	0.055
239.00	0.000	0.095	0.072	0.040	0.073	0.070	0.077	0.070	0.044	0.068	0.067	0.070	0.065	0.069	0.052	0.054
240.00	0.000	0.093	0.071	0.040	0.072	0.069	0.076	0.069	0.044	0.067	0.066	0.069	0.064	0.068	0.051	0.054
241.00	0.000	0.092	0.070	0.039	0.070	0.068	0.075	0.068	0.043	0.066	0.065	0.068	0.063	0.067	0.051	0.053
242.00	0.000	0.091	0.069	0.038	0.070	0.067	0.074	0.067	0.043	0.065	0.064	0.067	0.062	0.066	0.050	0.052
243.00	0.000	0.090	0.068	0.038	0.069	0.066	0.073	0.067	0.042	0.065	0.064	0.066	0.062	0.066	0.049	0.051
244.00	0.000	0.089	0.067	0.038	0.068	0.066	0.072	0.066	0.042	0.064	0.063	0.065	0.061	0.065	0.049	0.051
245.00	0.000	0.088	0.067	0.037	0.067	0.065	0.071	0.065	0.041	0.063	0.062	0.065	0.060	0.064	0.048	0.050
246.00	0.000	0.087	0.066	0.037	0.066	0.064	0.071	0.065	0.041	0.063	0.062	0.064	0.060	0.064	0.048	0.050
247.00	0.000	0.086	0.065	0.037	0.066	0.063	0.070	0.064	0.040	0.062	0.061	0.063	0.059	0.063	0.047	0.049
248.00	0.000	0.085	0.065	0.036	0.065	0.063	0.069	0.063	0.040	0.061	0.060	0.063	0.059	0.062	0.047	0.048
249.00	0.001	0.085	0.064	0.036	0.064	0.062	0.069	0.063	0.040	0.061	0.060	0.062	0.058	0.062	0.046	0.048
250.00	0.000	0.084	0.063	0.036	0.064	0.062	0.068	0.062	0.039	0.060	0.059	0.062	0.058	0.061	0.046	0.047
251.00	0.001	0.083	0.063	0.035	0.063	0.061	0.067	0.062	0.039	0.060	0.059	0.061	0.057	0.061	0.045	0.047
252.00	0.001	0.082	0.063	0.035	0.063	0.061	0.067	0.061	0.039	0.059	0.058	0.061	0.057	0.060	0.045	0.046
253.00	0.000	0.082	0.062	0.035	0.062	0.060	0.066	0.060	0.038	0.059	0.058	0.060	0.056	0.060	0.044	0.046
254.00	0.000	0.081	0.061	0.034	0.061	0.059	0.065	0.060	0.038	0.058	0.057	0.060	0.056	0.059	0.044	0.046
255.00	0.000	0.080	0.061	0.034	0.061	0.059	0.065	0.059	0.037	0.058	0.056	0.059	0.055	0.059	0.043	0.045
256.00	0.000	0.080	0.060	0.034	0.061	0.058	0.064	0.059	0.037	0.057	0.056	0.059	0.055	0.058	0.043	0.045
257.00	0.000	0.079	0.060	0.034	0.060	0.058	0.064	0.059	0.037	0.057	0.056	0.058	0.055	0.058	0.043	0.045
258.00	0.000	0.079	0.059	0.034	0.060	0.057	0.063	0.058	0.036	0.057	0.055	0.058	0.054	0.057	0.042	0.044
259.00	0.001	0.078	0.059	0.033	0.059	0.057	0.063	0.057	0.036	0.056	0.055	0.057	0.054	0.057	0.042	0.044
260.00	0.001	0.077	0.058	0.033	0.058	0.056	0.062	0.057	0.036	0.056	0.054	0.057	0.053	0.056	0.042	0.043
