SIGNAL2,B,C,D
270,0.0089,320,3.59648E4
272,0.0089,248,2.78627E4
274,0.0089,228,2.56122E4
276,0.0089,236,2.65252E4
278,0.00889,232,2.60873E4
280,0.00889,204,2.29368E4
282,0.00889,228,2.56422E4
284,0.00889,216,2.42937E4
286,0.0089,280,3.14706E4
288,0.00889,220,2.47336E4
290,0.00889,312,3.50783E4
292,0.0089,264,2.96643E4
294,0.0089,288,3.23566E4
296,0.00889,280,3.14932E4
298,0.0089,244,2.74219E4
300,0.0089,288,3.2361E4
302,0.00889,348,3.91469E4
304,0.00889,296,3.32839E4
306,0.00889,264,2.96896E4
308,0.00889,272,3.05948E4
310,0.00889,268,3.0134E4
312,0.00889,352,3.95861E4
314,0.00889,404,4.54668E4
316,0.00888,392,4.41223E4
318,0.00889,348,3.91486E4
320,0.00889,368,4.13967E4
322,0.00888,344,3.87248E4
324,0.0089,412,4.63171E4
326,0.0089,376,4.227E4
328,0.00889,364,4.09394E4
330,0.00889,484,5.44236E4
332,0.0089,348,3.91099E4
334,0.00889,324,3.64323E4
336,0.0089,340,3.82074E4
338,0.00891,296,3.32375E4
340,0.0089,396,4.45064E4
342,0.0089,408,4.58365E4
344,0.0089,352,3.9531E4
346,0.0089,324,3.63898E4
348,0.0089,348,3.91046E4
350,0.0089,340,3.8204E4
352,0.0089,364,4.08989E4
354,0.0089,356,4.00054E4
356,0.00891,316,3.54817E4
358,0.00891,368,4.12963E4
360,0.00891,404,4.53505E4
362,0.00891,384,4.3117E4
364,0.00891,388,4.35427E4
366,0.00891,308,3.45788E4
368,0.00891,360,4.04077E4
370,0.00891,304,3.41052E4
372,0.00891,412,4.62153E4
374,0.00891,336,3.77104E4
376,0.00892,400,4.48591E4
378,0.00892,352,3.94637E4
380,0.00892,392,4.39285E4
382,0.00892,356,3.99103E4
384,0.00892,280,3.13817E4
386,0.00892,296,3.31734E4
388,0.00892,344,3.85789E4
390,0.00891,368,4.12945E4
392,0.00891,312,3.50278E4
394,0.00892,280,3.14056E4
396,0.00892,408,4.57604E4
398,0.00891,388,4.35231E4
400,0.00892,328,3.67565E4
402,0.00894,360,4.02883E4
404,0.00893,336,3.76226E4
406,0.00893,376,4.21034E4
408,0.00892,240,2.69119E4
410,0.00892,344,3.85581E4
412,0.00892,328,3.67795E4
414,0.00892,328,3.67697E4
416,0.00892,288,3.22711E4
418,0.00892,276,3.09514E4
420,0.00891,288,3.23058E4
422,0.00892,264,2.96004E4
424,0.00892,316,3.54276E4
426,0.00892,252,2.82537E4
428,0.00892,276,3.09292E4
430,0.00892,300,3.36444E4
