Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
216.00	0.001	0.102	0.117	0.104	0.106	0.100	0.141	0.145	0.141	0.073
217.00	0.001	0.099	0.114	0.101	0.103	0.097	0.136	0.139	0.136	0.071
218.00	0.001	0.096	0.111	0.098	0.100	0.094	0.131	0.135	0.131	0.070
219.00	0.001	0.094	0.108	0.095	0.097	0.092	0.126	0.130	0.126	0.068
220.00	0.001	0.091	0.106	0.093	0.094	0.089	0.121	0.126	0.121	0.067
221.00	0.001	0.088	0.103	0.090	0.091	0.086	0.117	0.121	0.116	0.065
222.00	0.001	0.086	0.100	0.088	0.088	0.084	0.113	0.117	0.112	0.064
223.00	0.001	0.083	0.098	0.085	0.086	0.082	0.109	0.113	0.108	0.063
224.00	0.001	0.081	0.096	0.083	0.084	0.080	0.105	0.110	0.104	0.062
225.00	0.001	0.079	0.094	0.080	0.081	0.078	0.102	0.106	0.101	0.061
226.00	0.001	0.077	0.092	0.078	0.079	0.076	0.098	0.103	0.097	0.059
227.00	0.001	0.075	0.090	0.076	0.077	0.074	0.095	0.100	0.094	0.058
228.00	0.001	0.073	0.088	0.074	0.075	0.072	0.092	0.097	0.091	0.057
229.00	0.001	0.072	0.086	0.073	0.074	0.070	0.089	0.095	0.088	0.056
230.00	0.001	0.070	0.084	0.071	0.072	0.068	0.087	0.092	0.086	0.055
231.00	0.001	0.068	0.082	0.069	0.070	0.067	0.085	0.090	0.083	0.054
232.00	0.001	0.067	0.081	0.068	0.069	0.066	0.082	0.088	0.081	0.053
233.00	0.001	0.065	0.079	0.067	0.067	0.064	0.080	0.086	0.079	0.052
234.00	0.001	0.064	0.078	0.065	0.066	0.063	0.079	0.084	0.078	0.051
235.00	0.000	0.063	0.076	0.064	0.065	0.062	0.077	0.082	0.076	0.050
236.00	0.000	0.062	0.075	0.063	0.063	0.061	0.075	0.080	0.074	0.049
237.00	0.001	0.060	0.074	0.061	0.062	0.060	0.074	0.079	0.073	0.049
238.00	0.001	0.059	0.073	0.060	0.061	0.059	0.073	0.077	0.071	0.048
239.00	0.001	0.058	0.072	0.059	0.060	0.058	0.071	0.076	0.070	0.047
240.00	0.001	0.058	0.070	0.059	0.059	0.057	0.070	0.075	0.069	0.047
241.00	0.000	0.057	0.069	0.058	0.058	0.056	0.069	0.074	0.068	0.046
242.00	0.000	0.056	0.068	0.057	0.057	0.055	0.068	0.073	0.067	0.045
243.00	0.000	0.055	0.068	0.056	0.056	0.055	0.067	0.072	0.066	0.045
244.00	0.000	0.054	0.067	0.055	0.056	0.054	0.066	0.071	0.065	0.044
245.00	0.000	0.054	0.066	0.055	0.055	0.053	0.065	0.070	0.065	0.044
246.00	0.000	0.053	0.065	0.054	0.054	0.053	0.065	0.069	0.064	0.043
247.00	0.000	0.052	0.064	0.053	0.054	0.052	0.064	0.069	0.063	0.042
248.00	0.000	0.052	0.064	0.053	0.053	0.052	0.063	0.068	0.062	0.042
249.00	0.000	0.051	0.063	0.053	0.052	0.051	0.062	0.067	0.062	0.041
250.00	0.000	0.051	0.063	0.052	0.052	0.051	0.062	0.067	0.061	0.041
251.00	0.000	0.051	0.062	0.052	0.052	0.050	0.061	0.066	0.061	0.041
252.00	0.000	0.050	0.062	0.051	0.051	0.050	0.061	0.065	0.060	0.040
253.00	0.000	0.050	0.061	0.051	0.051	0.050	0.060	0.065	0.060	0.040
254.00	0.000	0.049	0.061	0.050	0.050	0.049	0.060	0.064	0.059	0.040
