Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.019	0.536	0.375	0.471	0.317	0.399	0.311	0.426
191.00	0.015	0.502	0.362	0.434	0.303	0.365	0.298	0.410
192.00	0.013	0.464	0.348	0.399	0.291	0.334	0.287	0.397
193.00	0.012	0.426	0.335	0.361	0.276	0.302	0.277	0.384
194.00	0.010	0.396	0.325	0.331	0.264	0.274	0.268	0.372
195.00	0.010	0.368	0.316	0.304	0.252	0.248	0.260	0.360
196.00	0.009	0.344	0.309	0.281	0.242	0.228	0.253	0.349
197.00	0.008	0.322	0.301	0.261	0.233	0.209	0.248	0.339
198.00	0.008	0.303	0.296	0.244	0.225	0.193	0.242	0.329
199.00	0.008	0.287	0.291	0.229	0.217	0.179	0.237	0.321
200.00	0.008	0.274	0.288	0.217	0.211	0.169	0.233	0.313
201.00	0.007	0.260	0.283	0.205	0.205	0.158	0.228	0.305
202.00	0.007	0.249	0.279	0.194	0.199	0.149	0.224	0.297
203.00	0.007	0.240	0.275	0.186	0.194	0.141	0.220	0.291
204.00	0.007	0.231	0.271	0.178	0.190	0.134	0.216	0.283
205.00	0.006	0.222	0.267	0.170	0.185	0.128	0.211	0.276
206.00	0.006	0.215	0.262	0.164	0.180	0.123	0.207	0.269
207.00	0.006	0.208	0.258	0.159	0.176	0.119	0.203	0.262
208.00	0.006	0.202	0.252	0.154	0.171	0.115	0.198	0.255
209.00	0.005	0.195	0.247	0.149	0.166	0.111	0.193	0.248
210.00	0.005	0.188	0.241	0.144	0.162	0.107	0.188	0.240
211.00	0.005	0.182	0.236	0.139	0.157	0.104	0.182	0.232
212.00	0.005	0.176	0.230	0.135	0.152	0.101	0.176	0.224
213.00	0.005	0.169	0.223	0.131	0.147	0.098	0.170	0.215
214.00	0.004	0.163	0.217	0.127	0.142	0.095	0.164	0.206
215.00	0.004	0.156	0.212	0.123	0.137	0.093	0.158	0.198
216.00	0.004	0.150	0.206	0.119	0.131	0.090	0.151	0.188
217.00	0.004	0.143	0.201	0.115	0.127	0.088	0.145	0.180
218.00	0.004	0.138	0.196	0.112	0.122	0.086	0.140	0.172
219.00	0.004	0.133	0.192	0.109	0.118	0.084	0.134	0.165
220.00	0.004	0.127	0.188	0.106	0.113	0.082	0.129	0.157
221.00	0.004	0.122	0.183	0.103	0.109	0.081	0.124	0.151
