SIGNAL1,B
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,2.3E-5
241,0.00012
242,0.00022
243,0.00033
244,0.00044
245,0.00055
246,0.00067
247,0.00079
248,0.00092
249,0.00105
250,0.00118
251,0.00131
252,0.00146
253,0.0016
254,0.00175
255,0.00191
256,0.00206
257,0.00222
258,0.00237
259,0.00253
260,0.00269
261,0.00285
262,0.00301
263,0.00317
264,0.00333
265,0.00351
266,0.00368
267,0.00385
268,0.00402
269,0.00421
270,0.00441
271,0.00462
272,0.00482
273,0.00504
274,0.0053
275,0.00556
276,0.00582
277,0.00611
278,0.00641
279,0.00672
280,0.00705
281,0.00741
282,0.0078
283,0.00819
284,0.00858
285,0.009
286,0.00945
287,0.00991
288,0.0104
289,0.01099
290,0.01167
291,0.0122
292,0.01264
293,0.01311
294,0.01366
295,0.01422
296,0.01483
297,0.01535
298,0.01587
299,0.01639
300,0.01689
301,0.01739
302,0.01789
303,0.01835
304,0.01879
305,0.01924
306,0.01966
307,0.0201
308,0.02055
309,0.021
310,0.02148
311,0.02203
312,0.0226
313,0.02302
314,0.02349
315,0.02392
316,0.02442
317,0.02496
318,0.02554
319,0.02613
320,0.02673
321,0.02744
322,0.02805
323,0.02844
324,0.02888
325,0.02941
326,0.0299
327,0.03046
328,0.03094
329,0.03153
330,0.03203
331,0.03255
332,0.03307
333,0.03353
334,0.03405
335,0.03455
336,0.03503
337,0.03551
338,0.03594
339,0.03642
340,0.03685
341,0.03726
342,0.03771
343,0.03814
344,0.03852
345,0.03889
346,0.03927
347,0.03964
348,0.03997
349,0.04022
350,0.0405
351,0.0408
352,0.04106
353,0.04122
354,0.04137
355,0.04154
356,0.04167
357,0.04179
358,0.0419
359,0.04199
360,0.04208
361,0.0422
362,0.04234
363,0.04249
364,0.04269
365,0.04293
366,0.04318
367,0.04353
368,0.04385
369,0.04422
370,0.04464
371,0.04497
372,0.04532
373,0.0458
374,0.04627
375,0.04679
376,0.0474
377,0.04806
378,0.04867
379,0.04933
380,0.04993
381,0.05037
382,0.05069
383,0.0512
384,0.05158
385,0.05207
386,0.05249
387,0.05309
388,0.05384
389,0.05476
390,0.05561
391,0.05632
392,0.05717
393,0.05795
394,0.05906
395,0.06046
396,0.06146
397,0.0619
398,0.06155
399,0.06083
400,0.06012
401,0.05967
402,0.05948
403,0.05956
404,0.05995
405,0.06034
406,0.0606
407,0.06108
408,0.06168
409,0.062
410,0.06233
411,0.06274
412,0.0631
413,0.06284
414,0.06248
415,0.06235
416,0.06238
417,0.06304
418,0.06495
419,0.06631
420,0.06508
421,0.06373
422,0.06324
423,0.06313
424,0.06318
425,0.06317
426,0.0631
427,0.06313
428,0.06301
429,0.06303
430,0.06304
431,0.06313
432,0.0632
433,0.0633
434,0.06356
435,0.06406
436,0.06521
437,0.06675
438,0.0669
439,0.06572
440,0.06523
441,0.06532
442,0.0652
443,0.06507
444,0.06494
445,0.06473
446,0.06458
447,0.0651
448,0.07004
449,0.0782
450,0.07696
451,0.07356
452,0.07225
453,0.06861
454,0.06802
455,0.06929
456,0.07177
457,0.07421
458,0.07389
459,0.07268
460,0.07461
461,0.07999
462,0.08427
463,0.08286
464,0.07859
465,0.0803
466,0.09339
467,0.10381
468,0.09794
469,0.08799
470,0.07986
471,0.0769
472,0.08462
473,0.08273
474,0.07088
475,0.0666
476,0.06518
477,0.06489
478,0.06639
479,0.07168
480,0.07675
481,0.07708
482,0.07555
483,0.07291
484,0.0696
485,0.06739
486,0.06606
487,0.06601
488,0.06616
489,0.0674
490,0.07306
491,0.07828
492,0.07644
493,0.07156
494,0.06824
495,0.06644
496,0.06563
497,0.06526
498,0.06495
499,0.06477
500,0.06483
501,0.06508
502,0.06555
503,0.06537
504,0.06486
505,0.06444
506,0.06419
507,0.06401
508,0.06389
509,0.06382
510,0.06373
511,0.06384
512,0.06392
513,0.06379
514,0.06343
515,0.06326
516,0.06311
517,0.0629
518,0.06286
519,0.06266
520,0.06242
521,0.06217
522,0.06196
523,0.06169
524,0.0614
525,0.06121
526,0.06102
527,0.06082
528,0.0606
529,0.06023
530,0.05994
531,0.05971
532,0.05958
533,0.05948
534,0.05921
535,0.05902
536,0.05869
537,0.05838
538,0.05819
539,0.05823
540,0.05824
541,0.05813
542,0.05795
543,0.05771
544,0.05749
545,0.0573
546,0.05705
547,0.05685
548,0.05653
549,0.05631
550,0.05609
551,0.05603
552,0.05587
553,0.05554
554,0.05533
555,0.05507
556,0.05484
557,0.05458
558,0.05442
559,0.0542
560,0.054
561,0.05382
562,0.05355
563,0.05337
564,0.05302
565,0.05291
566,0.05282
567,0.05272
568,0.05271
569,0.05258
570,0.05235
571,0.05208
572,0.05183
573,0.05161
574,0.05151
575,0.05137
576,0.05118
577,0.05099
578,0.0508
579,0.05067
580,0.05047
581,0.05039
582,0.05028
583,0.05016
584,0.05006
585,0.04982
586,0.04962
587,0.04934
588,0.04908
589,0.04877
590,0.04841
591,0.04795
592,0.04755
593,0.04708
594,0.04668
595,0.04625
596,0.04587
597,0.04547
598,0.04512
599,0.04477
600,0.0445
