F1,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450
300,1.05667E5,6.05644E4,7.38304E4,6.69737E4,9.39955E4,2.41262E5,9.13441E5,7.59636E5,1.88871E5,9.08694E4,2.01797E5,6.00813E6,1.71162E7,6.88497E6,1.58395E5,1.66463E4,8858.39371,8008.19443,5659.2853,5159.25978,4206.00056,3352.19311,2999.5228,3405.65505,3010.66824,3190.73884,2445.36619,2309.6387,2139.27515,3047.56857,1753.72667,1641.06145,1623.86272,1659.36852,1646.68982,1190.87,1150.04882,1079.65187,1597.79614,1097.60034,1146.13181,1100.16764,1059.62817
302,1.07964E5,8.86779E4,8.46675E4,6.98529E4,1.01571E5,1.76932E5,6.96209E5,1.00647E6,3.18739E5,9.7931E4,8.01358E4,2.16444E6,1.57579E7,1.28584E7,1.29734E6,2.19273E4,1.09882E4,8206.27594,6327.07775,5619.3209,3922.22783,2979.99149,3971.02684,3835.68013,2946.47242,2663.58589,2566.20341,2736.78325,2523.85179,3327.45615,1528.82206,1512.50727,1890.70786,1626.11002,1522.10409,1456.15003,1431.67028,1168.1728,1299.84578,1246.64159,1113.822,1204.56688,1059.32203
304,1.03296E5,8.125E4,6.86389E4,9.38622E4,1.11948E5,1.48291E5,4.73831E5,1.09507E6,5.34758E5,1.14867E5,7.81798E4,4.63183E5,1.06314E7,1.67159E7,4.49568E6,5.11003E4,1.36467E4,8975.19582,6783.15374,6017.25478,4576.95828,3562.56647,3680.66797,4033.32891,2961.04831,2950.51474,2473.14321,2545.35289,2275.62857,3005.4681,2041.83891,1513.38766,1960.10608,1994.9262,1197.26978,1235.2487,1409.67252,1200.44053,1300.56211,1172.54733,913.14504,1184.23811,1212.82125
306,1.46206E5,8.05948E4,7.70311E4,8.87683E4,1.18121E5,1.49683E5,2.97765E5,9.91829E5,8.08511E5,1.64728E5,7.28435E4,8.66134E4,4.82208E6,1.67895E7,9.88217E6,5.5343E5,1.55275E4,1.00763E4,8170.17992,5879.5392,5512.16413,3809.1526,3734.3337,3692.3691,3336.71366,2919.09925,3307.42006,2871.48979,2720.10658,2965.98387,2079.41876,1431.39765,1798.47821,1845.44406,1622.64996,1125.45515,1377.29097,1124.83458,1552.52147,1226.59781,1230.76923,1215.04137,1251.56446
308,1.28875E5,7.81201E4,7.5001E4,1.00608E5,1.14748E5,1.39344E5,1.97724E5,7.48154E5,1.02903E6,2.87356E5,7.48546E4,7.2255E4,1.2164E6,1.26978E7,1.53523E7,3.02111E6,2.52886E4,1.17782E4,7898.18213,6492.21333,5773.21899,4186.40129,3938.01463,3802.9128,3027.03056,3093.79158,3262.11311,2561.68659,2625.2917,3273.12723,2128.45875,1653.08498,1487.54613,2087.17712,1701.74653,1568.0212,1400.04341,1178.67372,1629.95595,1292.26793,1146.25345,1204.69307,1299.95185
310,1.19476E5,9.92324E4,9.06247E4,9.4425E4,1.17957E5,1.38668E5,1.76083E5,4.79737E5,1.08885E6,4.97527E5,8.74647E4,6.40147E4,1.65671E5,6.90486E6,1.74054E7,8.28123E6,1.67123E5,1.58361E4,9213.52176,6750.16427,5512.98823,4254.11231,4500.81833,4203.21637,3565.82047,3771.82845,3048.63895,2647.48709,2400.81045,3362.18992,2218.04511,1746.6232,1970.72721,1889.61862,2016.35488,1159.58034,1280.24303,1134.73615,1542.18991,1387.39514,1168.59662,1225.77266,1088.84178
312,1.6026E5,9.05514E4,9.03687E4,1.05998E5,1.14681E5,1.4878E5,1.66184E5,2.97979E5,9.71679E5,7.54759E5,1.37808E5,6.06705E4,7.21079E4,2.48486E6,1.52083E7,1.53342E7,1.30041E6,2.06599E4,1.04033E4,7293.88788,5570.40582,5037.96211,4412.86717,4170.33579,3632.37724,3449.6037,3371.58588,2901.41094,2733.41566,3219.6518,2018.80878,1514.09271,2039.64047,1971.40881,1948.27007,1501.60097,1498.53404,1080.48512,1507.98019,1354.98441,933.98429,1268.21088,1107.47304
314,1.72954E5,8.93582E4,9.43283E4,9.39552E4,1.12241E5,1.3863E5,1.66189E5,2.11884E5,7.04845E5,9.74993E5,2.59793E5,6.83927E4,6.70705E4,4.66923E5,9.65594E6,2.05162E7,4.67445E6,5.5329E4,1.27451E4,8646.27951,5439.35401,4578.44581,4788.43958,4469.62648,3745.62465,3404.41932,3185.00881,2588.76828,2679.10437,3177.79779,1841.413,1619.29171,1924.40655,1762.0638,2060.00896,1534.21634,1367.1875,1234.29579,1464.11273,1387.99225,1178.34395,1278.1561,1020.89955
316,1.33504E5,1.08071E5,1.03176E5,1.01478E5,1.19397E5,1.39112E5,1.73122E5,1.80663E5,4.62094E5,1.01599E6,4.64111E5,8.15727E4,6.29286E4,8.29562E4,4.13074E6,2.08895E7,1.02175E7,6.82817E5,1.80964E4,9332.59044,6765.59638,5493.33711,5522.13113,4820.31847,4174.85265,3320.28744,3525.59146,2810.7249,2898.79194,3127.31899,2215.82374,1769.29345,1937.26937,1947.22894,1946.30872,1555.60459,1204.42708,1234.15978,1728.31352,1421.18863,955.41401,1289.30818,1251.80549
318,1.70633E5,1.02506E5,9.86803E4,1.07478E5,1.22535E5,1.42862E5,1.66729E5,1.71549E5,2.8351E5,8.93646E5,7.03917E5,1.2764E5,6.14303E4,6.01873E4,1.08643E6,1.64259E7,1.53096E7,3.24599E6,2.7278E4,1.10651E4,7872.54334,5514.77107,5435.70869,5646.71494,3726.52534,3644.88833,3171.01844,3074.47888,2456.11601,3061.22449,1965.69425,1851.20503,2100.16155,2237.08487,2082.63352,1589.05319,1454.30866,1554.0615,1694.72873,1442.72179,965.72217,1309.72339,1107.68638
320,1.62488E5,1.0617E5,9.26594E4,1.07728E5,1.24973E5,1.51567E5,1.64692E5,1.70795E5,1.96654E5,6.5169E5,8.9799E5,2.4503E5,6.01268E4,5.28194E4,1.47232E5,9.13396E6,1.7727E7,8.74433E6,2.52822E5,1.52324E4,8210.97915,5851.68635,5528.1612,5983.84362,4493.02356,3657.18685,4191.6075,3326.46453,2748.66384,3335.76014,2078.11718,1862.63097,1995.84679,2063.16275,2152.7077,1479.19196,1333.62247,1134.98623,1574.19639,1698.92473,1179.09496,1382.923,1290.81977
322,1.62715E5,1.08709E5,9.91092E4,1.2563E5,1.24206E5,1.524E5,1.69898E5,1.68902E5,1.69314E5,4.16115E5,9.52329E5,4.32468E5,7.26696E4,5.2745E4,6.09004E4,3.31473E6,1.59267E7,1.46931E7,1.65359E6,1.99721E4,9878.76066,6988.29372,5547.02168,6543.00281,5105.46383,4331.01811,3434.88419,3104.08238,2692.12622,3191.63025,1790.18528,1956.44579,2225.04035,2258.58493,2026.19501,1798.91844,1322.78001,1377.10697,1519.32181,1259.68992,1157.72703,1288.4978,1203.07988
324,1.73055E5,1.20015E5,1.1396E5,1.19162E5,1.24112E5,1.40754E5,1.58502E5,1.76932E5,1.64247E5,2.49927E5,8.45152E5,6.75639E5,1.18705E5,5.40359E4,5.29079E4,5.9708E5,1.08475E7,1.83011E7,5.45277E6,6.6676E4,1.23579E4,7625.73597,6430.15521,6530.95139,4842.69424,4043.6457,3696.7719,3295.66855,2691.93945,3047.36668,2493.73434,1839.77643,1810.42435,2199.95393,1734.16872,1698.0924,1496.09714,1443.52617,1817.58096,1097.24613,1231.94562,1444.57239,1434.62353
326,1.83486E5,1.25633E5,1.11236E5,1.13202E5,1.28379E5,1.47924E5,1.68852E5,1.67007E5,1.59299E5,1.83767E5,6.14366E5,8.35957E5,2.20447E5,5.29457E4,5.0166E4,8.95582E4,5.22519E6,1.80193E7,1.10243E7,6.66567E5,1.73874E4,8864.46237,6494.17059,7698.70303,4939.64474,4335.26012,3835.32832,3885.49562,2927.303,3416.44928,2191.33484,1978.81504,2235.79578,2200.20735,2181.94025,1511.64074,1497.07095,1477.72386,1552.35054,1300.23641,977.57943,1287.55365,1338.46895
328,1.88219E5,1.1994E5,1.12391E5,1.14202E5,1.17718E5,1.56619E5,1.66527E5,1.67537E5,1.61276E5,1.47632E5,4.02396E5,8.7782E5,3.93828E5,6.54047E4,4.75228E4,6.57217E4,1.52857E6,1.41979E7,1.56933E7,2.86241E6,2.87001E4,1.09619E4,7164.54573,7115.78107,5672.71538,5039.80483,3741.09172,3561.70432,2442.20576,3695.70689,2530.06012,2070.9715,2075.64576,2305.4755,2048.5839,1522.67461,2126.04404,1708.55379,1487.1117,1409.05668,1359.24392,1183.74188,1290.32258
330,1.75194E5,1.29903E5,1.35558E5,1.19368E5,1.34788E5,1.50562E5,1.70349E5,1.81808E5,1.62115E5,1.48253E5,2.32232E5,7.82818E5,6.11653E5,1.03242E5,4.89911E4,5.54101E4,2.10613E5,8.06172E6,1.73062E7,7.48895E6,2.50626E5,1.41839E4,8698.76682,7669.65578,5413.89293,5422.14094,4732.1539,3459.18893,3622.03195,3458.69444,2866.0826,2176.4432,2202.99885,2201.72911,2205.55307,1401.1474,1573.00933,1333.62725,1838.59958,1279.98279,1411.44009,1215.29597,1492.53731
332,1.8787E5,1.36875E5,1.34794E5,1.25329E5,1.32398E5,1.56664E5,1.73821E5,1.79432E5,1.66027E5,1.42037E5,1.68655E5,5.93284E5,7.70778E5,1.9489E5,5.11782E4,5.28623E4,6.62157E4,3.1148E6,1.53485E7,1.24978E7,1.56802E6,1.91067E4,9769.6544,8808.37627,5809.00641,5191.22619,5174.944,3884.80951,3207.66507,3790.69028,2405.41218,2202.02726,2272.46511,2237.60092,2171.72283,1843.6741,1790.36458,1697.34377,1782.17822,1484.34979,1336.7282,1352.4848,1291.56627
334,2.02091E5,1.60434E5,1.35937E5,1.21958E5,1.42547E5,1.50629E5,1.75819E5,1.84701E5,1.76132E5,1.48754E5,1.3331E5,3.85986E5,8.45086E5,3.49945E5,6.00247E4,5.27364E4,5.55783E4,6.62111E5,1.03048E7,1.57459E7,5.08879E6,6.55081E4,1.27766E4,1.03334E4,6462.37914,5901.97588,5624.57507,4205.51128,3414.29563,3740.59876,2704.73328,2130.13619,2214.27748,2075.16717,2114.80363,1764.64101,1649.66356,1629.77646,1805.57085,1570.56799,1135.63999,1352.4848,1522.158
