SIGNAL2,B,C,D
365,0.624,1.188E4,1.90385E4
366,0.6238,1.146E4,1.83713E4
367,0.6239,1.053E4,1.68777E4
368,0.6242,1.083E4,1.73502E4
369,0.6234,1.047E4,1.6795E4
370,0.6242,9970,1.59724E4
371,0.6232,1.014E4,1.62709E4
372,0.6245,9460,1.51481E4
373,0.6236,9580,1.53624E4
374,0.6236,8380,1.34381E4
375,0.6244,7750,1.24119E4
376,0.6231,7700,1.23576E4
377,0.6256,7270,1.16208E4
378,0.624,7240,1.16026E4
379,0.6243,6450,1.03316E4
380,0.6241,6800,1.08957E4
381,0.624,7100,1.13782E4
382,0.624,7320,1.17308E4
383,0.6242,8520,1.36495E4
384,0.6236,1.165E4,1.86818E4
385,0.6238,1.721E4,2.7589E4
386,0.624,2.618E4,4.19551E4
387,0.6236,3.878E4,6.21873E4
388,0.6243,5.645E4,9.04213E4
389,0.6232,8.172E4,1.3113E5
390,0.6236,1.1053E5,1.77245E5
391,0.6247,1.4262E5,2.28302E5
392,0.6242,1.8104E5,2.90035E5
393,0.6243,2.1766E5,3.48646E5
394,0.6241,2.5118E5,4.02468E5
395,0.6243,2.8156E5,4.51001E5
396,0.6244,2.9785E5,4.77018E5
397,0.625,3.0911E5,4.94576E5
398,0.6234,3.0111E5,4.83013E5
399,0.6227,2.8732E5,4.6141E5
400,0.6248,2.6191E5,4.1919E5
401,0.6248,2.2836E5,3.65493E5
402,0.6238,1.93E5,3.09394E5
403,0.6255,1.5553E5,2.48649E5
404,0.6241,1.1505E5,1.84345E5
405,0.6247,8.852E4,1.417E5
406,0.6245,6.299E4,1.00865E5
407,0.6241,4.227E4,6.77295E4
408,0.6249,2.767E4,4.42791E4
409,0.6241,1.864E4,2.9867E4
410,0.624,1.299E4,2.08173E4
411,0.6242,9480,1.51874E4
412,0.6237,7590,1.21693E4
413,0.6248,6320,1.01152E4
414,0.6237,4980,7984.60798
415,0.6244,4340,6950.67265
416,0.6252,3740,5982.08573
417,0.624,3010,4823.71795
418,0.6248,2860,4577.46479
419,0.6254,2350,3757.59514
420,0.6233,2430,3898.6042
421,0.625,1860,2976
422,0.6243,1690,2707.03188
423,0.6239,1640,2628.62638
424,0.6247,1850,2961.42148
425,0.6238,1550,2484.77076
426,0.6248,1800,2880.9219
427,0.6242,1580,2531.23999
428,0.6239,1590,2548.48533
429,0.6247,1350,2161.0373
430,0.6246,1440,2305.4755
431,0.6242,1250,2002.56328
432,0.6258,1260,2013.42282
433,0.624,1390,2227.5641
434,0.6246,1800,2881.84438
435,0.6247,1330,2129.02193
436,0.6238,1420,2276.37063
437,0.6247,1320,2113.01425
438,0.6241,1380,2211.18411
439,0.6249,1470,2352.37638
440,0.6243,1540,2466.76277
441,0.6234,1340,2149.50273
442,0.6261,1430,2283.98019
443,0.6243,1190,1906.13487
444,0.6245,1370,2193.755
445,0.6255,1710,2733.81295
446,0.624,1230,1971.15385
447,0.6248,1370,2192.70166
448,0.6254,1270,2030.70035
449,0.6242,1530,2451.13746
450,0.625,1370,2192
