Reservoir,Site_code,Site_number,Depth_m,Date,Rep,Sample_ID,TIC.Mean.of.2.reps,TC.Mean.of.2.reps,TOC.Mean.of.2.reps,TNb.Mean.of.2.reps,Name,Sample.ID,NH4,PO4,NO3
CCR,CC2,92,0.6,9/30/2024,1,CC2_30sep24_BOT_R1,12.09327933,15.64164181,3.548362477,0.209357819,Sample 16,S60,3.033172061,6.337510834,0.743304774
CCR,CC4,88,0.1,9/30/2024,1,CC4_30sep24_0.1m_R1,12.5155855,16.07304368,3.557458181,0.198996533,Sample 17,S62,10.28292298,5.654922969,0.315766464
CCR,CC3,90,5,7/11/2024,1,CC3_11jul24_BOT_R1,11.69044118,15.09907492,3.408633738,0.204604446,Sample 18,S65,10.00542157,5.506539016,0.296922592
CCR,CC2,92,0.1,9/16/2024,1,CC2_16sep24_0.1m_R1,12.93439741,16.86241732,3.928019909,0.283222036,Sample 19,S61,64.99499493,8.296439006,5.702649459
CCR,CC4,88,6,6/19/2024,1,CC4_19jun24_6m_R1,12.63688621,15.97105742,3.334171216,0.19627269,Sample 20,S54,3.7,4.6,0.2
CCR,CC4,88,9,9/30/2024,1,CC4_30sep24_9m_R1,13.00724221,15.70515298,2.697910771,0.232469587,Sample 1,S99,5.286086473,4.26018028,99.56696519
CCR,CC4,88,12,7/11/2024,1,CC4_11jul24_BOT_R1,12.97711021,15.65989953,2.682789322,0.247671034,Sample 2,S98,10.40625315,3.043611331,95.38536
CCR,CS1,101,0.1,8/15/2024,1,CS1_15aug24_0.1m_R1,5.293943451,8.083466024,2.789522574,0.216703031,Sample 3,S97,5.471222886,9.068218521,100.3274226
CCR,CC2,92,1,7/11/2024,1,CC2_11jul24_BOT_R1,11.43593236,14.59795185,3.162019498,0.183192035,Sample 4,S96,3.434432992,6.515583092,6.494502881
CCR,CC3,90,1.5,6/19/2024,1,CC3_19jun24_1.5m_R1,11.17610558,14.07803997,2.901934394,0.177823494,Sample 5,S24,4.1,3.8,-2.3
CCR,CP1,98,0.1,7/11/2024,1,CP1_11jul24_0.1m_R1,4.731314742,9.644207304,4.912892562,0.16397831,Sample 6,S93,8.956976081,8.444854608,7.173279074
CCR,CC4,88,9,7/11/2024,1,CC4_11jul24_9m_R1,12.3873133,15.41100554,3.023692244,0.212069133,Sample 7,S92,7.260603637,5.773631343,43.43444515
CCR,CC5,88,6,5/22/2024,1,CC5_22may24_6m_R1,10.01874029,13.2157103,3.196970014,0.19296843,Sample 8,S51,3.6,1.4,4.1
CCR,CC2,92,0.1,7/11/2024,1,CC2_11jul24_0.1m_R1,11.51348522,14.86796412,3.354478902,0.172680997,Sample 9,S52,2.7,5.5,2.4
CCR,CC4,88,10,9/16/2024,1,CC4_16sep24_BOT_R1,13.52738973,16.24216061,2.714770878,0.284233622,Sample 10,S91,11.67025248,7.732475071,120.1171899
CCR,CC3,90,0.1,9/30/2024,1,CC3_30sep24_0.1m_R1,11.8365398,15.31848737,3.48194757,0.194607248,Sample 11,S57,1.4,7.3,0.3
CCR,CC4,88,6,8/15/2024,1,CC4_15aug24_6m_R1,11.58412253,14.87550636,3.291383826,0.223371324,Sample 12,S94,8.340164523,6.901414634,0.880720514
CCR,CC3,90,0.1,7/11/2024,1,CC3_11jul24_0.1m_R1,11.87111751,15.0449554,3.173837885,0.169572895,Sample 13,S59,1.119126306,-0.685505504,3.798660378
CCR,CS2,100,0.1,6/19/2024,1,CS2_19jun24_0.1m_R1,4.975828535,6.962186046,1.986357511,0.345208942,Sample 14,S100,4.699786459,6.040729124,273.1111519
CCR,CC4,88,1.5,8/15/2024,1,CC4_15aug24_1.5m_R1,11.47841354,14.28620585,2.80779231,0.170646603,Sample 15,S75,-1.382328227,5.209776162,0.308228911
CCR,CS2,100,0.1,5/22/2024,1,CS2_22may24_0.1m_R1,2.986622381,5.326022347,2.339399965,0.145668761,Sample 16,S95,1.551379289,8.118342505,52.8967143
CCR,CC4,88,6,7/11/2024,1,CC4_11jul24_6m_R1,11.65377192,14.92277108,3.268999159,0.200710431,Sample 17,S71,3.094906119,5.150424399,0.311997687
CCR,CC4,88,1.5,7/11/2024,1,CC4_11jul24_1.5m_R1,12.26036371,15.65788826,3.397524551,0.248744742,Sample 18,S73,17.77098657,5.951695924,2.690348949
CCR,CC3,90,1.5,7/11/2024,1,CC3_11jul24_1.5m_R1,11.66216936,15.04394976,3.381780403,0.209130563,Sample 19,S72,0.625087823,5.150424399,0.397172355
CCR,CP2,96,0.1,7/11/2024,1,CP2_11jul24_0.1m_R1,11.43543839,15.78660919,4.351170805,0.18878662,Sample 20,S74,3.310970721,9.780670786,2.516949634
