"Reservoir","Site_code","Site_number","Depth_m","Date","Rep","Sample_ID","TIC.Mean.of.2.reps","TC.Mean.of.2.reps","TOC.Mean.of.2.reps","TNb.Mean.of.2.reps","Name","Sample.ID","NH4.N.concentration","PO4.P.concentration","NO3.N.concentration"
"CCR","C50",50,"1.5",2024-05-22,1,"C50_22may24_1.5m_R1","11.78316125","15.14795295","3.364791707","0.053621454","C50_22may24_1.5mR1","S80",8.04,6.67,1.41
"CCR","C50",50,"9",2024-10-28,1,"C50_28oct24_9m_R1","15.05774932","18.26041331","3.202663992","0.058295317","C50_28oct24_9mR1","S78",9.18,4.44,30.4
"CCR","CC2",92,"0.1",2024-10-28,2,"CC2_28oct24_0.1m_R2","15.6013904","19.3857518","3.784361401","0.059987268","CC2_28oct24_0.1mR2","S77",15.5,6.54,12.8
"CCR","CC4",88,"9",2024-09-16,2,"CC4_16sep24_9m_R2","12.91081364","15.63397242","2.723158782","0.252786492","Sample 2","S64",7.4,2.32,96.8
"CCR","CC3",90,"1.5",2024-08-15,2,"CC3_15aug24_1.5m_R2","11.66793079","14.903685","3.235754213","0.222338429","Sample 3","S63",12.2,-0.334,2.62
"CCR","C50",50,"1.5",2024-06-19,2,"C50_19jun24_1.5m_R2","12.03334031","15.42416609","3.390825781","0.217853444","Sample 4","S62rr",14.8,5.72,2.55
"CCR","CP1",98,"0.1",2024-07-11,2,"CP1_11jul24_0.1m_R2","5.740448847","9.006916705","3.266467857","0.165428955","Sample 5","S61rr",9.55,7.06,1.91
"CCR","C50",50,"6",2024-06-19,1,"C50_19jun24_6m_R1","10.25926483","13.60096925","3.341704427","0.196176017","Sample 6","S70",6.62,4.59,1.1
"CCR","C50",50,"0.1",2024-09-16,1,"C50_16sep24_0.1m_R1","12.44583615","15.97137731","3.525541156","0.215062787","Sample 7","S69rr",19.8,6.66,7.6
"CCR","C50",50,"9",2024-07-11,1,"C50_11jul24_9m_R1","12.25062409","15.79586624","3.545242157","0.302171158","Sample 8","S68rr",22.5,7.54,63.5
"CCR","C50",50,"1.5",2024-09-30,1,"C50_30sep24_1.5m_R1","12.34724916","16.33904273","3.991793573","0.226325082","Sample 9","S67",5.66,5.47,-1.09
"CCR","C50",50,"1.5",2024-08-15,1,"C50_15aug24_1.5m_R1","11.99508267","15.39340122","3.398318552","0.178485244","Sample 10","S66",9.6,4.85,-0.761
"CCR","CP2",96,"0.1",2024-09-30,2,"CP2_30sep24_0.1m_R2","1.913213301","5.623285291","3.710071989","0.142954198","Sample 11","S56",6.83,8.82,19.9
"CCR","CC4",88,"6",2024-07-11,2,"CC4_11jul24_6m_R2","10.46085317","13.97317375","3.512320587","0.193235861","Sample 12","S57rr",18,4.59,1.97
"CCR","C50",50,"0.1",2024-10-28,1,"C50_28oct24_0.1m_R1","13.56609836","17.271067","3.704968644","0.198368677","Sample 14","S59",15,5.27,13.6
"CCR","C50",50,"9",2024-09-30,1,"C50_30sep24_9m_R1","12.31487731","15.71466716","3.399789855","0.485457536","Sample 17","S52",13.4,2.39,79.2
"CCR","C50",50,"6",2024-09-30,1,"C50_30sep24_6m_R1","11.52176698","15.30968042","3.787913443","0.230810067","Sample 18","S53",8.4,7,6.1
