sample_ID.x,Reservoir,Site,Date,Depth_m,TIC_mgL,TC_mgL,TOC_mgL,TNb_mgL,sample_ID.y,NH4.N.concentration.in.ug.L,PO4.P.concentration.in.ug.L,NO3.N...NO2.N.concentration.in.ug.L,REMOVED FROM CHEM EDIT
C300 30jun23 cove A surf,CCR,300,6/30/2023,coveA_surf,6.090114423,9.442701226,3.352586803,0.23685062,C300 30JUN23 COVEa 0.1,5.7,4.3,21.7,Y
C300 30jun23 coveA BOT,CCR,300,6/30/2023,coveA_bot,5.782312993,8.983735342,3.201422349,0.205638598,C300 30JUN23 COVEA BOT,7.1,0.8,3,Y
C300 30jun23 coveB BOT,CCR,300,6/30/2023,coveB_bot,6.245422766,9.349688206,3.10426544,0.214447972,C300 30JUN23 COVEB BOT,28.7,1.3,10.3,Y
C300 30jun23 pool B 0.1,CCR,300,6/30/2023,poolB_surf,2.657377748,5.217470447,2.5600927,0.47091162,C300 30JUN23 POOL B 0.1,54.3,3.6,56.3,Y
C300 30jun23 poolA 0.1,CCR,300,6/30/2023,poolA_surf,2.091041885,3.972214173,1.881172287,0.177751968,C300 30JUN23 POOLA 0.1,12.4,1.3,53.4,Y
SMB POOL B 29JUN23 SURF,CCR,300,6/30/2023,poolB_surf,5.424616937,7.950277598,2.525660661,0.214259239,SMB pool B surface 29jun23,34.1,3,26.1,Y
C101 30jun23 0.1,CCR,101,6/30/2023,0.1,2.556966915,4.631945864,2.074978949,0.253652606,C101 30JUN23 HPB STREAM 0.1,7.1,5.6,137,
C100 30JUN23 COVE B BOT,CCR,100,6/30/2023,coveB_bot,8.664748662,11.25241266,2.587664001,0.183483899,C100 30jun23 cove_B BOT,8.6,1.7,4.1,Y
C100 30JUN23 COVE B SURF,CCR,100,6/30/2023,coveB_surf,8.021229826,10.92864408,2.907414254,0.190861172,C100 30jun23 cove_B SURF,15.9,0.5,4.8,Y
C100 30jun23 cove A surf,CCR,100,6/30/2023,coveA_surf,6.163780314,9.058450719,2.894670405,0.209314032,C100 30JUN23 COVEA 0.1,9.3,1.3,12.3,Y
C100 30jun23 coveA BOT,CCR,100,6/30/2023,coveA_bot,6.643312419,10.06583763,3.422525212,0.251610698,C100 30JUN23 COVEA BOT,9.5,3.4,2.1,Y
C100 30JUN23 HPB POOL SURF,CCR,100,6/30/2023,pool_surf,7.633775862,11.13366368,3.499887822,0.247071588,C100 30jun23 HPB pool 0.1 surf,27.7,2.4,12,Y
C100 29jun23 pool BOT,CCR,100,6/30/2023,pool_bot,3.984771413,6.744815388,2.760043975,0.415255041,HPB 29JUN23 100 POOL BOT,33,2.9,97.1,Y
C50 30jun23 0.1,CCR,50,6/30/2023,0.1,7.568968708,11.02914388,3.460175171,0.2,C50 30jun23 0.1,5.7,-0.1,2.2,
C50 30jun23 1.5,CCR,50,6/30/2023,1.5,7.504371581,10.45730179,2.95293021,0.19,C50 30jun23 1.5,7.4,1.1,2.8,
C50 30jun23 6,CCR,50,6/30/2023,6,7.456965624,10.6274622,3.170496572,0.19,C50 30jun23 6,5.8,2.3,1.7,
C50 30jun23 9,CCR,50,6/30/2023,9,8.225879816,10.89198428,2.666104464,0.18,C50 30jun23 9,10,1.3,10,
C50 30JUN23 20,CCR,50,6/30/2023,20,9.205778807,11.86758044,2.661801632,0.303930038,C50 30jun23 20,60.5,0,21.8,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
